TIME, FY_5,,
2.00E-04,-1.70742088,,
4.00E-04,-3.41472462,,
7.00E-04,-5.97546331,,
1.15E-03,-9.81609177,,
1.83E-03,-15.5759832,,
2.83E-03,-24.1069274,,
3.83E-03,-32.6353333,,
4.83E-03,-41.1613333,,
5.83E-03,-49.6850474,,
6.83E-03,-58.2065972,,
7.83E-03,-66.7260867,,
8.83E-03,-75.2436167,,
9.83E-03,-83.7592818,,
1.08E-02,-92.2731707,,
1.18E-02,-100.785367,,
1.28E-02,-109.295948,,
1.38E-02,-117.804989,,
1.48E-02,-126.312559,,
1.58E-02,-134.818723,,
1.68E-02,-143.323542,,
1.78E-02,-151.827077,,
1.88E-02,-160.32938,,
1.98E-02,-168.830505,,
2.08E-02,-177.330501,,
2.18E-02,-185.829414,,
2.28E-02,-194.327289,,
2.38E-02,-202.824167,,
2.48E-02,-211.320089,,
2.58E-02,-219.815091,,
2.68E-02,-228.30921,,
2.78E-02,-236.80248,,
2.88E-02,-245.294933,,
2.98E-02,-253.786599,,
3.08E-02,-262.277509,,
3.18E-02,-270.76769,,
3.28E-02,-279.257168,,
3.38E-02,-287.745969,,
3.48E-02,-296.234117,,
3.58E-02,-304.721636,,
3.68E-02,-313.208546,,
3.78E-02,-321.69487,,
3.88E-02,-330.180626,,
3.98E-02,-338.665835,,
4.08E-02,-347.150515,,
4.18E-02,-355.634683,,
4.28E-02,-364.118357,,
4.38E-02,-372.601551,,
4.48E-02,-381.084282,,
4.58E-02,-389.566565,,
4.68E-02,-398.048413,,
4.78E-02,-406.52984,,
4.88E-02,-415.010859,,
4.98E-02,-423.491483,,
5.08E-02,-431.971724,,
5.18E-02,-440.451593,,
5.28E-02,-448.931102,,
5.38E-02,-457.41026,,
5.48E-02,-465.889078,,
5.58E-02,-474.367567,,
5.68E-02,-482.845735,,
5.78E-02,-491.323592,,
5.88E-02,-499.801146,,
5.98E-02,-508.278406,,
6.08E-02,-516.75538,,
6.18E-02,-525.232076,,
6.28E-02,-533.708501,,
6.38E-02,-542.184663,,
6.48E-02,-550.660568,,
6.58E-02,-559.136225,,
6.68E-02,-567.611638,,
6.78E-02,-576.086814,,
6.88E-02,-584.56176,,
6.98E-02,-593.036481,,
7.08E-02,-601.510984,,
7.18E-02,-609.985272,,
7.28E-02,-618.459353,,
7.38E-02,-626.93323,,
7.48E-02,-635.40691,,
7.58E-02,-643.880396,,
7.68E-02,-652.353693,,
7.78E-02,-660.826806,,
7.88E-02,-669.29974,,
7.98E-02,-677.772498,,
8.08E-02,-686.245084,,
8.18E-02,-694.717502,,
8.28E-02,-703.189757,,
8.38E-02,-711.661852,,
8.48E-02,-720.13379,,
8.58E-02,-728.605576,,
8.68E-02,-737.077211,,
8.78E-02,-745.5487,,
8.88E-02,-754.020046,,
8.98E-02,-762.491252,,
9.08E-02,-770.962321,,
9.18E-02,-779.433256,,
9.28E-02,-787.904059,,
9.38E-02,-796.374733,,
9.48E-02,-804.845282,,
9.58E-02,-813.315707,,
9.68E-02,-821.786011,,
9.78E-02,-830.256196,,
9.88E-02,-838.726265,,
9.98E-02,-847.196221,,
0.100825,-855.666064,,
0.101825,-864.135799,,
0.102825,-872.605426,,
0.103825,-881.074947,,
0.104825,-889.544366,,
0.105825,-898.013683,,
0.106825,-906.4829,,
0.107825,-914.95202,,
0.108825,-923.421044,,
0.109825,-931.889974,,
0.110825,-940.358812,,
0.111825,-948.827559,,
0.112825,-957.296217,,
0.113825,-965.764787,,
0.114825,-974.233271,,
0.115825,-982.701671,,
0.116825,-991.169988,,
0.117825,-999.638223,,
0.118825,-1008.10638,,
0.119825,-1016.57445,,
0.120825,-1025.04245,,
0.121825,-1033.51037,,
0.122825,-1041.97822,,
0.123825,-1050.44599,,
0.124825,-1058.91369,,
0.125825,-1067.38132,,
0.126825,-1075.84888,,
0.127825,-1084.31637,,
0.128825,-1092.78379,,
0.129825,-1101.25115,,
0.130825,-1109.71844,,
0.131825,-1118.18566,,
0.132825,-1126.65282,,
0.133825,-1135.11991,,
0.134825,-1143.58695,,
0.135825,-1152.05392,,
0.136825,-1160.52083,,
0.137825,-1168.98769,,
0.138825,-1177.45448,,
0.139825,-1185.92122,,
0.140825,-1194.3879,,
0.141825,-1202.85452,,
0.142825,-1211.32109,,
0.143825,-1219.7876,,
