TIME, FY_4
2.E-04, -0.244999998
4.E-04, -0.489999993
7.E-04, -0.857499976
1.15E-03, -1.40874986
1.825E-03, -2.23562422
2.8375E-03, -3.47593329
4.35625E-03, -5.33638399
6.35625E-03, -7.78632973
8.35625E-03, -10.2363063
1.035625E-02, -12.6863059
1.235625E-02, -15.1363053
1.435625E-02, -17.5863039
1.635625E-02, -20.0363018
1.835625E-02, -22.486299
2.035625E-02, -24.9362954
2.235625E-02, -27.3862908
2.435625E-02, -29.8362852
2.635625E-02, -32.2862784
2.835625E-02, -34.7362703
3.035625E-02, -37.1862609
3.235625E-02, -39.63625
3.435625E-02, -42.0862375
3.635625E-02, -44.5362233
3.835625E-02, -46.9862073
4.035625E-02, -49.4361893
4.235625E-02, -51.8861693
4.435625E-02, -54.3361471
4.635625E-02, -56.7861225
4.835625E-02, -59.2360955
5.035625E-02, -61.686066
5.235625E-02, -64.1360337
5.435625E-02, -66.5859986
5.635625E-02, -69.0359605
5.835625E-02, -71.4859193
6.035625E-02, -73.9358747
6.235625E-02, -76.3858268
6.435625E-02, -78.8357754
6.635625E-02, -81.2857202
6.835625E-02, -83.7356612
7.035625E-02, -86.1855981
7.235625E-02, -88.6355309
7.435625E-02, -91.0854592
7.635625E-02, -93.5353831
7.835625E-02, -95.9853023
8.035625E-02, -98.4352167
8.235625E-02, -100.885126
8.435625E-02, -103.33503
8.635625E-02, -105.784929
8.835625E-02, -108.234822
9.035625E-02, -110.68471
9.235625E-02, -113.134591
9.435625E-02, -115.584466
9.635625E-02, -118.034335
9.835625E-02, -120.484198
0.10035625, -122.934053
0.10235625, -125.383902
0.10435625, -127.833744
0.10635625, -130.283578
0.10835625, -132.733404
0.11035625, -135.183223
0.11235625, -137.633034
0.11435625, -140.082836
0.11635625, -142.53263
0.11835625, -144.982415
0.12035625, -147.432191
0.12235625, -149.881958
0.12435625, -152.331715
0.12635625, -154.781462
0.12835625, -157.2312
0.13035625, -159.680927
0.13235625, -162.130643
0.13435625, -164.580349
0.13635625, -167.030043
0.13835625, -169.479726
0.14035625, -171.929397
0.14235625, -174.379056
0.14435625, -176.828703
0.14635625, -179.278337
0.14835625, -181.727958
0.15035625, -184.177566
0.15235625, -186.62716
0.15435625, -189.07674
0.15635625, -191.526306
0.15835625, -193.975857
0.16035625, -196.425393
0.16235625, -198.874914
0.16435625, -201.324419
0.16635625, -203.773908
0.16835625, -206.22338
0.17035625, -208.672836
0.17235625, -211.122274
0.17435625, -213.571694
0.17635625, -216.021096
0.17835625, -218.47048
0.18035625, -220.919845
0.18235625, -223.36919
0.18435625, -225.818516
0.18635625, -228.267821
0.18835625, -230.717105
0.19035625, -233.166368
0.19235625, -235.61561
0.19435625, -238.064829
0.19635625, -240.514026
0.19835625, -242.9632
0.20035625, -245.412349
0.20235625, -247.861475
0.20435625, -250.310576
0.20635625, -252.759651
0.20835625, -255.208701
0.21035625, -257.657724
0.21235625, -260.106721
0.21435625, -262.55569
0.21635625, -265.00463
0.21835625, -267.453542
0.22035625, -269.902425
0.22235625, -272.351277
0.22435625, -274.800099
0.22635625, -277.24889
0.22835625, -279.697648
0.23035625, -282.146374
0.23235625, -284.595067
0.23435625, -287.043725
0.23635625, -289.492349
0.23835625, -291.940937
0.24035625, -294.38949
0.24235625, -296.838005
0.24435625, -299.286482
0.24635625, -301.734921
