TIME, UX_2, FX_3,,,,
5.24E-02,6.24E-04,-26178.1249,26178.12,0.62,,
5.44E-02,6.48E-04,-27178.1249,27178.12,0.65,,
5.64E-02,6.72E-04,-28178.1249,28178.12,0.67,,
5.84E-02,6.95E-04,-29178.1249,29178.12,0.7,,
6.04E-02,7.19E-04,-30178.1249,30178.12,0.72,,
6.24E-02,7.43E-04,-31178.1249,31178.12,0.74,,
6.44E-02,7.67E-04,-32178.1249,32178.12,0.77,,
6.64E-02,7.91E-04,-33178.1249,33178.12,0.79,,
6.84E-02,8.15E-04,-34178.1249,34178.12,0.81,,
7.04E-02,8.39E-04,-35178.1249,35178.12,0.84,,
7.24E-02,8.62E-04,-36178.1249,36178.12,0.86,,
7.44E-02,8.86E-04,-37178.1249,37178.12,0.89,,
7.64E-02,9.10E-04,-38178.1249,38178.12,0.91,,
7.84E-02,9.34E-04,-39178.1249,39178.12,0.93,,
8.04E-02,9.58E-04,-40178.1249,40178.12,0.96,,
8.24E-02,9.82E-04,-41178.1249,41178.12,0.98,,
8.44E-02,1.01E-03,-42178.1249,42178.12,1.01,,
8.64E-02,1.03E-03,-43178.1249,43178.12,1.03,,
8.84E-02,1.05E-03,-44178.1248,44178.12,1.05,,
9.04E-02,1.08E-03,-45178.1248,45178.12,1.08,,
9.24E-02,1.10E-03,-46178.1248,46178.12,1.1,,
9.44E-02,1.13E-03,-47178.1248,47178.12,1.13,,
9.64E-02,1.15E-03,-48178.1248,48178.12,1.15,,
9.84E-02,1.17E-03,-49178.1248,49178.12,1.17,,
0.10035625,1.20E-03,-50178.1248,50178.12,1.2,,
0.10235625,1.22E-03,-51178.1248,51178.12,1.22,,
0.10435625,1.24E-03,-52178.1248,52178.12,1.24,,
0.10635625,1.27E-03,-53178.1248,53178.12,1.27,,
0.10835625,1.29E-03,-54178.1248,54178.12,1.29,,
0.11035625,1.32E-03,-55178.1248,55178.12,1.32,,
0.11235625,1.34E-03,-56178.1248,56178.12,1.34,,
0.11435625,1.36E-03,-57178.1248,57178.12,1.36,,
0.11635625,1.39E-03,-58178.1248,58178.12,1.39,,
0.11835625,1.41E-03,-59178.1248,59178.12,1.41,,
0.12035625,1.44E-03,-60178.1248,60178.12,1.44,,
0.12235625,1.46E-03,-61178.1248,61178.12,1.46,,
0.12435625,1.48E-03,-62178.1248,62178.12,1.48,,
0.12635625,1.51E-03,-63178.1248,63178.12,1.51,,
0.12835625,1.53E-03,-64178.1248,64178.12,1.53,,
0.13035625,1.56E-03,-65178.1248,65178.12,1.56,,
0.13235625,1.58E-03,-66178.1248,66178.12,1.58,,
0.13435625,1.60E-03,-67178.1248,67178.12,1.6,,
