TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection,,,
2.00E-04,2.98E-05,0.866025403,-0.254999998,-0.244999998,0.50,-0.87,0.03,,,
4.00E-04,5.95E-05,1.73205079,-0.509999994,-0.489999993,1.00,-1.73,0.06,,,
7.00E-04,1.04E-04,3.03108884,-0.892499977,-0.857499976,1.75,-3.03,0.10,,,
1.15E-03,1.71E-04,4.97964559,-1.46624987,-1.40874986,2.87,-4.98,0.17,,,
1.83E-03,2.72E-04,7.90247885,-2.32687424,-2.23562422,4.56,-7.90,0.27,,,
2.84E-03,4.24E-04,12.2867184,-3.61780834,-3.47593329,7.09,-12.29,0.42,,,
4.36E-03,6.51E-04,18.8630225,-5.55419652,-5.33638399,10.89,-18.86,0.65,,,
6.36E-03,9.53E-04,27.5230435,-8.10414215,-7.78632973,15.89,-27.52,0.95,,,
8.36E-03,1.26E-03,36.1831995,-10.6541196,-10.2363063,20.89,-36.18,1.26,,,
1.04E-02,1.56E-03,44.8434619,-13.2041213,-12.6863059,25.89,-44.84,1.56,,,
1.24E-02,1.87E-03,53.5037258,-15.7541236,-15.1363053,30.89,-53.50,1.87,,,
1.44E-02,2.17E-03,62.1639881,-18.3041263,-17.5863039,35.89,-62.16,2.17,,,
1.64E-02,2.48E-03,70.8242506,-20.8541297,-20.0363018,40.89,-70.82,2.48,,,
1.84E-02,2.79E-03,79.4845132,-23.4041338,-22.486299,45.89,-79.48,2.79,,,
2.04E-02,3.11E-03,88.1447761,-25.9541387,-24.9362954,50.89,-88.14,3.11,,,
2.24E-02,3.42E-03,96.8050392,-28.5041446,-27.3862908,55.89,-96.81,3.42,,,
2.44E-02,3.74E-03,105.465303,-31.0541516,-29.8362852,60.89,-105.47,3.74,,,
2.64E-02,4.05E-03,114.125566,-33.6041597,-32.2862784,65.89,-114.13,4.05,,,
2.84E-02,4.37E-03,122.78583,-36.1541691,-34.7362703,70.89,-122.79,4.37,,,
3.04E-02,4.69E-03,131.446094,-38.7041799,-37.1862609,75.89,-131.45,4.69,,,
3.24E-02,5.01E-03,140.106358,-41.2541922,-39.63625,80.89,-140.11,5.01,,,
