TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection,,,,
2.00E-04,5.15E-05,0.499999998,-0.441672954,-0.424352445,0.87,-0.50,0.05,,,,
4.00E-04,1.03E-04,0.999999985,-0.883345903,-0.848704884,1.73,-1.00,0.10,,,,
7.00E-04,1.80E-04,1.74999996,-1.54585531,-1.48523352,3.03,-1.75,0.18,,,,
1.15E-03,2.97E-04,2.87499957,-2.53961921,-2.44002625,4.98,-2.87,0.30,,,,
1.83E-03,4.71E-04,4.56249696,-4.03026387,-3.87221411,7.90,-4.56,0.47,,,,
2.84E-03,7.32E-04,7.0937313,-6.26622415,-6.02048905,12.29,-7.09,0.73,,,,
4.36E-03,1.13E-03,10.8905187,-9.6201284,-9.24286503,18.86,-10.89,1.13,,,,
6.36E-03,1.64E-03,15.8902504,-14.0367072,-13.4862372,27.52,-15.89,1.64,,,,
8.36E-03,2.17E-03,20.8901378,-18.4533774,-17.7296965,36.18,-20.89,2.17,,,,
1.04E-02,2.69E-03,25.8901598,-22.8701215,-21.973225,44.84,-25.89,2.69,,,,
1.24E-02,3.21E-03,30.8901858,-27.2868694,-26.2167525,53.50,-30.89,3.21,,,,
1.44E-02,3.74E-03,35.8902074,-31.7036186,-30.4602756,62.16,-35.89,3.74,,,,
1.64E-02,4.26E-03,40.8902288,-36.120371,-34.7037954,70.82,-40.89,4.26,,,,
1.84E-02,4.79E-03,45.8902506,-40.5371273,-38.9473116,79.48,-45.89,4.79,,,,
2.04E-02,5.32E-03,50.8902726,-44.953888,-43.1908236,88.14,-50.89,5.32,,,,
2.24E-02,5.85E-03,55.8902949,-49.3706535,-47.4343309,96.80,-55.89,5.85,,,,
2.44E-02,6.38E-03,60.8903174,-53.7874243,-51.6778331,105.47,-60.89,6.38,,,,
2.64E-02,6.92E-03,65.8903402,-58.2042009,-55.9213297,114.13,-65.89,6.92,,,,
2.84E-02,7.45E-03,70.8903632,-62.6209839,-60.1648201,122.79,-70.89,7.45,,,,
3.04E-02,7.99E-03,75.8903865,-67.0377737,-64.4083039,131.45,-75.89,7.99,,,,
3.24E-02,8.53E-03,80.89041,-71.4545709,-68.6517804,140.11,-80.89,8.53,,,,
3.44E-02,9.07E-03,85.8904338,-75.871376,-72.8952493,148.77,-85.89,9.07,,,,
3.64E-02,9.61E-03,90.8904578,-80.2881895,-77.1387099,157.43,-90.89,9.61,,,-94.4609997,163.6112439
3.84E-02,1.02E-02,95.8904821,-84.7050119,-81.3821619,166.09,-95.89,10.16,,,,
4.04E-02,1.07E-02,100.890507,-89.1218437,-85.6256045,174.75,-100.89,10.70,,,,
4.24E-02,1.12E-02,105.890531,-93.5386856,-89.8690372,183.41,-105.89,11.25,,,,
