TIME, UY_6, UX_5, FY_3, FY_4,Displacement,Deflection,lOad,Reaction, FX_2,,,
0.88235625,5.71E-03,0.319306026,-78535.7951,-75455.821,319.31,5.71,153991.62,8822173.79,-8822173.79,,,
0.88435625,5.72E-03,0.320454228,-78713.8068,-75626.8519,320.45,5.72,154340.66,8842170.44,-8842170.44,,,
0.88635625,5.72E-03,0.321605819,-78891.8185,-75797.8829,321.61,5.72,154689.70,8862167.08,-8862167.08,,,
0.88835625,5.73E-03,0.322760819,-79069.8302,-75968.9138,322.76,5.73,155038.74,8882163.72,-8882163.72,,,
0.89035625,5.73E-03,0.323919246,-79247.8419,-76139.9447,323.92,5.73,155387.79,8902160.35,-8902160.35,,,
0.89235625,5.74E-03,0.325081119,-79425.8536,-76310.9756,325.08,5.74,155736.83,8922156.99,-8922156.99,,,
0.89435625,5.75E-03,0.326246459,-79603.8652,-76482.0065,326.25,5.75,156085.87,8942153.62,-8942153.62,,,
0.89635625,5.75E-03,0.327415283,-79781.8768,-76653.0373,327.42,5.75,156434.91,8962150.25,-8962150.25,,,
0.89835625,5.76E-03,0.328587612,-79959.8884,-76824.0681,328.59,5.76,156783.96,8982146.87,-8982146.87,,,
0.90035625,5.76E-03,0.329763465,-80137.9,-76995.0989,329.76,5.76,157133.00,9002143.49,-9002143.49,,,
0.90235625,5.77E-03,0.330942862,-80315.9115,-77166.1297,330.94,5.77,157482.04,9022140.11,-9022140.11,,,
0.90435625,5.77E-03,0.332125824,-80493.923,-77337.1604,332.13,5.77,157831.08,9042136.73,-9042136.73,,,
0.90635625,5.78E-03,0.333312371,-80671.9345,-77508.1912,333.31,5.78,158180.13,9062133.35,-9062133.35,,,
0.90835625,5.78E-03,0.334502522,-80849.9459,-77679.2219,334.50,5.78,158529.17,9082129.96,-9082129.96,,,
0.91035625,5.79E-03,0.335696299,-81027.9573,-77850.2526,335.70,5.79,158878.21,9102126.57,-9102126.57,,,
0.91235625,5.79E-03,0.336893723,-81205.9687,-78021.2832,336.89,5.79,159227.25,9122123.17,-9122123.17,,,
0.91435625,5.80E-03,0.338094814,-81383.9801,-78192.3139,338.09,5.80,159576.29,9142119.78,-9142119.78,,,
0.91635625,5.80E-03,0.339299594,-81561.9914,-78363.3445,339.30,5.80,159925.34,9162116.38,-9162116.38,,,
0.91835625,5.81E-03,0.340508084,-81740.0027,-78534.3751,340.51,5.81,160274.38,9182112.97,-9182112.97,,,
0.92035625,5.81E-03,0.341720305,-81918.014,-78705.4057,341.72,5.81,160623.42,9202109.57,-9202109.57,,,
0.92235625,5.82E-03,0.342936279,-82096.0252,-78876.4362,342.94,5.82,160972.46,9222106.16,-9222106.16,,,
0.92435625,5.82E-03,0.344156028,-82274.0365,-79047.4667,344.16,5.82,161321.50,9242102.75,-9242102.75,,,
0.92635625,5.83E-03,0.345379575,-82452.0477,-79218.4972,345.38,5.83,161670.54,9262099.33,-9262099.33,,,
0.92835625,5.84E-03,0.346606941,-82630.0588,-79389.5277,346.61,5.84,162019.59,9282095.91,-9282095.91,,,
0.93035625,5.84E-03,0.347838148,-82808.0699,-79560.5581,347.84,5.84,162368.63,9302092.49,-9302092.49,,,
0.93235625,5.85E-03,0.349073221,-82986.081,-79731.5886,349.07,5.85,162717.67,9322089.07,-9322089.07,,,
0.93435625,5.85E-03,0.35031218,-83164.0921,-79902.619,350.31,5.85,163066.71,9342085.64,-9342085.64,,,
0.93635625,5.86E-03,0.35155505,-83342.1031,-80073.6493,351.56,5.86,163415.75,9362082.21,-9362082.21,,,
0.93835625,5.86E-03,0.352801855,-83520.1141,-80244.6797,352.80,5.86,163764.79,9382078.77,-9382078.77,,,
0.94035625,5.87E-03,0.354052616,-83698.1251,-80415.71,354.05,5.87,164113.84,9402075.33,-9402075.33,,,
0.94235625,5.87E-03,0.355307358,-83876.136,-80586.7403,355.31,5.87,164462.88,9422071.89,-9422071.89,,,
0.94435625,5.88E-03,0.356566106,-84054.1469,-80757.7705,356.57,5.88,164811.92,9442068.45,-9442068.45,,,
0.94635625,5.88E-03,0.357828883,-84232.1578,-80928.8008,357.83,5.88,165160.96,9462065.00,-9462065,,,
0.94835625,5.89E-03,0.359095713,-84410.1686,-81099.831,359.10,5.89,165510.00,9482061.54,-9482061.54,,,
0.95035625,5.90E-03,0.360366621,-84588.1794,-81270.8611,360.37,5.90,165859.04,9502058.09,-9502058.09,,,
0.95235625,5.90E-03,0.361641632,-84766.1902,-81441.8913,361.64,5.90,166208.08,9522054.63,-9522054.63,,,
0.95435625,5.91E-03,0.362920771,-84944.2009,-81612.9214,362.92,5.91,166557.12,9542051.17,-9542051.17,,,
0.95635625,5.91E-03,0.364204064,-85122.2116,-81783.9515,364.20,5.91,166906.16,9562047.70,-9562047.7,,,
0.95835625,5.92E-03,0.365491535,-85300.2223,-81954.9815,365.49,5.92,167255.20,9582044.23,-9582044.23,,,
0.96035625,5.92E-03,0.366783211,-85478.2329,-82126.0116,366.78,5.92,167604.24,9602040.75,-9602040.75,,,
0.96235625,5.93E-03,0.368079117,-85656.2435,-82297.0415,368.08,5.93,167953.29,9622037.27,-9622037.27,,,
0.96435625,5.94E-03,0.36937928,-85834.254,-82468.0715,369.38,5.94,168302.33,9642033.79,-9642033.79,,,
0.96635625,5.94E-03,0.370683726,-86012.2645,-82639.1014,370.68,5.94,168651.37,9662030.31,-9662030.31,,,
0.96835625,5.95E-03,0.371992483,-86190.275,-82810.1313,371.99,5.95,169000.41,9682026.81,-9682026.81,,,
0.97035625,5.95E-03,0.373305576,-86368.2855,-82981.1612,373.31,5.95,169349.45,9702023.32,-9702023.32,,,
0.97235625,5.96E-03,0.374623033,-86546.2958,-83152.191,374.62,5.96,169698.49,9722019.82,-9722019.82,,,
0.97435625,5.96E-03,0.375944882,-86724.3062,-83323.2208,375.94,5.96,170047.53,9742016.32,-9742016.32,,,
0.97635625,5.97E-03,0.37727115,-86902.3165,-83494.2506,377.27,5.97,170396.57,9762012.81,-9762012.81,,,
0.97835625,5.98E-03,0.378601866,-87080.3268,-83665.2803,378.60,5.98,170745.61,9782009.30,-9782009.3,,,
0.98035625,5.98E-03,0.379937058,-87258.337,-83836.31,379.94,5.98,171094.65,9802005.78,-9802005.78,,,
0.98235625,5.99E-03,0.381276754,-87436.3472,-84007.3397,381.28,5.99,171443.69,9822002.26,-9822002.26,,,
0.98435625,5.99E-03,0.382620983,-87614.3573,-84178.3693,382.62,5.99,171792.73,9841998.74,-9841998.74,,,
0.98635625,6.00E-03,0.383969775,-87792.3674,-84349.3989,383.97,6.00,172141.77,9861995.21,-9861995.21,,,
0.98835625,6.01E-03,0.385323158,-87970.3775,-84520.4285,385.32,6.01,172490.81,9881991.67,-9881991.67,,,
0.99035625,6.01E-03,0.386681162,-88148.3875,-84691.458,386.68,6.01,172839.85,9901988.14,-9901988.14,,,
0.99235625,6.02E-03,0.388043818,-88326.3975,-84862.4875,388.04,6.02,173188.89,9921984.59,-9921984.59,,,
0.99435625,6.02E-03,0.389411156,-88504.4074,-85033.5169,389.41,6.02,173537.92,9941981.05,-9941981.05,,,
0.99635625,6.03E-03,0.390783206,-88682.4173,-85204.5463,390.78,6.03,173886.96,9961977.49,-9961977.49,,,
0.99835625,6.04E-03,0.392159998,-88860.4271,-85375.5757,392.16,6.04,174236.00,9981973.94,-9981973.94,,,
1,6.04E-03,0.393295719,-89006.8056,-85516.2141,393.30,6.04,174523.02,9998417.12,-9998417.12,,,
