TIME, FY_5,,
3.48E-02,-148.951426,,
3.50E-02,-149.806593,,
3.52E-02,-150.66176,,
3.54E-02,-151.516927,,
3.56E-02,-152.372093,,
3.58E-02,-153.22726,,
3.60E-02,-154.082427,,
3.62E-02,-154.937594,,
3.64E-02,-155.792761,,
3.66E-02,-156.647928,,
3.68E-02,-157.503095,,
3.70E-02,-158.358262,,
3.72E-02,-159.213429,,
3.74E-02,-160.068596,,
3.76E-02,-160.923763,,
3.78E-02,-161.77893,,
3.80E-02,-162.634097,,
3.82E-02,-163.489264,,
3.84E-02,-164.34443,,
3.86E-02,-165.199597,,
3.88E-02,-166.054764,,
3.90E-02,-166.909931,,
3.92E-02,-167.765098,,
3.94E-02,-168.620265,,
3.96E-02,-169.475432,,
3.98E-02,-170.330599,,
4.00E-02,-171.185766,,
4.02E-02,-172.040933,,
4.04E-02,-172.8961,,
4.06E-02,-173.751266,,
4.08E-02,-174.606433,,
4.10E-02,-175.4616,,
4.12E-02,-176.316767,,
4.14E-02,-177.171934,,
4.16E-02,-178.027101,,
4.18E-02,-178.882268,,
4.20E-02,-179.737435,,
4.22E-02,-180.592602,,
4.24E-02,-181.447769,,
4.26E-02,-182.302935,,
4.28E-02,-183.158102,,
4.30E-02,-184.013269,,
4.32E-02,-184.868436,,
4.34E-02,-185.723603,,
4.36E-02,-186.57877,,
4.38E-02,-187.433937,,
4.40E-02,-188.289104,,
4.42E-02,-189.144271,,
4.44E-02,-189.999438,,
4.46E-02,-190.854604,,
4.48E-02,-191.709771,,
4.50E-02,-192.564938,,
4.52E-02,-193.420105,,
4.54E-02,-194.275272,,
4.56E-02,-195.130439,,
4.58E-02,-195.985606,,
4.60E-02,-196.840773,,
4.62E-02,-197.69594,,
4.64E-02,-198.551106,,
4.66E-02,-199.406273,,
4.68E-02,-200.26144,,
4.70E-02,-201.116607,,
4.72E-02,-201.971774,,
4.74E-02,-202.826941,,
4.76E-02,-203.682108,,
4.78E-02,-204.537275,,
4.80E-02,-205.392441,,
4.82E-02,-206.247608,,
4.84E-02,-207.102775,,
4.86E-02,-207.957942,,
4.88E-02,-208.813109,,
4.90E-02,-209.668276,,
4.92E-02,-210.523443,,
4.94E-02,-211.37861,,
4.96E-02,-212.233776,,
