TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection,,,,
2.00E-04,3.98E-05,0.74314483,-0.341256606,-0.327873994,0.67,-0.74,0.04,,,,
4.00E-04,7.97E-05,1.48628961,-0.682513207,-0.655747982,1.34,-1.49,0.08,,,,
7.00E-04,1.39E-04,2.60100681,-1.19439809,-1.14755894,2.34,-2.60,0.14,,,,
1.15E-03,2.29E-04,4.27308215,-1.96222524,-1.88527521,3.85,-4.27,0.23,,,,
1.83E-03,3.64E-04,6.78119267,-3.11396506,-2.99184868,6.11,-6.78,0.36,,,,
2.84E-03,5.67E-04,10.5433447,-4.84156983,-4.6517039,9.49,-10.54,0.57,,,,
4.36E-03,8.71E-04,16.1864982,-7.4329508,-7.14146057,14.57,-16.19,0.87,,,,
6.36E-03,1.27E-03,23.6176336,-10.8454073,-10.4200909,21.27,-23.62,1.27,,,,
8.36E-03,1.68E-03,31.0489485,-14.2579282,-13.6987833,27.96,-31.05,1.68,,,,
1.04E-02,2.08E-03,38.4804126,-17.6704995,-16.9775235,34.65,-38.48,2.08,,,,
1.24E-02,2.49E-03,45.9118799,-21.0830724,-20.2562632,41.34,-45.91,2.49,,,,
1.44E-02,2.90E-03,53.3433436,-24.495646,-23.5350009,48.03,-53.34,2.90,,,,
1.64E-02,3.31E-03,60.7748074,-27.9082211,-26.8137371,54.72,-60.77,3.31,,,,
1.84E-02,3.73E-03,68.2062715,-31.3207981,-30.0924715,61.41,-68.21,3.73,,,,
2.04E-02,4.14E-03,75.637736,-34.7333771,-33.371204,68.10,-75.64,4.14,,,,
2.24E-02,4.56E-03,83.0692007,-38.1459584,-36.6499342,74.80,-83.07,4.56,,,,
2.44E-02,4.98E-03,90.5006658,-41.5585422,-39.928662,81.49,-90.50,4.98,,,,
2.64E-02,5.40E-03,97.9321312,-44.9711288,-43.2073871,88.18,-97.93,5.40,,,,
2.84E-02,5.82E-03,105.363597,-48.3837184,-46.4861092,94.87,-105.36,5.82,,,,
3.04E-02,6.24E-03,112.795063,-51.7963113,-49.7648282,101.56,-112.80,6.24,,,,
3.24E-02,6.67E-03,120.226529,-55.2089077,-53.0435438,108.25,-120.23,6.67,,,,
3.44E-02,7.10E-03,127.657996,-58.6215079,-56.3222555,114.94,-127.66,7.10,,,,
3.64E-02,7.53E-03,135.089463,-62.0341121,-59.6009633,121.64,-135.09,7.53,,,,
3.84E-02,7.96E-03,142.52093,-65.4467206,-62.8796668,128.33,-142.52,7.96,,,,
4.04E-02,8.39E-03,149.952398,-68.8593338,-66.1583658,135.02,-149.95,8.39,,,,
4.24E-02,8.83E-03,157.383866,-72.2719518,-69.4370601,141.71,-157.38,8.83,,,,
4.44E-02,9.26E-03,164.815334,-75.6845749,-72.7157493,148.40,-164.82,9.26,,,,
4.64E-02,9.70E-03,172.246803,-79.0972035,-75.994433,155.09,-172.25,9.70,,,,
4.84E-02,1.01E-02,179.678272,-82.5098378,-79.2731112,161.78,-179.68,10.14,,,-177.2856554,159.6286313
5.04E-02,1.06E-02,187.109742,-85.9224781,-82.5517834,168.47,-187.11,10.58,,,,
5.24E-02,1.10E-02,194.541211,-89.3351248,-85.8304493,175.17,-194.54,11.03,,,,
5.44E-02,1.15E-02,201.972682,-92.747778,-89.1091088,181.86,-201.97,11.48,,,,
5.64E-02,1.19E-02,209.404152,-96.1604382,-92.3877614,188.55,-209.40,11.92,,,,
5.84E-02,1.24E-02,216.835623,-99.5731056,-95.6664067,195.24,-216.84,12.38,,,,
6.04E-02,1.28E-02,224.267095,-102.985781,-98.9450447,201.93,-224.27,12.83,,,,
6.24E-02,1.33E-02,231.698567,-106.398463,-102.223675,208.62,-231.70,13.28,,,,
6.44E-02,1.37E-02,239.130039,-109.811155,-105.502297,215.31,-239.13,13.74,,,,
6.64E-02,1.42E-02,246.561511,-113.223854,-108.78091,222.00,-246.56,14.20,,,,
6.84E-02,1.47E-02,253.992984,-116.636563,-112.059515,228.70,-253.99,14.66,,,,
7.04E-02,1.51E-02,261.424458,-120.04928,-115.338111,235.39,-261.42,15.12,,,,
7.24E-02,1.56E-02,268.855932,-123.462008,-118.616697,242.08,-268.86,15.59,,,,
7.44E-02,1.61E-02,276.287406,-126.874745,-121.895273,248.77,-276.29,16.05,,,,
7.64E-02,1.65E-02,283.718881,-130.287492,-125.173839,255.46,-283.72,16.52,,,,
7.84E-02,1.70E-02,291.150356,-133.70025,-128.452395,262.15,-291.15,16.99,,,,
8.04E-02,1.75E-02,298.581832,-137.113019,-131.730939,268.84,-298.58,17.47,,,,
8.24E-02,1.79E-02,306.013308,-140.5258,-135.009472,275.54,-306.01,17.94,,,,
8.44E-02,1.84E-02,313.444785,-143.938592,-138.287994,282.23,-313.44,18.42,,,,
8.64E-02,1.89E-02,320.876262,-147.351397,-141.566503,288.92,-320.88,18.90,,,,
8.84E-02,1.94E-02,328.30774,-150.764214,-144.845,295.61,-328.31,19.38,,,,
9.04E-02,1.99E-02,335.739218,-154.177043,-148.123485,302.30,-335.74,19.86,,,,
9.24E-02,2.03E-02,343.170696,-157.589887,-151.401955,308.99,-343.17,20.35,,,,
9.44E-02,2.08E-02,350.602176,-161.002744,-154.680413,315.68,-350.60,20.84,,,,
9.64E-02,2.13E-02,358.033655,-164.415615,-157.958856,322.37,-358.03,21.33,,,,
9.84E-02,2.18E-02,365.465135,-167.828501,-161.237284,329.07,-365.47,21.82,,,,
0.10035625,2.23E-02,372.896616,-171.241402,-164.515698,335.76,-372.90,22.31,,,,
0.10235625,2.28E-02,380.328097,-174.654318,-167.794096,342.45,-380.33,22.81,,,,
0.10435625,2.33E-02,387.759579,-178.06725,-171.072479,349.14,-387.76,23.31,,,,
0.10635625,2.38E-02,395.191061,-181.480199,-174.350845,355.83,-395.19,23.81,,,,
0.10835625,2.43E-02,402.622544,-184.893164,-177.629194,362.52,-402.62,24.31,,,,
0.11035625,2.48E-02,410.054028,-188.306147,-180.907526,369.21,-410.05,24.82,,,,
0.11235625,2.53E-02,417.485512,-191.719147,-184.185841,375.90,-417.49,25.33,,,,
0.11435625,2.58E-02,424.916996,-195.132166,-187.464137,382.60,-424.92,25.84,,,,
0.11635625,2.64E-02,432.348482,-198.545203,-190.742415,389.29,-432.35,26.35,,,,
0.11835625,2.69E-02,439.779967,-201.958259,-194.020674,395.98,-439.78,26.87,,,,
0.12035625,2.74E-02,447.211454,-205.371336,-197.298913,402.67,-447.21,27.38,,,,
0.12235625,2.79E-02,454.642941,-208.784432,-200.577131,409.36,-454.64,27.90,,,,
0.12435625,2.84E-02,462.074428,-212.197549,-203.85533,416.05,-462.07,28.42,,,,
0.12635625,2.89E-02,469.505917,-215.610688,-207.133507,422.74,-469.51,28.95,,,,
0.12835625,2.95E-02,476.937406,-219.023848,-210.411662,429.44,-476.94,29.48,,,,
0.13035625,3.00E-02,484.368895,-222.43703,-213.689796,436.13,-484.37,30.00,,,,
0.13235625,3.05E-02,491.800386,-225.850236,-216.967906,442.82,-491.80,30.54,,,,
0.13435625,3.11E-02,499.231876,-229.263464,-220.245993,449.51,-499.23,31.07,,,,
0.13635625,3.16E-02,506.663368,-232.676717,-223.524056,456.20,-506.66,31.61,,,,
0.13835625,3.21E-02,514.09486,-236.089994,-226.802095,462.89,-514.09,32.14,,,,
0.14035625,3.27E-02,521.526353,-239.503297,-230.080109,469.58,-521.53,32.69,,,,
0.14235625,3.32E-02,528.957847,-242.916625,-233.358097,476.27,-528.96,33.23,,,,
0.14435625,3.38E-02,536.389341,-246.329979,-236.636059,482.97,-536.39,33.78,,,,
0.14635625,3.43E-02,543.820837,-249.74336,-239.913994,489.66,-543.82,34.32,,,,
0.14835625,3.49E-02,551.252332,-253.156769,-243.191901,496.35,-551.25,34.88,,,,
0.15035625,3.54E-02,558.683829,-256.570206,-246.469781,503.04,-558.68,35.43,,,,
0.15235625,3.60E-02,566.115326,-259.983672,-249.747632,509.73,-566.12,35.99,,,,
0.15435625,3.65E-02,573.546824,-263.397167,-253.025453,516.42,-573.55,36.54,,,,
