TIME, FY_3,,
2.00E-05,-0.134809889,,
4.00E-05,-0.269618844,,
7.00E-05,-0.471830525,,
1.15E-04,-0.775144115,,
1.83E-04,-1.23010568,,
2.84E-04,-1.91252825,,
4.36E-04,-2.93611789,,
6.36E-04,-4.28397459,,
8.36E-04,-5.63174098,,
1.04E-03,-6.97941804,,
1.24E-03,-8.32700677,,
1.44E-03,-9.67450813,,
1.64E-03,-11.0219231,,
1.84E-03,-12.3692526,,
2.04E-03,-13.7164975,,
2.24E-03,-15.0636588,,
2.44E-03,-16.4107374,,
2.64E-03,-17.7577341,,
2.84E-03,-19.1046499,,
3.04E-03,-20.4514856,,
3.24E-03,-21.7982421,,
3.44E-03,-23.1449202,,
3.64E-03,-24.4915207,,
3.84E-03,-25.8380445,,
4.04E-03,-27.1844923,,
4.24E-03,-28.530865,,
4.44E-03,-29.8771633,,
4.64E-03,-31.2233881,,
4.84E-03,-32.5695401,,
5.04E-03,-33.91562,,
5.24E-03,-35.2616286,,
5.44E-03,-36.6075666,,
5.64E-03,-37.9534348,,
5.84E-03,-39.2992338,,
6.04E-03,-40.6449645,,
6.24E-03,-41.9906273,,
6.44E-03,-43.3362232,,
6.64E-03,-44.6817527,,
6.84E-03,-46.0272165,,
7.04E-03,-47.3726152,,
7.24E-03,-48.7179496,,
7.44E-03,-50.0632203,,
7.64E-03,-51.4084278,,
7.84E-03,-52.7535729,,
8.04E-03,-54.0986561,,
8.24E-03,-55.4436781,,
8.44E-03,-56.7886395,,
8.64E-03,-58.1335408,,
8.84E-03,-59.4783827,,
9.04E-03,-60.8231657,,
9.24E-03,-62.1678904,,
9.44E-03,-63.5125574,,
9.64E-03,-64.8571672,,
9.84E-03,-66.2017204,,
1.00E-02,-67.5462175,,
1.02E-02,-68.8906591,,
1.04E-02,-70.2350458,,
1.06E-02,-71.5793779,,
1.08E-02,-72.9236561,,
1.10E-02,-74.2678809,,
1.12E-02,-75.6120527,,
1.14E-02,-76.9561721,,
1.16E-02,-78.3002396,,
1.18E-02,-79.6442556,,
1.20E-02,-80.9882206,,
1.22E-02,-82.3321352,,
1.24E-02,-83.6759998,,
1.26E-02,-85.0198148,,
1.28E-02,-86.3635807,,
1.30E-02,-87.707298,,
1.32E-02,-89.050967,,
1.34E-02,-90.3945884,,
1.36E-02,-91.7381624,,
1.38E-02,-93.0816896,,
1.40E-02,-94.4251703,,
1.42E-02,-95.768605,,
1.44E-02,-97.1119941,,
1.46E-02,-98.4553381,,
1.48E-02,-99.7986372,,
1.50E-02,-101.141892,,
1.52E-02,-102.485103,,
1.54E-02,-103.82827,,
1.56E-02,-105.171394,,
1.58E-02,-106.514475,,
1.60E-02,-107.857514,,
1.62E-02,-109.200511,,
1.64E-02,-110.543466,,
