TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection,,,
2.00E-04,5.44E-05,0.406736611,-0.465908182,-0.447637273,0.91,-0.41,0.05,,,
4.00E-04,1.09E-04,0.813473284,-0.931816363,-0.895274542,1.83,-0.81,0.11,,,
7.00E-04,1.90E-04,1.42357823,-1.63067862,-1.56673043,3.20,-1.42,0.19,,,
1.15E-03,3.13E-04,2.33873538,-2.67897184,-2.57391407,5.25,-2.34,0.31,,,
1.83E-03,4.96E-04,3.71146943,-4.25141062,-4.08468842,8.34,-3.71,0.50,,,
2.84E-03,7.72E-04,5.7705608,-6.61006271,-6.35084368,12.96,-5.77,0.77,,,
4.36E-03,1.19E-03,8.85914447,-10.1480075,-9.75004282,19.90,-8.86,1.19,,,
6.36E-03,1.73E-03,12.9262877,-14.8069509,-14.2262745,29.03,-12.93,1.73,,,
8.36E-03,2.28E-03,16.9935626,-19.4659805,-18.702588,38.17,-16.99,2.28,,,
1.04E-02,2.83E-03,21.0609498,-24.1250804,-23.1789664,47.30,-21.06,2.83,,,
1.24E-02,3.38E-03,25.1283403,-28.7841846,-27.6553436,56.44,-25.13,3.38,,,
1.44E-02,3.93E-03,29.195727,-33.4432904,-32.1317159,65.58,-29.20,3.93,,,
1.64E-02,4.49E-03,33.2631137,-38.1024,-36.6080843,74.71,-33.26,4.49,,,
1.84E-02,5.04E-03,37.3305006,-42.7615142,-41.0844484,83.85,-37.33,5.04,,,
2.04E-02,5.60E-03,41.3978877,-47.4206334,-45.5608077,92.98,-41.40,5.60,,,
2.24E-02,6.15E-03,45.465275,-52.0797582,-50.0371615,102.12,-45.47,6.15,,,
2.44E-02,6.71E-03,49.5326624,-56.7388891,-54.5135094,111.25,-49.53,6.71,,,
2.64E-02,7.27E-03,53.60005,-61.3980269,-58.9898507,120.39,-53.60,7.27,,,
2.84E-02,7.83E-03,57.6674377,-66.0571719,-63.4661849,129.52,-57.67,7.83,,,
3.04E-02,8.40E-03,61.7348257,-70.7163249,-67.9425114,138.66,-61.73,8.40,,,
3.24E-02,8.96E-03,65.8022138,-75.3754863,-72.4188295,147.79,-65.80,8.96,,,
3.44E-02,9.52E-03,69.869602,-80.0346569,-76.8951388,156.93,-69.87,9.52,,,
3.64E-02,1.01E-02,73.9369905,-84.6938371,-81.3714386,166.07,-73.94,10.09,,-73.29772869,164.629474
3.84E-02,1.07E-02,78.0043791,-89.3530276,-85.8477282,175.20,-78.00,10.66,,,
4.04E-02,1.12E-02,82.0717679,-94.012229,-90.3240072,184.34,-82.07,11.22,,,
4.24E-02,1.18E-02,86.1391568,-98.6714419,-94.8002749,193.47,-86.14,11.79,,,
4.44E-02,1.24E-02,90.2065459,-103.330667,-99.2765307,202.61,-90.21,12.37,,,
4.64E-02,1.29E-02,94.2739352,-107.989905,-103.752774,211.74,-94.27,12.94,,,
4.84E-02,1.35E-02,98.3413246,-112.649156,-108.229004,220.88,-98.34,13.51,,,
5.04E-02,1.41E-02,102.408714,-117.308421,-112.70522,230.01,-102.41,14.09,,,
5.24E-02,1.47E-02,106.476104,-121.967701,-117.181422,239.15,-106.48,14.66,,,
5.44E-02,1.52E-02,110.543494,-126.626996,-121.657609,248.28,-110.54,15.24,,,
5.64E-02,1.58E-02,114.610884,-131.286306,-126.13378,257.42,-114.61,15.82,,,
5.84E-02,1.64E-02,118.678274,-135.945634,-130.609935,266.56,-118.68,16.40,,,
6.04E-02,1.70E-02,122.745665,-140.604979,-135.086072,275.69,-122.75,16.98,,,
6.24E-02,1.76E-02,126.813055,-145.264341,-139.562192,284.83,-126.81,17.56,,,
6.44E-02,1.81E-02,130.880446,-149.923722,-144.038294,293.96,-130.88,18.14,,,
6.64E-02,1.87E-02,134.947837,-154.583123,-148.514376,303.10,-134.95,18.73,,,
6.84E-02,1.93E-02,139.015228,-159.242543,-152.990439,312.23,-139.02,19.31,,,
7.04E-02,1.99E-02,143.08262,-163.901984,-157.466482,321.37,-143.08,19.90,,,
7.24E-02,2.05E-02,147.150011,-168.561446,-161.942503,330.50,-147.15,20.49,,,
7.44E-02,2.11E-02,151.217403,-173.22093,-166.418503,339.64,-151.22,21.08,,,
7.64E-02,2.17E-02,155.284762,-177.880439,-170.894482,348.77,-155.28,21.67,,,
7.84E-02,2.23E-02,159.352121,-182.539972,-175.370438,357.91,-159.35,22.26,,,
8.04E-02,2.29E-02,163.419481,-187.199528,-179.846371,367.05,-163.42,22.86,,,
8.24E-02,2.35E-02,167.48684,-191.85911,-184.322279,376.18,-167.49,23.45,,,
8.44E-02,2.40E-02,171.554199,-196.518717,-188.798162,385.32,-171.55,24.05,,,
8.64E-02,2.46E-02,175.621559,-201.178351,-193.274019,394.45,-175.62,24.65,,,
8.84E-02,2.52E-02,179.688918,-205.838011,-197.749849,403.59,-179.69,25.24,,,
9.04E-02,2.58E-02,183.756277,-210.4977,-202.225652,412.72,-183.76,25.84,,,
9.24E-02,2.64E-02,187.823636,-215.157417,-206.701427,421.86,-187.82,26.44,,,
9.44E-02,2.70E-02,191.890996,-219.817164,-211.177173,430.99,-191.89,27.05,,,
9.64E-02,2.77E-02,195.958355,-224.47694,-215.652889,440.13,-195.96,27.65,,,
9.84E-02,2.83E-02,200.025715,-229.136748,-220.128575,449.27,-200.03,28.25,,,
0.10035625,2.89E-02,204.093074,-233.796587,-224.60423,458.40,-204.09,28.86,,,
0.10235625,2.95E-02,208.160434,-238.456458,-229.079853,467.54,-208.16,29.47,,,
0.10435625,3.01E-02,212.227793,-243.116363,-233.555443,476.67,-212.23,30.08,,,
0.10635625,3.07E-02,216.295153,-247.776301,-238.031,485.81,-216.30,30.69,,,
