TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection,,,
2.00E-04,1.04E-06,1,-8.90E-03,-8.55E-03,0.02,-1.00,0.00,,,
4.00E-04,2.08E-06,2,-1.78E-02,-1.71E-02,0.03,-2.00,0.00,,,
7.00E-04,3.64E-06,3.49999999,-3.12E-02,-2.99E-02,0.06,-3.50,0.00,,,
1.15E-03,5.98E-06,5.75,-5.12E-02,-4.92E-02,0.10,-5.75,0.01,,,
1.83E-03,9.50E-06,9.12499998,-8.12E-02,-7.80E-02,0.16,-9.12,0.01,,,
2.84E-03,1.48E-05,14.1875,-0.126279068,-0.121326948,0.25,-14.19,0.01,,,
4.36E-03,2.28E-05,21.7812498,-0.193868965,-0.186266261,0.38,-21.78,0.02,,,
6.36E-03,3.33E-05,31.7812495,-0.282876235,-0.271783049,0.55,-31.78,0.03,,,
8.36E-03,4.39E-05,41.7812493,-0.371883507,-0.35729984,0.73,-41.78,0.04,,,
1.04E-02,5.46E-05,51.7812493,-0.46089078,-0.442816631,0.90,-51.78,0.05,,,
1.24E-02,6.53E-05,61.7812493,-0.549898053,-0.528333423,1.08,-61.78,0.07,,,
1.44E-02,7.61E-05,71.7812493,-0.638905326,-0.613850214,1.25,-71.78,0.08,,,
1.64E-02,8.69E-05,81.7812493,-0.727912599,-0.699367006,1.43,-81.78,0.09,,,
1.84E-02,9.79E-05,91.7812494,-0.816919872,-0.784883797,1.60,-91.78,0.10,,,
2.04E-02,1.09E-04,101.781249,-0.905927145,-0.870400589,1.78,-101.78,0.11,,,
2.24E-02,1.20E-04,111.781249,-0.994934418,-0.95591738,1.95,-111.78,0.12,,,
2.44E-02,1.31E-04,121.781249,-1.08394169,-1.04143417,2.13,-121.78,0.13,,,
2.64E-02,1.42E-04,131.781249,-1.17294896,-1.12695096,2.30,-131.78,0.14,,,
2.84E-02,1.53E-04,141.781249,-1.26195624,-1.21246775,2.47,-141.78,0.15,,,
3.04E-02,1.65E-04,151.781249,-1.35096351,-1.29798455,2.65,-151.78,0.16,,,
3.24E-02,1.76E-04,161.781249,-1.43997078,-1.38350134,2.82,-161.78,0.18,,,
3.44E-02,1.88E-04,171.781249,-1.52897806,-1.46901813,3.00,-171.78,0.19,,,
3.64E-02,1.99E-04,181.781249,-1.61798533,-1.55453492,3.17,-181.78,0.20,,,
3.84E-02,2.11E-04,191.781249,-1.7069926,-1.64005171,3.35,-191.78,0.21,,,
4.04E-02,2.22E-04,201.781249,-1.79599988,-1.7255685,3.52,-201.78,0.22,,,
4.24E-02,2.34E-04,211.781249,-1.88500715,-1.81108529,3.70,-211.78,0.23,,,
4.44E-02,2.46E-04,221.78125,-1.97401443,-1.89660208,3.87,-221.78,0.25,,,
4.64E-02,2.58E-04,231.78125,-2.0630217,-1.98211887,4.05,-231.78,0.26,,,
4.84E-02,2.70E-04,241.78125,-2.15202897,-2.06763566,4.22,-241.78,0.27,,,
5.04E-02,2.82E-04,251.78125,-2.24103625,-2.15315245,4.39,-251.78,0.28,,,
5.24E-02,2.94E-04,261.78125,-2.33004352,-2.23866924,4.57,-261.78,0.29,,,
5.44E-02,3.06E-04,271.78125,-2.4190508,-2.32418603,4.74,-271.78,0.31,,,
5.64E-02,3.18E-04,281.78125,-2.50805807,-2.40970282,4.92,-281.78,0.32,,,
5.84E-02,3.31E-04,291.78125,-2.59706535,-2.49521961,5.09,-291.78,0.33,,,
