TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection,,,,
2.00E-04,1.84E-05,0.951056512,-0.157598667,-0.151418327,0.31,-0.95,0.02,,,,
4.00E-04,3.68E-05,1.90211303,-0.315197332,-0.302836653,0.62,-1.90,0.04,,,,
7.00E-04,6.44E-05,3.32869776,-0.551595328,-0.529964138,1.08,-3.33,0.06,,,,
1.15E-03,1.06E-04,5.46857474,-0.906192299,-0.870655343,1.78,-5.47,0.11,,,,
1.83E-03,1.68E-04,8.67838932,-1.43808763,-1.38169203,2.82,-8.68,0.17,,,,
2.84E-03,2.62E-04,13.4931065,-2.23592999,-2.14824641,4.38,-13.49,0.26,,,,
4.36E-03,4.03E-04,20.7151569,-3.43269013,-3.2980746,6.73,-20.72,0.40,,,,
6.36E-03,5.89E-04,30.2256152,-5.00866253,-4.81224366,9.82,-30.23,0.59,,,,
8.36E-03,7.77E-04,39.7361361,-6.5846433,-6.32642081,12.91,-39.74,0.78,,,,
1.04E-02,9.66E-04,49.2467041,-8.16063028,-7.84060391,16.00,-49.25,0.97,,,,
1.24E-02,1.16E-03,58.7572724,-9.73661739,-9.35478692,19.09,-58.76,1.16,,,,
1.44E-02,1.35E-03,68.2678405,-11.3126046,-10.8689698,22.18,-68.27,1.35,,,,
1.64E-02,1.54E-03,77.7784086,-12.888592,-12.3831525,25.27,-77.78,1.54,,,,
1.84E-02,1.73E-03,87.2889768,-14.4645795,-13.897335,28.36,-87.29,1.73,,,,
2.04E-02,1.92E-03,96.799545,-16.0405673,-15.4115173,31.45,-96.80,1.92,,,,
2.24E-02,2.12E-03,106.310113,-17.6165553,-16.9256994,34.54,-106.31,2.12,,,,
2.44E-02,2.32E-03,115.820682,-19.1925435,-18.4398812,37.63,-115.82,2.32,,,,
2.64E-02,2.51E-03,125.33125,-20.768532,-19.9540628,40.72,-125.33,2.51,,,,
2.84E-02,2.71E-03,134.841819,-22.3445208,-21.468244,43.81,-134.84,2.71,,,,
3.04E-02,2.91E-03,144.352388,-23.9205099,-22.9824249,46.90,-144.35,2.91,,,,
3.24E-02,3.11E-03,153.862956,-25.4964994,-24.4966055,49.99,-153.86,3.11,,,,
3.44E-02,3.31E-03,163.373525,-27.0724893,-26.0107857,53.08,-163.37,3.31,,,,
3.64E-02,3.52E-03,172.884094,-28.6484796,-27.5249655,56.17,-172.88,3.52,,,,
3.84E-02,3.72E-03,182.394663,-30.2244703,-29.0391448,59.26,-182.39,3.72,,,,
4.04E-02,3.92E-03,191.905232,-31.8004615,-30.5533237,62.35,-191.91,3.92,,,,
4.24E-02,4.13E-03,201.415802,-33.3764532,-32.0675021,65.44,-201.42,4.13,,,,
4.44E-02,4.34E-03,210.926371,-34.9524454,-33.5816799,68.53,-210.93,4.34,,,,
4.64E-02,4.55E-03,220.43694,-36.5284382,-35.0958571,71.62,-220.44,4.55,,,,
4.84E-02,4.76E-03,229.94751,-38.1044316,-36.6100338,74.71,-229.95,4.76,,,,
5.04E-02,4.97E-03,239.45808,-39.6804256,-38.1242099,77.80,-239.46,4.97,,,,
5.24E-02,5.18E-03,248.968649,-41.2564202,-39.6383853,80.89,-248.97,5.18,,,,
5.44E-02,5.39E-03,258.479219,-42.8324156,-41.15256,83.98,-258.48,5.39,,,,
5.64E-02,5.61E-03,267.989789,-44.4084116,-42.6667339,87.08,-267.99,5.61,,,,
5.84E-02,5.83E-03,277.500359,-45.9844084,-44.1809071,90.17,-277.50,5.83,,,,
6.04E-02,6.04E-03,287.01093,-47.560406,-45.6950796,93.26,-287.01,6.04,,,,
6.24E-02,6.26E-03,296.5215,-49.1364045,-47.2092511,96.35,-296.52,6.26,,,,
6.44E-02,6.48E-03,306.03207,-50.7124038,-48.7234218,99.44,-306.03,6.48,,,,
6.64E-02,6.70E-03,315.542641,-52.288404,-50.2375916,102.53,-315.54,6.70,,,,
6.84E-02,6.93E-03,325.053212,-53.8644051,-51.7517605,105.62,-325.05,6.93,,,,
7.04E-02,7.15E-03,334.563783,-55.4404073,-53.2659283,108.71,-334.56,7.15,,,,
7.24E-02,7.38E-03,344.074353,-57.0164104,-54.7800952,111.80,-344.07,7.38,,,,
7.44E-02,7.60E-03,353.584925,-58.5924146,-56.2942609,114.89,-353.58,7.60,,,,
7.64E-02,7.83E-03,363.095496,-60.1684199,-57.8084256,117.98,-363.10,7.83,,,,
7.84E-02,8.06E-03,372.606067,-61.7444264,-59.3225891,121.07,-372.61,8.06,,,,
8.04E-02,8.29E-03,382.116639,-63.320434,-60.8367514,124.16,-382.12,8.29,,,,
8.24E-02,8.52E-03,391.62721,-64.8964429,-62.3509124,127.25,-391.63,8.52,,,,
8.44E-02,8.76E-03,401.137782,-66.4724531,-63.8650722,130.34,-401.14,8.76,,,,
8.64E-02,8.99E-03,410.648354,-68.0484645,-65.3792306,133.43,-410.65,8.99,,,,
8.84E-02,9.23E-03,420.158926,-69.6244774,-66.8933877,136.52,-420.16,9.23,,,,
9.04E-02,9.47E-03,429.669498,-71.2004917,-68.4075433,139.61,-429.67,9.47,,,,
9.24E-02,9.71E-03,439.180071,-72.7765074,-69.9216974,142.70,-439.18,9.71,,,,
9.44E-02,9.95E-03,448.690643,-74.3525246,-71.43585,145.79,-448.69,9.95,,,,
9.64E-02,1.02E-02,458.201216,-75.9285435,-72.9500011,148.88,-458.20,10.19,,,-450.7752062,146.4656897
9.84E-02,1.04E-02,467.711789,-77.5045639,-74.4641505,151.97,-467.71,10.43,,,,
0.10035625,1.07E-02,477.222362,-79.080586,-75.9782982,155.06,-477.22,10.68,,,,
0.10235625,1.09E-02,486.732935,-80.6566099,-77.4924442,158.15,-486.73,10.93,,,,
0.10435625,1.12E-02,496.243509,-82.2326355,-79.0065883,161.24,-496.24,11.17,,,,
0.10635625,1.14E-02,505.754082,-83.8086629,-80.5207307,164.33,-505.75,11.42,,,,
0.10835625,1.17E-02,515.264656,-85.3846923,-82.034871,167.42,-515.26,11.68,,,,
0.11035625,1.19E-02,524.77523,-86.9607236,-83.5490095,170.51,-524.78,11.93,,,,
0.11235625,1.22E-02,534.285804,-88.5367569,-85.0631458,173.60,-534.29,12.18,,,,
0.11435625,1.24E-02,543.796379,-90.1127923,-86.5772802,176.69,-543.80,12.44,,,,
