TIME, FY_4,
3.80E-02,-242.430218,
3.82E-02,-243.70795,
3.84E-02,-244.985699,
3.86E-02,-246.263466,
3.88E-02,-247.54125,
3.90E-02,-248.819051,
3.92E-02,-250.09687,
3.94E-02,-251.374705,
3.96E-02,-252.652558,
3.98E-02,-253.930427,
4.00E-02,-255.208314,
4.02E-02,-256.486216,
4.04E-02,-257.764136,
4.06E-02,-259.042071,
4.08E-02,-260.320023,
4.10E-02,-261.597991,
4.12E-02,-262.875975,
4.14E-02,-264.153975,
4.16E-02,-265.431991,
4.18E-02,-266.710022,
4.20E-02,-267.98807,
4.22E-02,-269.266132,
4.24E-02,-270.544211,
4.26E-02,-271.822304,
4.28E-02,-273.100413,
4.30E-02,-274.378536,
4.32E-02,-275.656675,
4.34E-02,-276.934829,
4.36E-02,-278.212997,
4.38E-02,-279.491181,
4.40E-02,-280.769379,
4.42E-02,-282.047591,
4.44E-02,-283.325818,
4.46E-02,-284.604059,
4.48E-02,-285.882315,
4.50E-02,-287.160584,
4.52E-02,-288.438868,
4.54E-02,-289.717166,
4.56E-02,-290.995477,
4.58E-02,-292.273803,
4.60E-02,-293.552142,
4.62E-02,-294.830494,
4.64E-02,-296.108861,
4.66E-02,-297.38724,
4.68E-02,-298.665634,
4.70E-02,-299.94404,
4.72E-02,-301.22246,
4.74E-02,-302.500892,
4.76E-02,-303.779338,
4.78E-02,-305.057797,
4.80E-02,-306.336268,
4.82E-02,-307.614753,
4.84E-02,-308.89325,
4.86E-02,-310.17176,
4.88E-02,-311.450282,
4.90E-02,-312.728817,
4.92E-02,-314.007364,
4.94E-02,-315.285923,
4.96E-02,-316.564495,
4.98E-02,-317.843079,
5.00E-02,-319.121675,
5.02E-02,-320.400283,
5.04E-02,-321.678903,
5.06E-02,-322.957535,
5.08E-02,-324.236179,
5.10E-02,-325.514834,
5.12E-02,-326.793501,
5.14E-02,-328.07218,
5.16E-02,-329.35087,
5.18E-02,-330.629572,
5.20E-02,-331.908285,
5.22E-02,-333.18701,
5.24E-02,-334.465745,
5.26E-02,-335.744492,
5.28E-02,-337.02325,
5.30E-02,-338.302019,
5.32E-02,-339.580799,
5.34E-02,-340.85959,
5.36E-02,-342.138392,
5.38E-02,-343.417204,
5.40E-02,-344.696028,
5.42E-02,-345.974861,
5.44E-02,-347.253706,
5.46E-02,-348.532561,
5.48E-02,-349.811427,
5.50E-02,-351.090303,
5.52E-02,-352.369189,
5.54E-02,-353.648086,
5.56E-02,-354.926993,
5.58E-02,-356.20591,
5.60E-02,-357.484837,
5.62E-02,-358.763774,
5.64E-02,-360.042721,
5.66E-02,-361.321679,
5.68E-02,-362.600646,
5.70E-02,-363.879623,
5.72E-02,-365.158609,
5.74E-02,-366.437606,
5.76E-02,-367.716612,
5.78E-02,-368.995627,
5.80E-02,-370.274653,
5.82E-02,-371.553687,
5.84E-02,-372.832732,
5.86E-02,-374.111785,
5.88E-02,-375.390848,
5.90E-02,-376.66992,
5.92E-02,-377.949002,
5.94E-02,-379.228092,
5.96E-02,-380.507192,
5.98E-02,-381.786301,
6.00E-02,-383.065419,
6.02E-02,-384.344546,
6.04E-02,-385.623681,
6.06E-02,-386.902826,
6.08E-02,-388.181979,
6.10E-02,-389.461142,
6.12E-02,-390.740313,
6.14E-02,-392.019492,
6.16E-02,-393.298681,
6.18E-02,-394.577878,
6.20E-02,-395.857083,
6.22E-02,-397.136297,
6.24E-02,-398.415519,
6.26E-02,-399.69475,
6.28E-02,-400.973989,
6.30E-02,-402.253237,
6.32E-02,-403.532493,
6.34E-02,-404.811757,
6.36E-02,-406.091029,
6.38E-02,-407.370309,
6.40E-02,-408.649597,
6.42E-02,-409.928894,
6.44E-02,-411.208198,
6.46E-02,-412.487511,
6.48E-02,-413.766831,
6.50E-02,-415.046159,
6.52E-02,-416.325495,
6.54E-02,-417.604839,
6.56E-02,-418.884191,
6.58E-02,-420.16355,
6.60E-02,-421.442917,
6.62E-02,-422.722291,
6.64E-02,-424.001674,
6.66E-02,-425.281063,
6.68E-02,-426.560461,
6.70E-02,-427.839865,
6.72E-02,-429.119278,
6.74E-02,-430.398697,
6.76E-02,-431.678124,
6.78E-02,-432.957558,
6.80E-02,-434.237,
6.82E-02,-435.516448,
6.84E-02,-436.795904,
6.86E-02,-438.075367,
6.88E-02,-439.354838,
6.90E-02,-440.634315,
6.92E-02,-441.913799,
6.94E-02,-443.193291,
6.96E-02,-444.472789,
6.98E-02,-445.752295,
7.00E-02,-447.031807,
7.02E-02,-448.311326,
7.04E-02,-449.590852,
7.06E-02,-450.870385,
7.08E-02,-452.149924,
7.10E-02,-453.429471,
7.12E-02,-454.709024,
7.14E-02,-455.988583,
7.16E-02,-457.26815,
7.18E-02,-458.547723,
7.20E-02,-459.827302,
7.22E-02,-461.106888,
7.24E-02,-462.386481,
7.26E-02,-463.66608,
7.28E-02,-464.945685,
7.30E-02,-466.225297,
7.32E-02,-467.504916,
7.34E-02,-468.78454,
7.36E-02,-470.064171,
7.38E-02,-471.343808,
7.40E-02,-472.623452,
7.42E-02,-473.903102,
7.44E-02,-475.182758,
7.46E-02,-476.46242,
7.48E-02,-477.742088,
7.50E-02,-479.021762,
7.52E-02,-480.301442,
7.54E-02,-481.581129,
7.56E-02,-482.860821,
7.58E-02,-484.14052,
7.60E-02,-485.420224,
7.62E-02,-486.699934,
7.64E-02,-487.979651,
7.66E-02,-489.259373,
7.68E-02,-490.539101,
7.70E-02,-491.818834,
7.72E-02,-493.098574,
7.74E-02,-494.378319,
7.76E-02,-495.65807,
7.78E-02,-496.937827,
7.80E-02,-498.217589,
7.82E-02,-499.497357,
7.84E-02,-500.777131,
7.86E-02,-502.05691,
7.88E-02,-503.336695,
7.90E-02,-504.616486,
7.92E-02,-505.896282,
7.94E-02,-507.176083,
7.96E-02,-508.45589,
7.98E-02,-509.735702,
8.00E-02,-511.01552,
8.02E-02,-512.295343,
8.04E-02,-513.575171,
8.06E-02,-514.855005,
8.08E-02,-516.134844,
8.10E-02,-517.414689,
8.12E-02,-518.694539,
8.14E-02,-519.974394,
8.16E-02,-521.254254,
8.18E-02,-522.534119,
8.20E-02,-523.81399,
8.22E-02,-525.093865,
8.24E-02,-526.373746,
8.26E-02,-527.653632,
8.28E-02,-528.933523,
8.30E-02,-530.213419,
8.32E-02,-531.49332,
8.34E-02,-532.773226,
8.36E-02,-534.053137,
8.38E-02,-535.333053,
8.40E-02,-536.612974,
8.42E-02,-537.8929,
8.44E-02,-539.172831,
8.46E-02,-540.452767,
8.48E-02,-541.732707,
8.50E-02,-543.012652,
8.52E-02,-544.292603,
8.54E-02,-545.572558,
8.56E-02,-546.852517,
8.58E-02,-548.132482,
8.60E-02,-549.412451,
8.62E-02,-550.692425,
8.64E-02,-551.972403,
8.66E-02,-553.252387,
8.68E-02,-554.532375,
