TIME, UY_3
0.163825, 6.144702059E-03
0.164825, 6.151356458E-03
0.165825, 6.157952686E-03
0.166825, 6.164491587E-03
0.167825, 6.170973991E-03
0.168825, 6.177400708E-03
0.169825, 6.183772533E-03
0.170825, 6.190090247E-03
0.171825, 6.196354615E-03
0.172825, 6.202566385E-03
0.173825, 6.208726293E-03
0.174825, 6.214835061E-03
0.175825, 6.220893395E-03
0.176825, 6.226901991E-03
0.177825, 6.232861528E-03
0.178825, 6.238772675E-03
0.179825, 6.244636087E-03
0.180825, 6.250452408E-03
0.181825, 6.256222269E-03
0.182825, 6.26194629E-03
0.183825, 6.267625079E-03
0.184825, 6.273259233E-03
0.185825, 6.27884934E-03
0.186825, 6.284395974E-03
0.187825, 6.289899701E-03
0.188825, 6.295361076E-03
0.189825, 6.300780646E-03
0.190825, 6.306158946E-03
0.191825, 6.311496501E-03
0.192825, 6.31679383E-03
0.193825, 6.322051439E-03
0.194825, 6.32726983E-03
0.195825, 6.332449491E-03
0.196825, 6.337590905E-03
0.197825, 6.342694546E-03
0.198825, 6.347760879E-03
0.199825, 6.352790363E-03
0.200825, 6.357783447E-03
0.201825, 6.362740575E-03
0.202825, 6.36766218E-03
0.203825, 6.372548692E-03
0.204825, 6.377400529E-03
0.205825, 6.382218108E-03
0.206825, 6.387001833E-03
0.207825, 6.391752106E-03
0.208825, 6.39646932E-03
0.209825, 6.401153863E-03
0.210825, 6.405806116E-03
0.211825, 6.410426453E-03
0.212825, 6.415015244E-03
0.213825, 6.419572852E-03
0.214825, 6.424099633E-03
0.215825, 6.42859594E-03
0.216825, 6.433062119E-03
0.217825, 6.43749851E-03
0.218825, 6.441905448E-03
0.219825, 6.446283264E-03
0.220825, 6.450632283E-03
0.221825, 6.454952825E-03
0.222825, 6.459245204E-03
0.223825, 6.463509732E-03
0.224825, 6.467746713E-03
0.225825, 6.471956449E-03
0.226825, 6.476139235E-03
0.227825, 6.480295364E-03
0.228825, 6.484425124E-03
0.229825, 6.488528797E-03
0.230825, 6.492606662E-03
0.231825, 6.496658995E-03
0.232825, 6.500686067E-03
0.233825, 6.504688143E-03
0.234825, 6.508665488E-03
0.235825, 6.51261836E-03
0.236825, 6.516547015E-03
0.237825, 6.520451704E-03
0.238825, 6.524332675E-03
0.239825, 6.528190174E-03
0.240825, 6.532024441E-03
0.241825, 6.535835713E-03
0.242825, 6.539624225E-03
0.243825, 6.543390208E-03
0.244825, 6.547133889E-03
0.245825, 6.550855494E-03
0.246825, 6.554555243E-03
0.247825, 6.558233355E-03
0.248825, 6.561890044E-03
0.249825, 6.565525524E-03
0.250825, 6.569140004E-03
0.251825, 6.57273369E-03
0.252825, 6.576306786E-03
0.253825, 6.579859492E-03
0.254825, 6.583392008E-03
0.255825, 6.586904529E-03
0.256825, 6.590397247E-03
0.257825, 6.593870354E-03
0.258825, 6.597324036E-03
0.259825, 6.600758479E-03
0.260825, 6.604173866E-03
0.261825, 6.607570378E-03
0.262825, 6.610948193E-03
0.263825, 6.614307485E-03
0.264825, 6.61764843E-03
0.265825, 6.620971198E-03
0.266825, 6.624275957E-03
0.267825, 6.627562876E-03
0.268825, 6.630832118E-03
0.269825, 6.634083847E-03
0.270825, 6.637318222E-03
0.271825, 6.640535402E-03
0.272825, 6.643735543E-03
0.273825, 6.646918801E-03
0.274825, 6.650085327E-03
0.275825, 6.653235272E-03
0.276825, 6.656368785E-03
0.277825, 6.659486013E-03
0.278825, 6.662587101E-03
0.279825, 6.665672191E-03
0.280825, 6.668741427E-03
0.281825, 6.671794947E-03
0.282825, 6.674832889E-03
0.283825, 6.67785539E-03
0.284825, 6.680862584E-03
0.285825, 6.683854605E-03
0.286825, 6.686831584E-03
0.287825, 6.689793651E-03
0.288825, 6.692740935E-03
0.289825, 6.695673561E-03
0.290825, 6.698591655E-03
0.291825, 6.701495342E-03
0.292825, 6.704384744E-03
0.293825, 6.70725998E-03
0.294825, 6.710121172E-03
0.295825, 6.712968436E-03
0.296825, 6.71580189E-03
0.297825, 6.718621649E-03
