TIME, UY_5, FY_3, FY_4,Load, FX_2,Reaction,Deflection
0.66835625,0.02,-354.356998,-340.438399,694.80,-3268.75537,3268.76,21.44889368
0.67035625,0.02,-355.41742,-341.457094,696.87,-3278.53684,3278.54,21.482399
0.67235625,0.02,-356.477842,-342.475789,698.95,-3288.31832,3288.32,21.51581038
0.67435625,0.02,-357.538264,-343.494484,701.03,-3298.0998,3298.10,21.54912823
0.67635625,0.02,-358.598686,-344.513179,703.11,-3307.88127,3307.88,21.58235295
0.67835625,0.02,-359.659108,-345.531873,705.19,-3317.66275,3317.66,21.61548494
0.68035625,0.02,-360.719531,-346.550567,707.27,-3327.44422,3327.44,21.6485246
0.68235625,0.02,-361.779953,-347.569262,709.35,-3337.2257,3337.23,21.68147233
0.68435625,0.02,-362.840376,-348.587956,711.43,-3347.00717,3347.01,21.71432853
0.68635625,0.02,-363.9008,-349.606649,713.51,-3356.78865,3356.79,21.74709359
0.68835625,0.02,-364.961223,-350.625343,715.59,-3366.57013,3366.57,21.77976789
0.69035625,0.02,-366.021646,-351.644036,717.67,-3376.3516,3376.35,21.81235183
0.69235625,0.02,-367.08207,-352.662729,719.74,-3386.13308,3386.13,21.8448458
0.69435625,0.02,-368.142494,-353.681422,721.82,-3395.91455,3395.91,21.87725017
0.69635625,0.02,-369.202918,-354.700115,723.90,-3405.69603,3405.70,21.90956533
0.69835625,0.02,-370.263342,-355.718808,725.98,-3415.47751,3415.48,21.94179166
0.70035625,0.02,-371.323767,-356.7375,728.06,-3425.25898,3425.26,21.97392954
0.70235625,0.02,-372.384191,-357.756192,730.14,-3435.04046,3435.04,22.00597934
0.70435625,0.02,-373.444616,-358.774884,732.22,-3444.82193,3444.82,22.03794144
0.70635625,0.02,-374.505041,-359.793576,734.30,-3454.60341,3454.60,22.06981621
0.70835625,0.02,-375.565466,-360.812268,736.38,-3464.38488,3464.38,22.10160401
0.71035625,0.02,-376.625892,-361.830959,738.46,-3474.16636,3474.17,22.13330521
0.71235625,0.02,-377.686317,-362.849651,740.54,-3483.94784,3483.95,22.16492018
0.71435625,0.02,-378.746743,-363.868342,742.62,-3493.72931,3493.73,22.19644928
0.71635625,0.02,-379.807169,-364.887033,744.69,-3503.51079,3503.51,22.22789288
0.71835625,0.02,-380.867595,-365.905723,746.77,-3513.29226,3513.29,22.25925132
0.72035625,0.02,-381.928022,-366.924414,748.85,-3523.07374,3523.07,22.29052498
0.72235625,0.02,-382.988448,-367.943104,750.93,-3532.85521,3532.86,22.32171419
0.72435625,0.02,-384.048875,-368.961795,753.01,-3542.63669,3542.64,22.35281932
0.72635625,0.02,-385.109302,-369.980485,755.09,-3552.41817,3552.42,22.38384071
0.72835625,0.02,-386.169729,-370.999174,757.17,-3562.19964,3562.20,22.41477872
0.73035625,0.02,-387.230156,-372.017864,759.25,-3571.98112,3571.98,22.44563369
0.73235625,0.02,-388.290583,-373.036553,761.33,-3581.76259,3581.76,22.47640597
0.73435625,0.02,-389.351011,-374.055243,763.41,-3591.54407,3591.54,22.5070959
0.73635625,0.02,-390.411439,-375.073932,765.49,-3601.32555,3601.33,22.53770381
0.73835625,0.02,-391.471867,-376.092621,767.56,-3611.10702,3611.11,22.56823006
0.74035625,0.02,-392.532295,-377.11131,769.64,-3620.8885,3620.89,22.59867498
0.74235625,0.02,-393.592723,-378.129998,771.72,-3630.66997,3630.67,22.6290389
0.74435625,0.02,-394.653152,-379.148686,773.80,-3640.45145,3640.45,22.65932215
0.74635625,0.02,-395.71358,-380.167375,775.88,-3650.23292,3650.23,22.68952507
0.74835625,0.02,-396.774009,-381.186063,777.96,-3660.0144,3660.01,22.71964799
0.75035625,0.02,-397.834438,-382.20475,780.04,-3669.79588,3669.80,22.74969124
0.75235625,0.02,-398.894868,-383.223438,782.12,-3679.57735,3679.58,22.77965514
0.75435625,0.02,-399.955297,-384.242126,784.20,-3689.35883,3689.36,22.80954002
0.75635625,0.02,-401.015726,-385.260813,786.28,-3699.1403,3699.14,22.8393462
0.75835625,0.02,-402.076156,-386.2795,788.36,-3708.92178,3708.92,22.86907401
0.76035625,0.02,-403.136586,-387.298187,790.43,-3718.70326,3718.70,22.89872375
0.76235625,0.02,-404.197016,-388.316874,792.51,-3728.48473,3728.48,22.92829575
0.76435625,0.02,-405.257447,-389.33556,794.59,-3738.26621,3738.27,22.95779032
0.76635625,0.02,-406.317877,-390.354247,796.67,-3748.04768,3748.05,22.98720779
0.76835625,0.02,-407.378308,-391.372933,798.75,-3757.82916,3757.83,23.01654845
0.77035625,0.02,-408.438738,-392.391619,800.83,-3767.61063,3767.61,23.04581263
0.77235625,0.02,-409.499169,-393.410305,802.91,-3777.39211,3777.39,23.07500063
0.77435625,0.02,-410.559601,-394.428991,804.99,-3787.17359,3787.17,23.10411275
0.77635625,0.02,-411.620032,-395.447676,807.07,-3796.95506,3796.96,23.13314931
0.77835625,0.02,-412.680463,-396.466361,809.15,-3806.73654,3806.74,23.16211061
0.78035625,0.02,-413.740895,-397.485047,811.23,-3816.51801,3816.52,23.19099695
0.78235625,0.02,-414.801327,-398.503732,813.31,-3826.29949,3826.30,23.21980863
0.78435625,0.02,-415.861759,-399.522417,815.38,-3836.08097,3836.08,23.24854595
0.78635625,0.02,-416.922191,-400.541101,817.46,-3845.86244,3845.86,23.2772092
0.78835625,0.02,-417.982624,-401.559786,819.54,-3855.64392,3855.64,23.30579869
0.79035625,0.02,-419.043056,-402.57847,821.62,-3865.42539,3865.43,23.33431471
0.79235625,0.02,-420.103489,-403.597154,823.70,-3875.20687,3875.21,23.36275755
0.79435625,0.02,-421.163922,-404.615838,825.78,-3884.98834,3884.99,23.39112751
0.79635625,0.02,-422.224355,-405.634522,827.86,-3894.76982,3894.77,23.41942486
0.79835625,0.02,-423.284788,-406.653206,829.94,-3904.5513,3904.55,23.4476499
0.80035625,0.02,-424.345221,-407.671889,832.02,-3914.33277,3914.33,23.47580293
0.80235625,0.02,-425.405655,-408.690572,834.10,-3924.11425,3924.11,23.50388421
0.80435625,0.02,-426.466089,-409.709256,836.18,-3933.89572,3933.90,23.53189404
0.80635625,0.02,-427.526523,-410.727939,838.25,-3943.6772,3943.68,23.5598327
0.80835625,0.02,-428.586957,-411.746621,840.33,-3953.45868,3953.46,23.58770046
0.81035625,0.02,-429.647391,-412.765304,842.41,-3963.24015,3963.24,23.61549762
0.81235625,0.02,-430.707825,-413.783986,844.49,-3973.02163,3973.02,23.64322444
0.81435625,0.02,-431.76826,-414.802669,846.57,-3982.8031,3982.80,23.6708812
0.81635625,0.02,-432.828695,-415.821351,848.65,-3992.58458,3992.58,23.69846817
0.81835625,0.02,-433.88913,-416.840033,850.73,-4002.36605,4002.37,23.72598564
0.82035625,0.02,-434.949565,-417.858715,852.81,-4012.14753,4012.15,23.75343387
0.82235625,0.02,-436.01,-418.877396,854.89,-4021.92901,4021.93,23.78081312
0.82435625,0.02,-437.070435,-419.896078,856.97,-4031.71048,4031.71,23.80812368
0.82635625,0.02,-438.130871,-420.914759,859.05,-4041.49196,4041.49,23.83536581
0.82835625,0.02,-439.191307,-421.93344,861.12,-4051.27343,4051.27,23.86253977
0.83035625,0.02,-440.251742,-422.952121,863.20,-4061.05491,4061.05,23.88964584
0.83235625,0.02,-441.312179,-423.970802,865.28,-4070.83639,4070.84,23.91668426
0.83435625,0.02,-442.372615,-424.989483,867.36,-4080.61786,4080.62,23.94365531
0.83635625,0.02,-443.433051,-426.008163,869.44,-4090.39934,4090.40,23.97055925
0.83835625,0.02,-444.493488,-427.026844,871.52,-4100.18081,4100.18,23.99739633
0.84035625,0.02,-445.553924,-428.045524,873.60,-4109.96229,4109.96,24.02416681
0.84235625,0.02,-446.614361,-429.064204,875.68,-4119.74377,4119.74,24.05087096
0.84435625,0.02,-447.674798,-430.082884,877.76,-4129.52524,4129.53,24.07750902
0.84635625,0.02,-448.735236,-431.101563,879.84,-4139.30672,4139.31,24.10408125
0.84835625,0.02,-449.795673,-432.120243,881.92,-4149.08819,4149.09,24.1305879
0.85035625,0.02,-450.85611,-433.138922,884.00,-4158.86967,4158.87,24.15702923
0.85235625,0.02,-451.916548,-434.157601,886.07,-4168.65114,4168.65,24.18340547
0.85435625,0.02,-452.976986,-435.17628,888.15,-4178.43262,4178.43,24.2097169
0.85635625,0.02,-454.037424,-436.194959,890.23,-4188.2141,4188.21,24.23596374
0.85835625,0.02,-455.097862,-437.213638,892.31,-4197.99557,4198.00,24.26214625
0.86035625,0.02,-456.158301,-438.232316,894.39,-4207.77705,4207.78,24.28826467
0.86235625,0.02,-457.218739,-439.250995,896.47,-4217.55852,4217.56,24.31431924
0.86435625,0.02,-458.279178,-440.269673,898.55,-4227.34,4227.34,24.34031022
0.86635625,0.02,-459.339617,-441.288351,900.63,-4237.12148,4237.12,24.36623783
0.86835625,0.02,-460.400055,-442.307029,902.71,-4246.90295,4246.90,24.39210232
0.87035625,0.02,-461.460495,-443.325707,904.79,-4256.68443,4256.68,24.41790394
0.87235625,0.02,-462.520934,-444.344384,906.87,-4266.4659,4266.47,24.4436429
0.87435625,0.02,-463.581373,-445.363062,908.94,-4276.24738,4276.25,24.46931947
0.87635625,0.02,-464.641813,-446.381739,911.02,-4286.02885,4286.03,24.49493385
0.87835625,0.02,-465.702253,-447.400416,913.10,-4295.81033,4295.81,24.5204863
0.88035625,0.02,-466.762693,-448.419093,915.18,-4305.59181,4305.59,24.54597705
0.88235625,0.02,-467.823133,-449.43777,917.26,-4315.37328,4315.37,24.57140632
0.88435625,0.02,-468.883573,-450.456447,919.34,-4325.15476,4325.15,24.59677435
0.88635625,0.02,-469.944013,-451.475123,921.42,-4334.93623,4334.94,24.62208137
0.88835625,0.02,-471.004454,-452.493799,923.50,-4344.71771,4344.72,24.6473276
0.89035625,0.02,-472.064895,-453.512476,925.58,-4354.49919,4354.50,24.67251328
0.89235625,0.02,-473.125335,-454.531152,927.66,-4364.28066,4364.28,24.69763862
0.89435625,0.02,-474.185776,-455.549828,929.74,-4374.06214,4374.06,24.72270385
0.89635625,0.02,-475.246218,-456.568503,931.81,-4383.84361,4383.84,24.7477092
0.89835625,0.02,-476.306659,-457.587179,933.89,-4393.62509,4393.63,24.7726549
0.90035625,0.02,-477.3671,-458.605854,935.97,-4403.40657,4403.41,24.79754115
0.90235625,0.02,-478.427542,-459.62453,938.05,-4413.18804,4413.19,24.82236818
0.90435625,0.02,-479.487984,-460.643205,940.13,-4422.96952,4422.97,24.84713622
0.90635625,0.02,-480.548426,-461.66188,942.21,-4432.75099,4432.75,24.87184547
0.90835625,0.02,-481.608868,-462.680554,944.29,-4442.53247,4442.53,24.89649616
0.91035625,0.02,-482.66931,-463.699229,946.37,-4452.31394,4452.31,24.9210885
0.91235625,0.02,-483.729752,-464.717904,948.45,-4462.09542,4462.10,24.94562271
0.91435625,0.02,-484.790195,-465.736578,950.53,-4471.8769,4471.88,24.970099
0.91635625,0.02,-485.850637,-466.755252,952.61,-4481.65837,4481.66,24.99451758
0.91835625,0.03,-486.91108,-467.773926,954.69,-4491.43985,4491.44,25.01887867
0.92035625,0.03,-487.971523,-468.7926,956.76,-4501.22132,4501.22,25.04318247
0.92235625,0.03,-489.031966,-469.811274,958.84,-4511.0028,4511.00,25.06742921
0.92435625,0.03,-490.09241,-470.829947,960.92,-4520.78428,4520.78,25.09161907
0.92635625,0.03,-491.152853,-471.848621,963.00,-4530.56575,4530.57,25.11575228
0.92835625,0.03,-492.213297,-472.867294,965.08,-4540.34723,4540.35,25.13982904
0.93035625,0.03,-493.27374,-473.885967,967.16,-4550.1287,4550.13,25.16384955
0.93235625,0.03,-494.334184,-474.90464,969.24,-4559.91018,4559.91,25.18781403
0.93435625,0.03,-495.394628,-475.923313,971.32,-4569.69165,4569.69,25.21172266
0.93635625,0.03,-496.455072,-476.941986,973.40,-4579.47313,4579.47,25.23557567
0.93835625,0.03,-497.515517,-477.960658,975.48,-4589.25461,4589.25,25.25937324
0.94035625,0.03,-498.575961,-478.979331,977.56,-4599.03608,4599.04,25.28311558
0.94235625,0.03,-499.636406,-479.998003,979.63,-4608.81756,4608.82,25.30680288
0.94435625,0.03,-500.696851,-481.016675,981.71,-4618.59903,4618.60,25.33043536
0.94635625,0.03,-501.757296,-482.035347,983.79,-4628.38051,4628.38,25.3540132
0.94835625,0.03,-502.817741,-483.054019,985.87,-4638.16199,4638.16,25.3775366
0.95035625,0.03,-503.878186,-484.072691,987.95,-4647.94346,4647.94,25.40100576
0.95235625,0.03,-504.938631,-485.091362,990.03,-4657.72494,4657.72,25.42442087
0.95435625,0.03,-505.999077,-486.110034,992.11,-4667.50641,4667.51,25.44778212
0.95635625,0.03,-507.059522,-487.128705,994.19,-4677.28789,4677.29,25.47108972
0.95835625,0.03,-508.119968,-488.147376,996.27,-4687.06937,4687.07,25.49434385
0.96035625,0.03,-509.180414,-489.166047,998.35,-4696.85084,4696.85,25.5175447
0.96235625,0.03,-510.24086,-490.184718,1000.43,-4706.63232,4706.63,25.54069246
0.96435625,0.03,-511.301306,-491.203388,1002.50,-4716.41379,4716.41,25.56378733
0.96635625,0.03,-512.361753,-492.222059,1004.58,-4726.19527,4726.20,25.58682949
0.96835625,0.03,-513.422199,-493.240729,1006.66,-4735.97674,4735.98,25.60981912
0.97035625,0.03,-514.482646,-494.2594,1008.74,-4745.75822,4745.76,25.63275643
0.97235625,0.03,-515.543092,-495.27807,1010.82,-4755.5397,4755.54,25.65564158
0.97435625,0.03,-516.603539,-496.29674,1012.90,-4765.32117,4765.32,25.67847477
0.97635625,0.03,-517.663986,-497.31541,1014.98,-4775.10265,4775.10,25.70125618
0.97835625,0.03,-518.724434,-498.334079,1017.06,-4784.88412,4784.88,25.72398599
0.98035625,0.03,-519.784881,-499.352749,1019.14,-4794.6656,4794.67,25.74666439
0.98235625,0.03,-520.845328,-500.371418,1021.22,-4804.44708,4804.45,25.76929155
0.98435625,0.03,-521.905776,-501.390087,1023.30,-4814.22855,4814.23,25.79186767
0.98635625,0.03,-522.966224,-502.408756,1025.37,-4824.01003,4824.01,25.81439291
0.98835625,0.03,-524.026672,-503.427426,1027.45,-4833.7915,4833.79,25.83686745
0.99035625,0.03,-525.08712,-504.446094,1029.53,-4843.57298,4843.57,25.85929148
0.99235625,0.03,-526.147568,-505.464763,1031.61,-4853.35446,4853.35,25.88166518
0.99435625,0.03,-527.208016,-506.483432,1033.69,-4863.13593,4863.14,25.90398871
0.99635625,0.03,-528.268465,-507.5021,1035.77,-4872.91741,4872.92,25.92626225
0.99835625,0.03,-529.328913,-508.520768,1037.85,-4882.69888,4882.70,25.94848598
1,0.03,-530.200469,-509.357985,1039.56,-4890.73803,4890.74,25.96671393
