TIME, UY_5, FY_4, FY_3, FX_2,Reaction,Load,Deflection,,,,
0.80435625,5.96E-02,-985.0785,-1025.81226,-3482.96503,3482.97,2010.89,59.57,,,,
0.80635625,5.96E-02,-987.527162,-1028.3636,-3491.62529,3491.63,2015.89,59.64,,,,
0.80835625,5.97E-02,-989.975821,-1030.91494,-3500.28554,3500.29,2020.89,59.72,,,,
0.81035625,5.98E-02,-992.424477,-1033.46628,-3508.94579,3508.95,2025.89,59.79,,,,
0.81235625,5.99E-02,-994.87313,-1036.01763,-3517.60605,3517.61,2030.89,59.86,,,,
0.81435625,5.99E-02,-997.321781,-1038.56898,-3526.2663,3526.27,2035.89,59.93,,,,
0.81635625,6.00E-02,-999.770429,-1041.12033,-3534.92655,3534.93,2040.89,60.01,,,,
0.81835625,6.01E-02,-1002.21907,-1043.67168,-3543.5868,3543.59,2045.89,60.08,,,,
0.82035625,6.02E-02,-1004.66772,-1046.22304,-3552.24706,3552.25,2050.89,60.15,,,,
0.82235625,6.02E-02,-1007.11635,-1048.7744,-3560.90731,3560.91,2055.89,60.23,,,,
0.82435625,6.03E-02,-1009.56499,-1051.32576,-3569.56756,3569.57,2060.89,60.30,,,,
0.82635625,6.04E-02,-1012.01363,-1053.87713,-3578.22782,3578.23,2065.89,60.37,,,,
0.82835625,6.04E-02,-1014.46226,-1056.4285,-3586.88807,3586.89,2070.89,60.44,,,,
0.83035625,6.05E-02,-1016.91088,-1058.97987,-3595.54832,3595.55,2075.89,60.51,,,,
0.83235625,6.06E-02,-1019.35951,-1061.53125,-3604.20858,3604.21,2080.89,60.58,,,,
0.83435625,6.07E-02,-1021.80813,-1064.08262,-3612.86883,3612.87,2085.89,60.65,,,,
0.83635625,6.07E-02,-1024.25675,-1066.634,-3621.52908,3621.53,2090.89,60.73,,,,
0.83835625,6.08E-02,-1026.70537,-1069.18539,-3630.18934,3630.19,2095.89,60.80,,,,
0.84035625,6.09E-02,-1029.15398,-1071.73677,-3638.84959,3638.85,2100.89,60.87,,,,
0.84235625,6.09E-02,-1031.60259,-1074.28816,-3647.50984,3647.51,2105.89,60.94,,,,
0.84435625,6.10E-02,-1034.0512,-1076.83955,-3656.1701,3656.17,2110.89,61.01,,,,
0.84635625,6.11E-02,-1036.49981,-1079.39094,-3664.83035,3664.83,2115.89,61.08,,,,
0.84835625,6.11E-02,-1038.94841,-1081.94234,-3673.4906,3673.49,2120.89,61.15,,,,
0.85035625,6.12E-02,-1041.39701,-1084.49374,-3682.15085,3682.15,2125.89,61.22,,,,
0.85235625,6.13E-02,-1043.84561,-1087.04514,-3690.81111,3690.81,2130.89,61.29,,,,
0.85435625,6.14E-02,-1046.2942,-1089.59655,-3699.47136,3699.47,2135.89,61.36,,,,
0.85635625,6.14E-02,-1048.7428,-1092.14796,-3708.13161,3708.13,2140.89,61.43,,,,
0.85835625,6.15E-02,-1051.19138,-1094.69937,-3716.79187,3716.79,2145.89,61.50,,,,
0.86035625,6.16E-02,-1053.63997,-1097.25078,-3725.45212,3725.45,2150.89,61.57,,,,
0.86235625,6.16E-02,-1056.08856,-1099.80219,-3734.11237,3734.11,2155.89,61.63,,,,
0.86435625,6.17E-02,-1058.53714,-1102.35361,-3742.77263,3742.77,2160.89,61.70,,,,
0.86635625,6.18E-02,-1060.98571,-1104.90503,-3751.43288,3751.43,2165.89,61.77,,,,
0.86835625,6.18E-02,-1063.43429,-1107.45646,-3760.09313,3760.09,2170.89,61.84,,,,
0.87035625,6.19E-02,-1065.88286,-1110.00789,-3768.75339,3768.75,2175.89,61.91,,,,
0.87235625,6.20E-02,-1068.33143,-1112.55931,-3777.41364,3777.41,2180.89,61.98,,,,
0.87435625,6.20E-02,-1070.78,-1115.11075,-3786.07389,3786.07,2185.89,62.04,,,,
0.87635625,6.21E-02,-1073.22857,-1117.66218,-3794.73415,3794.73,2190.89,62.11,,,,
0.87835625,6.22E-02,-1075.67713,-1120.21362,-3803.3944,3803.39,2195.89,62.18,,,,
0.88035625,6.22E-02,-1078.12569,-1122.76506,-3812.05465,3812.05,2200.89,62.25,,,,
0.88235625,6.23E-02,-1080.57424,-1125.3165,-3820.71491,3820.71,2205.89,62.31,,,,
0.88435625,6.24E-02,-1083.0228,-1127.86795,-3829.37516,3829.38,2210.89,62.38,,,,
0.88635625,6.24E-02,-1085.47135,-1130.4194,-3838.03541,3838.04,2215.89,62.45,,,,
0.88835625,6.25E-02,-1087.9199,-1132.97085,-3846.69567,3846.70,2220.89,62.51,,,,
0.89035625,6.26E-02,-1090.36845,-1135.5223,-3855.35592,3855.36,2225.89,62.58,,,,
0.89235625,6.26E-02,-1092.81699,-1138.07376,-3864.01617,3864.02,2230.89,62.65,,,,
0.89435625,6.27E-02,-1095.26553,-1140.62521,-3872.67643,3872.68,2235.89,62.71,,,,
0.89635625,6.28E-02,-1097.71407,-1143.17668,-3881.33668,3881.34,2240.89,62.78,,,,
0.89835625,6.28E-02,-1100.1626,-1145.72814,-3889.99693,3890.00,2245.89,62.85,,,,
0.90035625,6.29E-02,-1102.61114,-1148.27961,-3898.65719,3898.66,2250.89,62.91,,,,
0.90235625,6.30E-02,-1105.05967,-1150.83108,-3907.31744,3907.32,2255.89,62.98,,,,
0.90435625,6.30E-02,-1107.50819,-1153.38255,-3915.97769,3915.98,2260.89,63.04,,,,
0.90635625,6.31E-02,-1109.95672,-1155.93402,-3924.63794,3924.64,2265.89,63.11,,,,
0.90835625,6.32E-02,-1112.40524,-1158.4855,-3933.2982,3933.30,2270.89,63.17,,,,
0.91035625,6.32E-02,-1114.85376,-1161.03698,-3941.95845,3941.96,2275.89,63.24,,,,
0.91235625,6.33E-02,-1117.30228,-1163.58846,-3950.6187,3950.62,2280.89,63.30,,,,
0.91435625,6.34E-02,-1119.75079,-1166.13995,-3959.27896,3959.28,2285.89,63.37,,,,
0.91635625,6.34E-02,-1122.19931,-1168.69144,-3967.93921,3967.94,2290.89,63.43,,,,
0.91835625,6.35E-02,-1124.64782,-1171.24293,-3976.59946,3976.60,2295.89,63.50,,,,
0.92035625,6.36E-02,-1127.09632,-1173.79442,-3985.25972,3985.26,2300.89,63.56,,,,
0.92235625,6.36E-02,-1129.54483,-1176.34591,-3993.91997,3993.92,2305.89,63.63,,,,
0.92435625,6.37E-02,-1131.99333,-1178.89741,-4002.58022,4002.58,2310.89,63.69,,,,
0.92635625,6.38E-02,-1134.44183,-1181.44891,-4011.24048,4011.24,2315.89,63.75,,,,
0.92835625,6.38E-02,-1136.89032,-1184.00041,-4019.90073,4019.90,2320.89,63.82,,,,
0.93035625,6.39E-02,-1139.33882,-1186.55192,-4028.56098,4028.56,2325.89,63.88,,,,
0.93235625,6.39E-02,-1141.78731,-1189.10343,-4037.22124,4037.22,2330.89,63.95,,,,
0.93435625,6.40E-02,-1144.2358,-1191.65494,-4045.88149,4045.88,2335.89,64.01,,,,
0.93635625,6.41E-02,-1146.68428,-1194.20645,-4054.54174,4054.54,2340.89,64.07,,,,
0.93835625,6.41E-02,-1149.13277,-1196.75797,-4063.202,4063.20,2345.89,64.13,,,,
0.94035625,6.42E-02,-1151.58125,-1199.30949,-4071.86225,4071.86,2350.89,64.20,,,,
0.94235625,6.43E-02,-1154.02973,-1201.86101,-4080.5225,4080.52,2355.89,64.26,,,,
0.94435625,6.43E-02,-1156.47821,-1204.41253,-4089.18276,4089.18,2360.89,64.32,,,,
0.94635625,6.44E-02,-1158.92668,-1206.96406,-4097.84301,4097.84,2365.89,64.39,,,,
0.94835625,6.44E-02,-1161.37515,-1209.51559,-4106.50326,4106.50,2370.89,64.45,,,,
0.95035625,6.45E-02,-1163.82362,-1212.06712,-4115.16352,4115.16,2375.89,64.51,,,,
0.95235625,6.46E-02,-1166.27208,-1214.61865,-4123.82377,4123.82,2380.89,64.57,,,,
0.95435625,6.46E-02,-1168.72055,-1217.17019,-4132.48402,4132.48,2385.89,64.63,,,,
0.95635625,6.47E-02,-1171.16901,-1219.72172,-4141.14428,4141.14,2390.89,64.70,,,,
0.95835625,6.48E-02,-1173.61747,-1222.27327,-4149.80453,4149.80,2395.89,64.76,,,,
0.96035625,6.48E-02,-1176.06592,-1224.82481,-4158.46478,4158.46,2400.89,64.82,,,,
0.96235625,6.49E-02,-1178.51438,-1227.37636,-4167.12504,4167.13,2405.89,64.88,,,,
0.96435625,6.49E-02,-1180.96283,-1229.9279,-4175.78529,4175.79,2410.89,64.94,,,,
0.96635625,6.50E-02,-1183.41128,-1232.47945,-4184.44554,4184.45,2415.89,65.00,,,,
0.96835625,6.51E-02,-1185.85972,-1235.03101,-4193.1058,4193.11,2420.89,65.06,,,,
0.97035625,6.51E-02,-1188.30817,-1237.58256,-4201.76605,4201.77,2425.89,65.12,,,,
0.97235625,6.52E-02,-1190.75661,-1240.13412,-4210.4263,4210.43,2430.89,65.19,,,,
0.97435625,6.52E-02,-1193.20505,-1242.68568,-4219.08656,4219.09,2435.89,65.25,,,,
0.97635625,6.53E-02,-1195.65348,-1245.23725,-4227.74681,4227.75,2440.89,65.31,,,,
0.97835625,6.54E-02,-1198.10192,-1247.78881,-4236.40706,4236.41,2445.89,65.37,,,,
0.98035625,6.54E-02,-1200.55035,-1250.34038,-4245.06732,4245.07,2450.89,65.43,,,,
0.98235625,6.55E-02,-1202.99878,-1252.89195,-4253.72757,4253.73,2455.89,65.49,,,,
0.98435625,6.55E-02,-1205.44721,-1255.44352,-4262.38782,4262.39,2460.89,65.55,,,,
0.98635625,6.56E-02,-1207.89563,-1257.9951,-4271.04808,4271.05,2465.89,65.61,,,,
0.98835625,6.57E-02,-1210.34405,-1260.54668,-4279.70833,4279.71,2470.89,65.67,,,,
0.99035625,6.57E-02,-1212.79247,-1263.09826,-4288.36858,4288.37,2475.89,65.73,,,,
0.99235625,6.58E-02,-1215.24089,-1265.64984,-4297.02884,4297.03,2480.89,65.78,,,,
0.99435625,6.58E-02,-1217.6893,-1268.20143,-4305.68909,4305.69,2485.89,65.84,,,,
0.99635625,6.59E-02,-1220.13771,-1270.75301,-4314.34934,4314.35,2490.89,65.90,,,,
0.99835625,6.60E-02,-1222.58612,-1273.3046,-4323.0096,4323.01,2495.89,65.96,,,,
1,6.60E-02,-1224.5984,-1275.40168,-4330.12719,4330.13,2500.00,66.01,,,,
