TIME, UY_3, UX_2, FX_5, FY_7, FY_6,Displacement,Deflection,Reaction ,Load,,,
0.68035625,1.24E-02,7.88E-03,-339711.921,-8723.63052,-9079.92,7.88,12.37,339711.92,17803.55,,,
0.68235625,1.24E-02,7.90E-03,-340710.551,-8749.2748,-9106.61,7.9,12.37,340710.55,17855.88,,,
0.68435625,1.24E-02,7.93E-03,-341709.18,-8774.91909,-9133.3,7.93,12.37,341709.18,17908.22,,,
0.68635625,1.24E-02,7.95E-03,-342707.81,-8800.56337,-9159.99,7.95,12.37,342707.81,17960.56,,,
0.68835625,1.24E-02,7.98E-03,-343706.439,-8826.20765,-9186.68,7.98,12.38,343706.44,18012.89,,,
0.69035625,1.24E-02,8.00E-03,-344705.069,-8851.85194,-9213.38,8,12.38,344705.07,18065.23,,,
0.69235625,1.24E-02,8.02E-03,-345703.698,-8877.49622,-9240.07,8.02,12.38,345703.7,18117.56,,,
0.69435625,1.24E-02,8.05E-03,-346702.328,-8903.14051,-9266.76,8.05,12.38,346702.33,18169.9,,,
0.69635625,1.24E-02,8.07E-03,-347700.957,-8928.78479,-9293.45,8.07,12.38,347700.96,18222.24,,,
0.69835625,1.24E-02,8.10E-03,-348699.587,-8954.42908,-9320.14,8.1,12.38,348699.59,18274.57,,,
0.70035625,1.24E-02,8.12E-03,-349698.217,-8980.07336,-9346.83,8.12,12.38,349698.22,18326.91,,,
0.70235625,1.24E-02,8.15E-03,-350696.846,-9005.71764,-9373.53,8.15,12.39,350696.85,18379.24,,,
0.70435625,1.24E-02,8.17E-03,-351695.476,-9031.36193,-9400.22,8.17,12.39,351695.48,18431.58,,,
0.70635625,1.24E-02,8.19E-03,-352694.105,-9057.00621,-9426.91,8.19,12.39,352694.11,18483.91,,,
0.70835625,1.24E-02,8.22E-03,-353692.735,-9082.6505,-9453.6,8.22,12.39,353692.74,18536.25,,,
0.71035625,1.24E-02,8.24E-03,-354691.364,-9108.29478,-9480.29,8.24,12.39,354691.36,18588.59,,,
0.71235625,1.24E-02,8.27E-03,-355689.994,-9133.93906,-9506.98,8.27,12.39,355689.99,18640.92,,,
0.71435625,1.24E-02,8.29E-03,-356688.623,-9159.58335,-9533.68,8.29,12.4,356688.62,18693.26,,,
0.71635625,1.24E-02,8.32E-03,-357687.253,-9185.22763,-9560.37,8.32,12.4,357687.25,18745.59,,,
0.71835625,1.24E-02,8.34E-03,-358685.882,-9210.87192,-9587.06,8.34,12.4,358685.88,18797.93,,,
0.72035625,1.24E-02,8.36E-03,-359684.512,-9236.5162,-9613.75,8.36,12.4,359684.51,18850.27,,,
0.72235625,1.24E-02,8.39E-03,-360683.141,-9262.16048,-9640.44,8.39,12.4,360683.14,18902.6,,,
0.72435625,1.24E-02,8.41E-03,-361681.771,-9287.80477,-9667.13,8.41,12.4,361681.77,18954.94,,,
0.72635625,1.24E-02,8.44E-03,-362680.4,-9313.44905,-9693.83,8.44,12.4,362680.4,19007.27,,,
0.72835625,1.24E-02,8.46E-03,-363679.03,-9339.09334,-9720.52,8.46,12.41,363679.03,19059.61,,,
0.73035625,1.24E-02,8.49E-03,-364677.66,-9364.73762,-9747.21,8.49,12.41,364677.66,19111.95,,,
0.73235625,1.24E-02,8.51E-03,-365676.289,-9390.3819,-9773.9,8.51,12.41,365676.29,19164.28,,,
0.73435625,1.24E-02,8.54E-03,-366674.919,-9416.02619,-9800.59,8.54,12.41,366674.92,19216.62,,,
0.73635625,1.24E-02,8.56E-03,-367673.548,-9441.67047,-9827.28,8.56,12.41,367673.55,19268.95,,,
0.73835625,1.24E-02,8.58E-03,-368672.178,-9467.31476,-9853.98,8.58,12.41,368672.18,19321.29,,,
0.74035625,1.24E-02,8.61E-03,-369670.807,-9492.95904,-9880.67,8.61,12.41,369670.81,19373.63,,,
0.74235625,1.24E-02,8.63E-03,-370669.437,-9518.60332,-9907.36,8.63,12.42,370669.44,19425.96,,,
0.74435625,1.24E-02,8.66E-03,-371668.066,-9544.24761,-9934.05,8.66,12.42,371668.07,19478.3,,,
0.74635625,1.24E-02,8.68E-03,-372666.696,-9569.89189,-9960.74,8.68,12.42,372666.7,19530.63,,,
0.74835625,1.24E-02,8.71E-03,-373665.325,-9595.53618,-9987.43,8.71,12.42,373665.33,19582.97,,,
0.75035625,1.24E-02,8.73E-03,-374663.955,-9621.18046,-10014.13,8.73,12.42,374663.96,19635.31,,,
0.75235625,1.24E-02,8.75E-03,-375662.584,-9646.82474,-10040.82,8.75,12.42,375662.58,19687.64,,,
0.75435625,1.24E-02,8.78E-03,-376661.214,-9672.46903,-10067.51,8.78,12.42,376661.21,19739.98,,,
0.75635625,1.24E-02,8.80E-03,-377659.843,-9698.11331,-10094.2,8.8,12.43,377659.84,19792.31,,,
0.75835625,1.24E-02,8.83E-03,-378658.473,-9723.7576,-10120.89,8.83,12.43,378658.47,19844.65,,,
0.76035625,1.24E-02,8.85E-03,-379657.102,-9749.40188,-10147.58,8.85,12.43,379657.1,19896.99,,,
0.76235625,1.24E-02,8.88E-03,-380655.732,-9775.04616,-10174.28,8.88,12.43,380655.73,19949.32,,,
0.76435625,1.24E-02,8.90E-03,-381654.362,-9800.69045,-10200.97,8.9,12.43,381654.36,20001.66,,,
0.76635625,1.24E-02,8.93E-03,-382652.991,-9826.33473,-10227.66,8.93,12.43,382652.99,20053.99,,,
0.76835625,1.24E-02,8.95E-03,-383651.621,-9851.97901,-10254.35,8.95,12.43,383651.62,20106.33,,,
0.77035625,1.24E-02,8.97E-03,-384650.25,-9877.6233,-10281.04,8.97,12.43,384650.25,20158.67,,,
0.77235625,1.24E-02,9.00E-03,-385648.88,-9903.26758,-10307.73,9,12.44,385648.88,20211,,,
0.77435625,1.24E-02,9.02E-03,-386647.509,-9928.91187,-10334.43,9.02,12.44,386647.51,20263.34,,,
0.77635625,1.24E-02,9.05E-03,-387646.139,-9954.55615,-10361.12,9.05,12.44,387646.14,20315.67,,,
0.77835625,1.24E-02,9.07E-03,-388644.768,-9980.20043,-10387.81,9.07,12.44,388644.77,20368.01,,,
0.78035625,1.24E-02,9.10E-03,-389643.398,-10005.8447,-10414.5,9.1,12.44,389643.4,20420.35,,,
0.78235625,1.24E-02,9.12E-03,-390642.027,-10031.489,-10441.19,9.12,12.44,390642.03,20472.68,,,
0.78435625,1.24E-02,9.14E-03,-391640.657,-10057.1333,-10467.88,9.14,12.44,391640.66,20525.02,,,
0.78635625,1.24E-02,9.17E-03,-392639.286,-10082.7776,-10494.58,9.17,12.45,392639.29,20577.35,,,
0.78835625,1.24E-02,9.19E-03,-393637.916,-10108.4219,-10521.27,9.19,12.45,393637.92,20629.69,,,
0.79035625,1.24E-02,9.22E-03,-394636.545,-10134.0661,-10547.96,9.22,12.45,394636.55,20682.02,,,
0.79235625,1.24E-02,9.24E-03,-395635.175,-10159.7104,-10574.65,9.24,12.45,395635.18,20734.36,,,
0.79435625,1.25E-02,9.27E-03,-396633.804,-10185.3547,-10601.34,9.27,12.45,396633.8,20786.7,,,
0.79635625,1.25E-02,9.29E-03,-397632.434,-10210.999,-10628.03,9.29,12.45,397632.43,20839.03,,,
0.79835625,1.25E-02,9.32E-03,-398631.064,-10236.6433,-10654.73,9.32,12.45,398631.06,20891.37,,,
0.80035625,1.25E-02,9.34E-03,-399629.693,-10262.2876,-10681.42,9.34,12.45,399629.69,20943.7,,,
0.80235625,1.25E-02,9.36E-03,-400628.323,-10287.9318,-10708.11,9.36,12.46,400628.32,20996.04,,,
0.80435625,1.25E-02,9.39E-03,-401626.952,-10313.5761,-10734.8,9.39,12.46,401626.95,21048.38,,,
0.80635625,1.25E-02,9.41E-03,-402625.582,-10339.2204,-10761.49,9.41,12.46,402625.58,21100.71,,,
0.80835625,1.25E-02,9.44E-03,-403624.211,-10364.8647,-10788.18,9.44,12.46,403624.21,21153.05,,,
0.81035625,1.25E-02,9.46E-03,-404622.841,-10390.509,-10814.88,9.46,12.46,404622.84,21205.38,,,
0.81235625,1.25E-02,9.49E-03,-405621.47,-10416.1533,-10841.57,9.49,12.46,405621.47,21257.72,,,
0.81435625,1.25E-02,9.51E-03,-406620.1,-10441.7975,-10868.26,9.51,12.46,406620.1,21310.06,,,
0.81635625,1.25E-02,9.54E-03,-407618.729,-10467.4418,-10894.95,9.54,12.47,407618.73,21362.39,,,
0.81835625,1.25E-02,9.56E-03,-408617.359,-10493.0861,-10921.64,9.56,12.47,408617.36,21414.73,,,
0.82035625,1.25E-02,9.58E-03,-409615.988,-10518.7304,-10948.33,9.58,12.47,409615.99,21467.06,,,
0.82235625,1.25E-02,9.61E-03,-410614.618,-10544.3747,-10975.03,9.61,12.47,410614.62,21519.4,,,
0.82435625,1.25E-02,9.63E-03,-411613.247,-10570.019,-11001.72,9.63,12.47,411613.25,21571.74,,,
0.82635625,1.25E-02,9.66E-03,-412611.877,-10595.6632,-11028.41,9.66,12.47,412611.88,21624.07,,,
0.82835625,1.25E-02,9.68E-03,-413610.506,-10621.3075,-11055.1,9.68,12.47,413610.51,21676.41,,,
0.83035625,1.25E-02,9.71E-03,-414609.136,-10646.9518,-11081.79,9.71,12.47,414609.14,21728.74,,,
0.83235625,1.25E-02,9.73E-03,-415607.766,-10672.5961,-11108.48,9.73,12.48,415607.77,21781.08,,,
0.83435625,1.25E-02,9.76E-03,-416606.395,-10698.2404,-11135.18,9.76,12.48,416606.4,21833.42,,,
0.83635625,1.25E-02,9.78E-03,-417605.025,-10723.8847,-11161.87,9.78,12.48,417605.03,21885.75,,,
0.83835625,1.25E-02,9.80E-03,-418603.654,-10749.5289,-11188.56,9.8,12.48,418603.65,21938.09,,,
0.84035625,1.25E-02,9.83E-03,-419602.284,-10775.1732,-11215.25,9.83,12.48,419602.28,21990.42,,,
0.84235625,1.25E-02,9.85E-03,-420600.913,-10800.8175,-11241.94,9.85,12.48,420600.91,22042.76,,,
0.84435625,1.25E-02,9.88E-03,-421599.543,-10826.4618,-11268.63,9.88,12.48,421599.54,22095.1,,,
0.84635625,1.25E-02,9.90E-03,-422598.172,-10852.1061,-11295.33,9.9,12.48,422598.17,22147.43,,,
0.84835625,1.25E-02,9.93E-03,-423596.802,-10877.7504,-11322.02,9.93,12.49,423596.8,22199.77,,,
0.85035625,1.25E-02,9.95E-03,-424595.431,-10903.3946,-11348.71,9.95,12.49,424595.43,22252.1,,,
0.85235625,1.25E-02,9.98E-03,-425594.061,-10929.0389,-11375.4,9.98,12.49,425594.06,22304.44,,426392.964,22346.308
0.85435625,1.25E-02,1.00E-02,-426592.69,-10954.6832,-11402.09,10,12.49,426592.69,22356.78,,,
0.85635625,1.25E-02,1.00E-02,-427591.32,-10980.3275,-11428.78,10.03,12.49,427591.32,22409.11,,,
0.85835625,1.25E-02,1.00E-02,-428589.949,-11005.9718,-11455.48,10.05,12.49,428589.95,22461.45,,,
0.86035625,1.25E-02,1.01E-02,-429588.579,-11031.6161,-11482.17,10.07,12.49,429588.58,22513.78,,,
0.86235625,1.25E-02,1.01E-02,-430587.209,-11057.2603,-11508.86,10.1,12.49,430587.21,22566.12,,,
0.86435625,1.25E-02,1.01E-02,-431585.838,-11082.9046,-11535.55,10.12,12.49,431585.84,22618.46,,,
0.86635625,1.25E-02,1.01E-02,-432584.468,-11108.5489,-11562.24,10.15,12.5,432584.47,22670.79,,,
0.86835625,1.25E-02,1.02E-02,-433583.097,-11134.1932,-11588.93,10.17,12.5,433583.1,22723.13,,,
0.87035625,1.25E-02,1.02E-02,-434581.727,-11159.8375,-11615.63,10.2,12.5,434581.73,22775.46,,,
0.87235625,1.25E-02,1.02E-02,-435580.356,-11185.4818,-11642.32,10.22,12.5,435580.36,22827.8,,,
0.87435625,1.25E-02,1.02E-02,-436578.986,-11211.126,-11669.01,10.25,12.5,436578.99,22880.14,,,
0.87635625,1.25E-02,1.03E-02,-437577.615,-11236.7703,-11695.7,10.27,12.5,437577.62,22932.47,,,
0.87835625,1.25E-02,1.03E-02,-438576.245,-11262.4146,-11722.39,10.29,12.5,438576.25,22984.81,,,
0.88035625,1.25E-02,1.03E-02,-439574.874,-11288.0589,-11749.08,10.32,12.5,439574.87,23037.14,,,
0.88235625,1.25E-02,1.03E-02,-440573.504,-11313.7032,-11775.78,10.34,12.51,440573.5,23089.48,,,
0.88435625,1.25E-02,1.04E-02,-441572.133,-11339.3475,-11802.47,10.37,12.51,441572.13,23141.81,,,
0.88635625,1.25E-02,1.04E-02,-442570.763,-11364.9917,-11829.16,10.39,12.51,442570.76,23194.15,,,
0.88835625,1.25E-02,1.04E-02,-443569.392,-11390.636,-11855.85,10.42,12.51,443569.39,23246.49,,,
0.89035625,1.25E-02,1.04E-02,-444568.022,-11416.2803,-11882.54,10.44,12.51,444568.02,23298.82,,,
0.89235625,1.25E-02,1.05E-02,-445566.651,-11441.9246,-11909.23,10.47,12.51,445566.65,23351.16,,,
0.89435625,1.25E-02,1.05E-02,-446565.281,-11467.5689,-11935.93,10.49,12.51,446565.28,23403.49,,,
0.89635625,1.25E-02,1.05E-02,-447563.911,-11493.2132,-11962.62,10.52,12.51,447563.91,23455.83,,,
0.89835625,1.25E-02,1.05E-02,-448562.54,-11518.8574,-11989.31,10.54,12.51,448562.54,23508.17,,,
0.90035625,1.25E-02,1.06E-02,-449561.17,-11544.5017,-12016,10.56,12.52,449561.17,23560.5,,,
0.90235625,1.25E-02,1.06E-02,-450559.799,-11570.146,-12042.69,10.59,12.52,450559.8,23612.84,,,
0.90435625,1.25E-02,1.06E-02,-451558.429,-11595.7903,-12069.38,10.61,12.52,451558.43,23665.17,,,
0.90635625,1.25E-02,1.06E-02,-452557.058,-11621.4346,-12096.08,10.64,12.52,452557.06,23717.51,,,
0.90835625,1.25E-02,1.07E-02,-453555.688,-11647.0789,-12122.77,10.66,12.52,453555.69,23769.85,,,
0.91035625,1.25E-02,1.07E-02,-454554.317,-11672.7232,-12149.46,10.69,12.52,454554.32,23822.18,,,
0.91235625,1.25E-02,1.07E-02,-455552.947,-11698.3674,-12176.15,10.71,12.52,455552.95,23874.52,,,
0.91435625,1.25E-02,1.07E-02,-456551.576,-11724.0117,-12202.84,10.74,12.52,456551.58,23926.85,,,
0.91635625,1.25E-02,1.08E-02,-457550.206,-11749.656,-12229.53,10.76,12.52,457550.21,23979.19,,,
0.91835625,1.25E-02,1.08E-02,-458548.835,-11775.3003,-12256.23,10.79,12.53,458548.84,24031.53,,,
0.92035625,1.25E-02,1.08E-02,-459547.465,-11800.9446,-12282.92,10.81,12.53,459547.47,24083.86,,,
0.92235625,1.25E-02,1.08E-02,-460546.094,-11826.5889,-12309.61,10.83,12.53,460546.09,24136.2,,,
0.92435625,1.25E-02,1.09E-02,-461544.724,-11852.2331,-12336.3,10.86,12.53,461544.72,24188.53,,,
0.92635625,1.25E-02,1.09E-02,-462543.353,-11877.8774,-12362.99,10.88,12.53,462543.35,24240.87,,,
0.92835625,1.25E-02,1.09E-02,-463541.983,-11903.5217,-12389.68,10.91,12.53,463541.98,24293.21,,,
0.93035625,1.25E-02,1.09E-02,-464540.613,-11929.166,-12416.38,10.93,12.53,464540.61,24345.54,,,
0.93235625,1.25E-02,1.10E-02,-465539.242,-11954.8103,-12443.07,10.96,12.53,465539.24,24397.88,,,
0.93435625,1.25E-02,1.10E-02,-466537.872,-11980.4546,-12469.76,10.98,12.53,466537.87,24450.21,,,
0.93635625,1.25E-02,1.10E-02,-467536.501,-12006.0988,-12496.45,11.01,12.54,467536.5,24502.55,,,
0.93835625,1.25E-02,1.10E-02,-468535.131,-12031.7431,-12523.14,11.03,12.54,468535.13,24554.89,,,
0.94035625,1.25E-02,1.11E-02,-469533.76,-12057.3874,-12549.83,11.06,12.54,469533.76,24607.22,,,
0.94235625,1.25E-02,1.11E-02,-470532.39,-12083.0317,-12576.53,11.08,12.54,470532.39,24659.56,,,
0.94435625,1.25E-02,1.11E-02,-471531.019,-12108.676,-12603.22,11.1,12.54,471531.02,24711.89,,,
0.94635625,1.25E-02,1.11E-02,-472529.649,-12134.3203,-12629.91,11.13,12.54,472529.65,24764.23,,,
0.94835625,1.25E-02,1.12E-02,-473528.278,-12159.9645,-12656.6,11.15,12.54,473528.28,24816.57,,,
0.95035625,1.25E-02,1.12E-02,-474526.908,-12185.6088,-12683.29,11.18,12.54,474526.91,24868.9,,,
0.95235625,1.25E-02,1.12E-02,-475525.537,-12211.2531,-12709.98,11.2,12.54,475525.54,24921.24,,,
0.95435625,1.25E-02,1.12E-02,-476524.167,-12236.8974,-12736.68,11.23,12.55,476524.17,24973.57,,,
0.95635625,1.25E-02,1.13E-02,-477522.796,-12262.5417,-12763.37,11.25,12.55,477522.8,25025.91,,,
0.95835625,1.25E-02,1.13E-02,-478521.426,-12288.186,-12790.06,11.28,12.55,478521.43,25078.25,,,
0.96035625,1.25E-02,1.13E-02,-479520.055,-12313.8302,-12816.75,11.3,12.55,479520.06,25130.58,,,
0.96235625,1.26E-02,1.13E-02,-480518.685,-12339.4745,-12843.44,11.33,12.55,480518.69,25182.92,,,
0.96435625,1.26E-02,1.14E-02,-481517.315,-12365.1188,-12870.13,11.35,12.55,481517.32,25235.25,,,
0.96635625,1.26E-02,1.14E-02,-482515.944,-12390.7631,-12896.83,11.38,12.55,482515.94,25287.59,,,
0.96835625,1.26E-02,1.14E-02,-483514.574,-12416.4074,-12923.52,11.4,12.55,483514.57,25339.93,,,
0.97035625,1.26E-02,1.14E-02,-484513.203,-12442.0517,-12950.21,11.42,12.55,484513.2,25392.26,,,
0.97235625,1.26E-02,1.14E-02,-485511.833,-12467.6959,-12976.9,11.45,12.56,485511.83,25444.6,,,
0.97435625,1.26E-02,1.15E-02,-486510.462,-12493.3402,-13003.59,11.47,12.56,486510.46,25496.93,,,
0.97635625,1.26E-02,1.15E-02,-487509.092,-12518.9845,-13030.28,11.5,12.56,487509.09,25549.27,,,
0.97835625,1.26E-02,1.15E-02,-488507.721,-12544.6288,-13056.98,11.52,12.56,488507.72,25601.6,,,
0.98035625,1.26E-02,1.15E-02,-489506.351,-12570.2731,-13083.67,11.55,12.56,489506.35,25653.94,,,
0.98235625,1.26E-02,1.16E-02,-490504.98,-12595.9174,-13110.36,11.57,12.56,490504.98,25706.28,,,
0.98435625,1.26E-02,1.16E-02,-491503.61,-12621.5616,-13137.05,11.6,12.56,491503.61,25758.61,,,
0.98635625,1.26E-02,1.16E-02,-492502.239,-12647.2059,-13163.74,11.62,12.56,492502.24,25810.95,,,
0.98835625,1.26E-02,1.16E-02,-493500.869,-12672.8502,-13190.43,11.65,12.56,493500.87,25863.28,,,
0.99035625,1.26E-02,1.17E-02,-494499.498,-12698.4945,-13217.13,11.67,12.56,494499.5,25915.62,,,
0.99235625,1.26E-02,1.17E-02,-495498.128,-12724.1388,-13243.82,11.69,12.57,495498.13,25967.96,,,
0.99435625,1.26E-02,1.17E-02,-496496.758,-12749.7831,-13270.51,11.72,12.57,496496.76,26020.29,,,
0.99635625,1.26E-02,1.17E-02,-497495.387,-12775.4273,-13297.2,11.74,12.57,497495.39,26072.63,,,
0.99835625,1.26E-02,1.18E-02,-498494.017,-12801.0716,-13323.89,11.77,12.57,498494.02,26124.96,,,
1,1.26E-02,1.18E-02,-499314.766,-12822.148,-13345.83,11.79,12.57,499314.77,26167.98,,,
