TIME, FY_3
2.E-04, -0.299770476
4.E-04, -0.599540948
7.E-04, -1.04919664
1.15E-03, -1.72368005
1.825E-03, -2.73540448
2.8375E-03, -4.25298743
4.35625E-03, -6.52934232
6.35625E-03, -9.52696532
8.35625E-03, -12.5246363
1.035625E-02, -15.5223442
1.235625E-02, -18.5200532
1.435625E-02, -21.5177627
1.635625E-02, -24.5154732
1.835625E-02, -27.513185
2.035625E-02, -30.5108982
2.235625E-02, -33.5086129
2.435625E-02, -36.5063294
2.635625E-02, -39.5040477
2.835625E-02, -42.5017681
3.035625E-02, -45.4994907
3.235625E-02, -48.4972158
3.435625E-02, -51.4949434
3.635625E-02, -54.4926738
3.835625E-02, -57.4904072
4.035625E-02, -60.4881437
4.235625E-02, -63.4858836
4.435625E-02, -66.4836269
4.635625E-02, -69.4813741
4.835625E-02, -72.4791251
5.035625E-02, -75.4768804
5.235625E-02, -78.4746399
5.435625E-02, -81.4724041
5.635625E-02, -84.470173
5.835625E-02, -87.4679469
6.035625E-02, -90.4657261
6.235625E-02, -93.4635107
6.435625E-02, -96.461301
6.635625E-02, -99.4590972
6.835625E-02, -102.4569
7.035625E-02, -105.454708
7.235625E-02, -108.452524
7.435625E-02, -111.450346
7.635625E-02, -114.448176
7.835625E-02, -117.446013
8.035625E-02, -120.443857
8.235625E-02, -123.44171
8.435625E-02, -126.439571
8.635625E-02, -129.43744
8.835625E-02, -132.435318
9.035625E-02, -135.433205
9.235625E-02, -138.431102
9.435625E-02, -141.429008
9.635625E-02, -144.426924
9.835625E-02, -147.424851
0.10035625, -150.422788
0.10235625, -153.420736
0.10435625, -156.418695
0.10635625, -159.416665
0.10835625, -162.414648
0.11035625, -165.412643
0.11235625, -168.41065
0.11435625, -171.408671
0.11635625, -174.406704
0.11835625, -177.404752
0.12035625, -180.402813
0.12235625, -183.400889
0.12435625, -186.398979
0.12635625, -189.397085
0.12835625, -192.395206
0.13035625, -195.393343
0.13235625, -198.391497
0.13435625, -201.389667
0.13635625, -204.387855
0.13835625, -207.38606
0.14035625, -210.384283
0.14235625, -213.382525
