TIME, UX_2
7.47E-02, 8.862792171E-04
7.51E-02, 8.910414369E-04
7.55E-02, 8.958037994E-04
7.59E-02, 9.005663038E-04
7.63E-02, 9.053289496E-04
7.67E-02, 9.10091736E-04
7.71E-02, 9.148546625E-04
7.75E-02, 9.196177284E-04
7.79E-02, 9.24380933E-04
7.83E-02, 9.291442758E-04
7.87E-02, 9.339077562E-04
7.91E-02, 9.386713734E-04
7.95E-02, 9.43435127E-04
7.99E-02, 9.481990163E-04
8.03E-02, 9.529630407E-04
8.07E-02, 9.577271998E-04
8.11E-02, 9.624914927E-04
8.15E-02, 9.672559191E-04
8.19E-02, 9.720204784E-04
8.23E-02, 9.767851699E-04
8.27E-02, 9.815499932E-04
8.31E-02, 9.863149476E-04
8.35E-02, 9.910800328E-04
8.39E-02, 9.95845248E-04
8.43E-02, 1.000610593E-03
8.47E-02, 1.005376067E-03
8.51E-02, 1.010141669E-03
8.55E-02, 1.0149074E-03
8.59E-02, 1.019673258E-03
8.63E-02, 1.024439243E-03
8.67E-02, 1.029205354E-03
8.71E-02, 1.033971592E-03
8.75E-02, 1.038737955E-03
8.79E-02, 1.043504444E-03
8.83E-02, 1.048271057E-03
8.87E-02, 1.053037794E-03
8.91E-02, 1.057804655E-03
8.95E-02, 1.062571639E-03
8.99E-02, 1.067338746E-03
9.03E-02, 1.072105975E-03
9.07E-02, 1.076873326E-03
9.11E-02, 1.081640798E-03
9.15E-02, 1.086408392E-03
9.19E-02, 1.091176106E-03
9.23E-02, 1.09594394E-03
9.27E-02, 1.100711894E-03
9.31E-02, 1.105479968E-03
9.35E-02, 1.11024816E-03
9.39E-02, 1.11501647E-03
9.43E-02, 1.119784899E-03
9.47E-02, 1.124553446E-03
9.51E-02, 1.12932211E-03
9.55E-02, 1.13409089E-03
9.59E-02, 1.138859788E-03
9.63E-02, 1.143628801E-03
9.67E-02, 1.14839793E-03
9.71E-02, 1.153167175E-03
9.75E-02, 1.157936534E-03
9.79E-02, 1.162706008E-03
9.83E-02, 1.167475597E-03
9.87E-02, 1.172245299E-03
9.91E-02, 1.177015115E-03
9.95E-02, 1.181785044E-03
9.99E-02, 1.186555086E-03
0.1003, 1.191325241E-03
0.1007, 1.196095507E-03
0.1011, 1.200865886E-03
0.1015, 1.205636376E-03
0.1019, 1.210406977E-03
0.1023, 1.215177689E-03
0.1027, 1.219948512E-03
0.1031, 1.224719445E-03
0.1035, 1.229490487E-03
0.1039, 1.23426164E-03
0.1043, 1.239032901E-03
0.1047, 1.243804271E-03
0.1051, 1.24857575E-03
0.1055, 1.253347338E-03
0.1059, 1.258119033E-03
0.1063, 1.262890836E-03
0.1067, 1.267662747E-03
0.1071, 1.272434765E-03
0.1075, 1.277206889E-03
0.1079, 1.28197912E-03
0.1083, 1.286751458E-03
0.1087, 1.291523901E-03
0.1091, 1.296296451E-03
0.1095, 1.301069105E-03
0.1099, 1.305841865E-03
0.1103, 1.31061473E-03
0.1107, 1.315387699E-03
0.1111, 1.320160773E-03
0.1115, 1.324933951E-03
0.1119, 1.329707233E-03
0.1123, 1.334480619E-03
0.1127, 1.339254107E-03
0.1131, 1.344027699E-03
0.1135, 1.348801394E-03
0.1139, 1.353575192E-03
0.1143, 1.358349091E-03
0.1147, 1.363123093E-03
0.1151, 1.367897197E-03
0.1155, 1.372671403E-03
0.1159, 1.377445709E-03
0.1163, 1.382220117E-03
0.1167, 1.386994627E-03
0.1171, 1.391769236E-03
0.1175, 1.396543946E-03
0.1179, 1.401318757E-03
0.1183, 1.406093668E-03
0.1187, 1.410868678E-03
0.1191, 1.415643788E-03
0.1195, 1.420418997E-03
0.1199, 1.425194306E-03
0.1203, 1.429969714E-03
0.1207, 1.43474522E-03
0.1211, 1.439520825E-03
0.1215, 1.444296528E-03
0.1219, 1.449072329E-03
0.1223, 1.453848229E-03
0.1227, 1.458624226E-03
0.1231, 1.46340032E-03
0.1235, 1.468176512E-03
0.1239, 1.472952801E-03
0.1243, 1.477729187E-03
0.1247, 1.48250567E-03
0.1251, 1.48728225E-03
0.1255, 1.492058926E-03
0.1259, 1.496835698E-03
0.1263, 1.501612566E-03
0.1267, 1.506389529E-03
0.1271, 1.511166589E-03
0.1275, 1.515943744E-03
0.1279, 1.520720994E-03
0.1283, 1.52549834E-03
0.1287, 1.53027578E-03
0.1291, 1.535053315E-03
0.1295, 1.539830945E-03
0.1299, 1.544608669E-03
0.1303, 1.549386487E-03
0.1307, 1.5541644E-03
0.1311, 1.558942406E-03
0.1315, 1.563720506E-03
0.1319, 1.5684987E-03
0.1323, 1.573276987E-03
0.1327, 1.578055368E-03
0.1331, 1.582833842E-03
0.1335, 1.587612408E-03
0.1339, 1.592391068E-03
0.1343, 1.59716982E-03
0.1347, 1.601948664E-03
0.1351, 1.606727601E-03
0.1355, 1.61150663E-03
0.1359, 1.616285751E-03
0.1363, 1.621064964E-03
0.1367, 1.625844269E-03
0.1371, 1.630623666E-03
0.1375, 1.635403154E-03
0.1379, 1.640182733E-03
