TIME, UX_5, FX_2, FY_3, FY_4,,,,,
0.774825,9.23E-03,-387188.15,-6731.39572,-6451.22524,9.23,-13182.62096,,,
0.775825,9.24E-03,-387687.86,-6740.07745,-6459.55718,9.24,-13199.63463,,,
0.776825,9.25E-03,-388187.571,-6748.75918,-6467.88913,9.25,-13216.64831,,,
0.777825,9.27E-03,-388687.281,-6757.4409,-6476.22108,9.27,-13233.66198,,,
0.778825,9.28E-03,-389186.992,-6766.12262,-6484.55304,9.28,-13250.67566,,,
0.779825,9.29E-03,-389686.702,-6774.80434,-6492.885,9.29,-13267.68934,,,
0.780825,9.30E-03,-390186.413,-6783.48605,-6501.21696,9.30,-13284.70301,,,
0.781825,9.32E-03,-390686.123,-6792.16776,-6509.54892,9.32,-13301.71668,,,
0.782825,9.33E-03,-391185.833,-6800.84947,-6517.88089,9.33,-13318.73036,,,
0.783825,9.34E-03,-391685.544,-6809.53117,-6526.21286,9.34,-13335.74403,,,
0.784825,9.35E-03,-392185.254,-6818.21287,-6534.54484,9.35,-13352.75771,,,
0.785825,9.36E-03,-392684.965,-6826.89457,-6542.87682,9.36,-13369.77139,,,
0.786825,9.38E-03,-393184.675,-6835.57626,-6551.2088,9.38,-13386.78506,,,
0.787825,9.39E-03,-393684.386,-6844.25795,-6559.54079,9.39,-13403.79874,,,
0.788825,9.40E-03,-394184.096,-6852.93964,-6567.87278,9.40,-13420.81242,,,
0.789825,9.41E-03,-394683.807,-6861.62132,-6576.20477,9.41,-13437.82609,,,
0.790825,9.43E-03,-395183.517,-6870.303,-6584.53676,9.43,-13454.83976,,,
0.791825,9.44E-03,-395683.228,-6878.98467,-6592.86876,9.44,-13471.85343,,,
0.792825,9.45E-03,-396182.938,-6887.66635,-6601.20077,9.45,-13488.86712,,,
0.793825,9.46E-03,-396682.648,-6896.34802,-6609.53277,9.46,-13505.88079,,,
0.794825,9.47E-03,-397182.359,-6905.02968,-6617.86478,9.47,-13522.89446,,,
0.795825,9.49E-03,-397682.069,-6913.71134,-6626.19679,9.49,-13539.90813,,,
0.796825,9.50E-03,-398181.78,-6922.393,-6634.52881,9.50,-13556.92181,,,
0.797825,9.51E-03,-398681.49,-6931.07466,-6642.86083,9.51,-13573.93549,,,
0.798825,9.52E-03,-399181.201,-6939.75631,-6651.19285,9.52,-13590.94916,,,
0.799825,9.54E-03,-399680.911,-6948.43796,-6659.52488,9.54,-13607.96284,,,
0.800825,9.55E-03,-400180.622,-6957.11961,-6667.85691,9.55,-13624.97652,,,
0.801825,9.56E-03,-400680.332,-6965.80125,-6676.18894,9.56,-13641.99019,,,
0.802825,9.57E-03,-401180.042,-6974.48289,-6684.52098,9.57,-13659.00387,,,
0.803825,9.58E-03,-401679.753,-6983.16452,-6692.85302,9.58,-13676.01754,,,
0.804825,9.60E-03,-402179.463,-6991.84616,-6701.18506,9.60,-13693.03122,,,
0.805825,9.61E-03,-402679.174,-7000.52779,-6709.51711,9.61,-13710.0449,,,
0.806825,9.62E-03,-403178.884,-7009.20941,-6717.84915,9.62,-13727.05856,,,
0.807825,9.63E-03,-403678.595,-7017.89104,-6726.18121,9.63,-13744.07225,,,
0.808825,9.65E-03,-404178.305,-7026.57265,-6734.51326,9.65,-13761.08591,,,
0.809825,9.66E-03,-404678.016,-7035.25427,-6742.84532,9.66,-13778.09959,,,
0.810825,9.67E-03,-405177.726,-7043.93588,-6751.17738,9.67,-13795.11326,,,
0.811825,9.68E-03,-405677.437,-7052.61749,-6759.50945,9.68,-13812.12694,,,
0.812825,9.69E-03,-406177.147,-7061.2991,-6767.84152,9.69,-13829.14062,,,
0.813825,9.71E-03,-406676.857,-7069.9807,-6776.17359,9.71,-13846.15429,,,
0.814825,9.72E-03,-407176.568,-7078.6623,-6784.50567,9.72,-13863.16797,,,
0.815825,9.73E-03,-407676.278,-7087.3439,-6792.83775,9.73,-13880.18165,,,
0.816825,9.74E-03,-408175.989,-7096.02549,-6801.16983,9.74,-13897.19532,,,
0.817825,9.76E-03,-408675.699,-7104.70708,-6809.50191,9.76,-13914.20899,,,
0.818825,9.77E-03,-409175.41,-7113.38867,-6817.834,9.77,-13931.22267,,,
0.819825,9.78E-03,-409675.12,-7122.07025,-6826.16609,9.78,-13948.23634,,,
0.820825,9.79E-03,-410174.831,-7130.75183,-6834.49819,9.79,-13965.25002,,,
0.821825,9.80E-03,-410674.541,-7139.43341,-6842.83028,9.80,-13982.26369,,,
0.822825,9.82E-03,-411174.251,-7148.11499,-6851.16239,9.82,-13999.27738,,,
0.823825,9.83E-03,-411673.962,-7156.79656,-6859.49449,9.83,-14016.29105,,,
0.824825,9.84E-03,-412173.672,-7165.47812,-6867.8266,9.84,-14033.30472,,,
0.825825,9.85E-03,-412673.383,-7174.15969,-6876.15871,9.85,-14050.3184,,,
0.826825,9.87E-03,-413173.093,-7182.84125,-6884.49082,9.87,-14067.33207,,,
0.827825,9.88E-03,-413672.804,-7191.52281,-6892.82294,9.88,-14084.34575,,,
0.828825,9.89E-03,-414172.514,-7200.20436,-6901.15506,9.89,-14101.35942,,,
0.829825,9.90E-03,-414672.225,-7208.88592,-6909.48718,9.90,-14118.3731,,,
0.830825,9.91E-03,-415171.935,-7217.56747,-6917.81931,9.91,-14135.38678,,,
0.831825,9.93E-03,-415671.646,-7226.24901,-6926.15144,9.93,-14152.40045,,,
0.832825,9.94E-03,-416171.356,-7234.93055,-6934.48357,9.94,-14169.41412,,,
0.833825,9.95E-03,-416671.066,-7243.61209,-6942.81571,9.95,-14186.4278,,,
0.834825,9.96E-03,-417170.777,-7252.29363,-6951.14785,9.96,-14203.44148,,,
0.835825,9.98E-03,-417670.487,-7260.97516,-6959.47999,9.98,-14220.45515,,,
0.836825,9.99E-03,-418170.198,-7269.65669,-6967.81213,9.99,-14237.46882,,,
0.837825,1.00E-02,-418669.908,-7278.33822,-6976.14428,10.00,-14254.4825,,-418661.5855,-14254.19912
0.838825,1.00E-02,-419169.619,-7287.01974,-6984.47643,10.01,-14271.49617,,,
0.839825,1.00E-02,-419669.329,-7295.70126,-6992.80859,10.02,-14288.50985,,,
0.840825,1.00E-02,-420169.04,-7304.38278,-7001.14075,10.04,-14305.52353,,,
0.841825,1.00E-02,-420668.75,-7313.0643,-7009.47291,10.05,-14322.53721,,,
0.842825,1.01E-02,-421168.46,-7321.74581,-7017.80507,10.06,-14339.55088,,,
0.843825,1.01E-02,-421668.171,-7330.42732,-7026.13724,10.07,-14356.56456,,,
0.844825,1.01E-02,-422167.881,-7339.10882,-7034.46941,10.09,-14373.57823,,,
0.845825,1.01E-02,-422667.592,-7347.79032,-7042.80158,10.10,-14390.5919,,,
0.846825,1.01E-02,-423167.302,-7356.47182,-7051.13376,10.11,-14407.60558,,,
0.847825,1.01E-02,-423667.013,-7365.15332,-7059.46594,10.12,-14424.61926,,,
0.848825,1.01E-02,-424166.723,-7373.83481,-7067.79812,10.13,-14441.63293,,,
0.849825,1.01E-02,-424666.434,-7382.5163,-7076.1303,10.15,-14458.6466,,,
0.850825,1.02E-02,-425166.144,-7391.19779,-7084.46249,10.16,-14475.66028,,,
0.851825,1.02E-02,-425665.855,-7399.87927,-7092.79468,10.17,-14492.67395,,,
0.852825,1.02E-02,-426165.565,-7408.56075,-7101.12688,10.18,-14509.68763,,,
0.853825,1.02E-02,-426665.275,-7417.24223,-7109.45908,10.20,-14526.70131,,,
0.854825,1.02E-02,-427164.986,-7425.9237,-7117.79128,10.21,-14543.71498,,,
0.855825,1.02E-02,-427664.696,-7434.60518,-7126.12348,10.22,-14560.72866,,,
0.856825,1.02E-02,-428164.407,-7443.28664,-7134.45569,10.23,-14577.74233,,,
0.857825,1.02E-02,-428664.117,-7451.96811,-7142.7879,10.25,-14594.75601,,,
0.858825,1.03E-02,-429163.828,-7460.64957,-7151.12011,10.26,-14611.76968,,,
0.859825,1.03E-02,-429663.538,-7469.33103,-7159.45232,10.27,-14628.78335,,,
0.860825,1.03E-02,-430163.249,-7478.01249,-7167.78454,10.28,-14645.79703,,,
0.861825,1.03E-02,-430662.959,-7486.69394,-7176.11677,10.29,-14662.81071,,,
0.862825,1.03E-02,-431162.67,-7495.37539,-7184.44899,10.31,-14679.82438,,,
0.863825,1.03E-02,-431662.38,-7504.05684,-7192.78122,10.32,-14696.83806,,,
0.864825,1.03E-02,-432162.09,-7512.73829,-7201.11345,10.33,-14713.85174,,,
0.865825,1.03E-02,-432661.801,-7521.41973,-7209.44568,10.34,-14730.86541,,,
0.866825,1.04E-02,-433161.511,-7530.10117,-7217.77792,10.36,-14747.87909,,,
0.867825,1.04E-02,-433661.222,-7538.7826,-7226.11016,10.37,-14764.89276,,,
0.868825,1.04E-02,-434160.932,-7547.46404,-7234.4424,10.38,-14781.90644,,,
0.869825,1.04E-02,-434660.643,-7556.14547,-7242.77465,10.39,-14798.92012,,,
0.870825,1.04E-02,-435160.353,-7564.82689,-7251.10689,10.40,-14815.93378,,,
0.871825,1.04E-02,-435660.064,-7573.50832,-7259.43914,10.42,-14832.94746,,,
0.872825,1.04E-02,-436159.774,-7582.18974,-7267.7714,10.43,-14849.96114,,,
0.873825,1.04E-02,-436659.484,-7590.87116,-7276.10366,10.44,-14866.97482,,,
0.874825,1.05E-02,-437159.195,-7599.55257,-7284.43592,10.45,-14883.98849,,,
0.875825,1.05E-02,-437658.905,-7608.23398,-7292.76818,10.47,-14901.00216,,,
0.876825,1.05E-02,-438158.616,-7616.91539,-7301.10044,10.48,-14918.01583,,,
0.877825,1.05E-02,-438658.326,-7625.5968,-7309.43271,10.49,-14935.02951,,,
0.878825,1.05E-02,-439158.037,-7634.2782,-7317.76499,10.50,-14952.04319,,,
0.879825,1.05E-02,-439657.747,-7642.9596,-7326.09726,10.52,-14969.05686,,,
0.880825,1.05E-02,-440157.458,-7651.641,-7334.42954,10.53,-14986.07054,,,
0.881825,1.05E-02,-440657.168,-7660.3224,-7342.76182,10.54,-15003.08422,,,
0.882825,1.06E-02,-441156.879,-7669.00379,-7351.0941,10.55,-15020.09789,,,
0.883825,1.06E-02,-441656.589,-7677.68518,-7359.42639,10.56,-15037.11157,,,
0.884825,1.06E-02,-442156.299,-7686.36656,-7367.75868,10.58,-15054.12524,,,
0.885825,1.06E-02,-442656.01,-7695.04795,-7376.09097,10.59,-15071.13892,,,
0.886825,1.06E-02,-443155.72,-7703.72933,-7384.42326,10.60,-15088.15259,,,
0.887825,1.06E-02,-443655.431,-7712.4107,-7392.75556,10.61,-15105.16626,,,
0.888825,1.06E-02,-444155.141,-7721.09208,-7401.08786,10.63,-15122.17994,,,
0.889825,1.06E-02,-444654.852,-7729.77345,-7409.42017,10.64,-15139.19362,,,
0.890825,1.07E-02,-445154.562,-7738.45482,-7417.75247,10.65,-15156.20729,,,
0.891825,1.07E-02,-445654.273,-7747.13619,-7426.08478,10.66,-15173.22097,,,
0.892825,1.07E-02,-446153.983,-7755.81755,-7434.41709,10.67,-15190.23464,,,
0.893825,1.07E-02,-446653.693,-7764.49891,-7442.74941,10.69,-15207.24832,,,
0.894825,1.07E-02,-447153.404,-7773.18027,-7451.08173,10.70,-15224.262,,,
0.895825,1.07E-02,-447653.114,-7781.86162,-7459.41405,10.71,-15241.27567,,,
0.896825,1.07E-02,-448152.825,-7790.54297,-7467.74637,10.72,-15258.28934,,,
0.897825,1.07E-02,-448652.535,-7799.22432,-7476.0787,10.74,-15275.30302,,,
0.898825,1.07E-02,-449152.246,-7807.90567,-7484.41102,10.75,-15292.31669,,,
0.899825,1.08E-02,-449651.956,-7816.58701,-7492.74336,10.76,-15309.33037,,,
0.900825,1.08E-02,-450151.667,-7825.26835,-7501.07569,10.77,-15326.34404,,,
0.901825,1.08E-02,-450651.377,-7833.94969,-7509.40803,10.79,-15343.35772,,,
0.902825,1.08E-02,-451151.088,-7842.63103,-7517.74037,10.80,-15360.3714,,,
0.903825,1.08E-02,-451650.798,-7851.31236,-7526.07271,10.81,-15377.38507,,,
0.904825,1.08E-02,-452150.508,-7859.99369,-7534.40506,10.82,-15394.39875,,,
0.905825,1.08E-02,-452650.219,-7868.67502,-7542.73741,10.83,-15411.41243,,,
0.906825,1.08E-02,-453149.929,-7877.35634,-7551.06976,10.85,-15428.4261,,,
0.907825,1.09E-02,-453649.64,-7886.03766,-7559.40211,10.86,-15445.43977,,,
0.908825,1.09E-02,-454149.35,-7894.71898,-7567.73447,10.87,-15462.45345,,,
0.909825,1.09E-02,-454649.061,-7903.4003,-7576.06683,10.88,-15479.46713,,,
0.910825,1.09E-02,-455148.771,-7912.08161,-7584.39919,10.90,-15496.4808,,,
0.911825,1.09E-02,-455648.482,-7920.76292,-7592.73155,10.91,-15513.49447,,,
0.912825,1.09E-02,-456148.192,-7929.44423,-7601.06392,10.92,-15530.50815,,,
0.913825,1.09E-02,-456647.902,-7938.12553,-7609.39629,10.93,-15547.52182,,,
0.914825,1.09E-02,-457147.613,-7946.80683,-7617.72867,10.94,-15564.5355,,,
0.915825,1.10E-02,-457647.323,-7955.48813,-7626.06104,10.96,-15581.54917,,,
0.916825,1.10E-02,-458147.034,-7964.16943,-7634.39342,10.97,-15598.56285,,,
0.917825,1.10E-02,-458646.744,-7972.85072,-7642.7258,10.98,-15615.57652,,,
0.918825,1.10E-02,-459146.455,-7981.53201,-7651.05819,10.99,-15632.5902,,,
0.919825,1.10E-02,-459646.165,-7990.2133,-7659.39058,11.01,-15649.60388,,,
0.920825,1.10E-02,-460145.876,-7998.89459,-7667.72297,11.02,-15666.61756,,,
0.921825,1.10E-02,-460645.586,-8007.57587,-7676.05536,11.03,-15683.63123,,,
0.922825,1.10E-02,-461145.297,-8016.25715,-7684.38775,11.04,-15700.6449,,,
0.923825,1.11E-02,-461645.007,-8024.93843,-7692.72015,11.06,-15717.65858,,,
0.924825,1.11E-02,-462144.717,-8033.6197,-7701.05255,11.07,-15734.67225,,,
0.925825,1.11E-02,-462644.428,-8042.30097,-7709.38496,11.08,-15751.68593,,,
0.926825,1.11E-02,-463144.138,-8050.98224,-7717.71736,11.09,-15768.6996,,,
0.927825,1.11E-02,-463643.849,-8059.66351,-7726.04977,11.10,-15785.71328,,,
0.928825,1.11E-02,-464143.559,-8068.34477,-7734.38218,11.12,-15802.72695,,,
0.929825,1.11E-02,-464643.27,-8077.02603,-7742.7146,11.13,-15819.74063,,,
0.930825,1.11E-02,-465142.98,-8085.70729,-7751.04701,11.14,-15836.7543,,,
0.931825,1.12E-02,-465642.691,-8094.38855,-7759.37943,11.15,-15853.76798,,,
0.932825,1.12E-02,-466142.401,-8103.0698,-7767.71185,11.17,-15870.78165,,,
0.933825,1.12E-02,-466642.111,-8111.75105,-7776.04428,11.18,-15887.79533,,,
0.934825,1.12E-02,-467141.822,-8120.4323,-7784.37671,11.19,-15904.80901,,,
0.935825,1.12E-02,-467641.532,-8129.11354,-7792.70914,11.20,-15921.82268,,,
0.936825,1.12E-02,-468141.243,-8137.79479,-7801.04157,11.22,-15938.83636,,,
0.937825,1.12E-02,-468640.953,-8146.47603,-7809.37401,11.23,-15955.85004,,,
0.938825,1.12E-02,-469140.664,-8155.15726,-7817.70644,11.24,-15972.8637,,,
0.939825,1.13E-02,-469640.374,-8163.8385,-7826.03888,11.25,-15989.87738,,,
0.940825,1.13E-02,-470140.085,-8172.51973,-7834.37133,11.26,-16006.89106,,,
0.941825,1.13E-02,-470639.795,-8181.20096,-7842.70377,11.28,-16023.90473,,,
0.942825,1.13E-02,-471139.506,-8189.88218,-7851.03622,11.29,-16040.9184,,,
0.943825,1.13E-02,-471639.216,-8198.56341,-7859.36867,11.30,-16057.93208,,,
0.944825,1.13E-02,-472138.926,-8207.24463,-7867.70113,11.31,-16074.94576,,,
0.945825,1.13E-02,-472638.637,-8215.92585,-7876.03358,11.33,-16091.95943,,,
0.946825,1.13E-02,-473138.347,-8224.60706,-7884.36604,11.34,-16108.9731,,,
0.947825,1.14E-02,-473638.058,-8233.28828,-7892.69851,11.35,-16125.98679,,,
0.948825,1.14E-02,-474137.768,-8241.96949,-7901.03097,11.36,-16143.00046,,,
0.949825,1.14E-02,-474637.479,-8250.6507,-7909.36344,11.37,-16160.01414,,,
0.950825,1.14E-02,-475137.189,-8259.3319,-7917.69591,11.39,-16177.02781,,,
0.951825,1.14E-02,-475636.9,-8268.01311,-7926.02838,11.40,-16194.04149,,,
0.952825,1.14E-02,-476136.61,-8276.69431,-7934.36085,11.41,-16211.05516,,,
0.953825,1.14E-02,-476636.321,-8285.3755,-7942.69333,11.42,-16228.06883,,,
0.954825,1.14E-02,-477136.031,-8294.0567,-7951.02581,11.44,-16245.08251,,,
0.955825,1.14E-02,-477635.741,-8302.73789,-7959.35829,11.45,-16262.09618,,,
0.956825,1.15E-02,-478135.452,-8311.41908,-7967.69078,11.46,-16279.10986,,,
0.957825,1.15E-02,-478635.162,-8320.10027,-7976.02327,11.47,-16296.12354,,,
0.958825,1.15E-02,-479134.873,-8328.78146,-7984.35576,11.49,-16313.13722,,,
0.959825,1.15E-02,-479634.583,-8337.46264,-7992.68825,11.50,-16330.15089,,,
0.960825,1.15E-02,-480134.294,-8346.14382,-8001.02074,11.51,-16347.16456,,,
0.961825,1.15E-02,-480634.004,-8354.82499,-8009.35324,11.52,-16364.17823,,,
0.962825,1.15E-02,-481133.715,-8363.50617,-8017.68574,11.53,-16381.19191,,,
0.963825,1.15E-02,-481633.425,-8372.18734,-8026.01825,11.55,-16398.20559,,,
0.964825,1.16E-02,-482133.135,-8380.86851,-8034.35075,11.56,-16415.21926,,,
0.965825,1.16E-02,-482632.846,-8389.54968,-8042.68326,11.57,-16432.23294,,,
0.966825,1.16E-02,-483132.556,-8398.23084,-8051.01577,11.58,-16449.24661,,,
0.967825,1.16E-02,-483632.267,-8406.91201,-8059.34828,11.60,-16466.26029,,,
0.968825,1.16E-02,-484131.977,-8415.59316,-8067.6808,11.61,-16483.27396,,,
0.969825,1.16E-02,-484631.688,-8424.27432,-8076.01332,11.62,-16500.28764,,,
0.970825,1.16E-02,-485131.398,-8432.95548,-8084.34584,11.63,-16517.30132,,,
0.971825,1.16E-02,-485631.109,-8441.63663,-8092.67836,11.65,-16534.31499,,,
0.972825,1.17E-02,-486130.819,-8450.31778,-8101.01089,11.66,-16551.32867,,,
0.973825,1.17E-02,-486630.53,-8458.99892,-8109.34342,11.67,-16568.34234,,,
0.974825,1.17E-02,-487130.24,-8467.68007,-8117.67595,11.68,-16585.35602,,,
0.975825,1.17E-02,-487629.95,-8476.36121,-8126.00848,11.69,-16602.36969,,,
0.976825,1.17E-02,-488129.661,-8485.04235,-8134.34102,11.71,-16619.38337,,,
0.977825,1.17E-02,-488629.371,-8493.72349,-8142.67356,11.72,-16636.39705,,,
0.978825,1.17E-02,-489129.082,-8502.40462,-8151.0061,11.73,-16653.41072,,,
0.979825,1.17E-02,-489628.792,-8511.08575,-8159.33864,11.74,-16670.42439,,,
0.980825,1.18E-02,-490128.503,-8519.76688,-8167.67119,11.76,-16687.43807,,,
0.981825,1.18E-02,-490628.213,-8528.44801,-8176.00373,11.77,-16704.45174,,,
0.982825,1.18E-02,-491127.924,-8537.12913,-8184.33628,11.78,-16721.46541,,,
0.983825,1.18E-02,-491627.634,-8545.81026,-8192.66884,11.79,-16738.4791,,,
0.984825,1.18E-02,-492127.344,-8554.49138,-8201.00139,11.81,-16755.49277,,,
0.985825,1.18E-02,-492627.055,-8563.17249,-8209.33395,11.82,-16772.50644,,,
0.986825,1.18E-02,-493126.765,-8571.85361,-8217.66651,11.83,-16789.52012,,,
0.987825,1.18E-02,-493626.476,-8580.53472,-8225.99908,11.84,-16806.5338,,,
0.988825,1.19E-02,-494126.186,-8589.21583,-8234.33164,11.86,-16823.54747,,,
0.989825,1.19E-02,-494625.897,-8597.89694,-8242.66421,11.87,-16840.56115,,,
0.990825,1.19E-02,-495125.607,-8606.57804,-8250.99678,11.88,-16857.57482,,,
0.991825,1.19E-02,-495625.318,-8615.25914,-8259.32935,11.89,-16874.58849,,,
0.992825,1.19E-02,-496125.028,-8623.94024,-8267.66193,11.90,-16891.60217,,,
0.993825,1.19E-02,-496624.739,-8632.62134,-8275.99451,11.92,-16908.61585,,,
0.994825,1.19E-02,-497124.449,-8641.30243,-8284.32709,11.93,-16925.62952,,,
0.995825,1.19E-02,-497624.159,-8649.98353,-8292.65967,11.94,-16942.6432,,,
0.996825,1.20E-02,-498123.87,-8658.66462,-8300.99226,11.95,-16959.65688,,,
0.997825,1.20E-02,-498623.58,-8667.3457,-8309.32484,11.97,-16976.67054,,,
0.998825,1.20E-02,-499123.291,-8676.02679,-8317.65743,11.98,-16993.68422,,,
0.9994125,1.20E-02,-499416.871,-8681.12693,-8322.55283,11.99,-17003.67976,,,
1,1.20E-02,-499710.451,-8686.22706,-8327.44823,11.99,-17013.67529,,,
