TIME, UY_5, FX_2, FY_3, FY_4,Load,Reaction,Deflection,,,
2.00E-04,5.82E-05,-0.207911712,-0.498855271,-0.479292318,0.98,0.21,0.06,,,
4.00E-04,1.16E-04,-0.415823423,-0.997710603,-0.958584695,1.96,0.42,0.12,,,
7.00E-04,2.04E-04,-0.727691091,-1.74599364,-1.67752329,3.42,0.73,0.20,,,
1.15E-03,3.35E-04,-1.19549308,-2.86841857,-2.75593152,5.62,1.20,0.33,,,
1.83E-03,5.31E-04,-1.89719798,-4.55205751,-4.3735453,8.93,1.90,0.53,,,
2.84E-03,8.25E-04,-2.94976458,-7.07752281,-6.79997238,13.88,2.95,0.82,,,
4.36E-03,1.27E-03,-4.52865838,-10.8657522,-10.4396427,21.31,4.53,1.27,,,
6.36E-03,1.85E-03,-6.60795799,-15.8544366,-15.2326895,31.09,6.61,1.85,,,
8.36E-03,2.43E-03,-8.68716284,-20.8430619,-20.0256745,40.87,8.69,2.43,,,
1.04E-02,3.00E-03,-10.7662917,-25.8316373,-24.8186054,50.65,10.77,3.00,,,
1.24E-02,3.58E-03,-12.8454193,-30.8202147,-29.6115319,60.43,12.85,3.58,,,
1.44E-02,4.16E-03,-14.9245483,-35.8087972,-34.4044558,70.21,14.92,4.16,,,
1.64E-02,4.74E-03,-17.0036775,-40.7973843,-39.1973752,79.99,17.00,4.74,,,
1.84E-02,5.31E-03,-19.0828065,-45.7859764,-43.9902894,89.78,19.08,5.31,,,
2.04E-02,5.89E-03,-21.1619355,-50.7745741,-48.7831978,99.56,21.16,5.89,,,
2.24E-02,6.46E-03,-23.2410645,-55.7631781,-53.5760998,109.34,23.24,6.46,,,
2.44E-02,7.03E-03,-25.3201935,-60.751789,-58.3689949,119.12,25.32,7.03,,,
2.64E-02,7.61E-03,-27.3993225,-65.7404073,-63.1618823,128.90,27.40,7.61,,,
2.84E-02,8.18E-03,-29.4784514,-70.7290337,-67.9547615,138.68,29.48,8.18,,,
3.04E-02,8.75E-03,-31.5575804,-75.7176688,-72.7476319,148.47,31.56,8.75,,,
3.24E-02,9.32E-03,-33.6367092,-80.7063131,-77.5404929,158.25,33.64,9.32,,,
3.44E-02,9.89E-03,-35.7158381,-85.6949673,-82.3333439,168.03,35.72,9.89,,169.8873498,36.11099004
3.64E-02,1.05E-02,-37.7949669,-90.6836319,-87.1261843,177.81,37.79,10.46,,,
3.84E-02,1.10E-02,-39.8740957,-95.6723076,-91.9190136,187.59,39.87,11.03,,,
4.04E-02,1.16E-02,-41.9532245,-100.660995,-96.7118312,197.37,41.95,11.60,,,
4.24E-02,1.22E-02,-44.0323532,-105.649694,-101.504636,207.15,44.03,12.16,,,
4.44E-02,1.27E-02,-46.1114819,-110.638407,-106.297429,216.94,46.11,12.73,,,
4.64E-02,1.33E-02,-48.1906106,-115.627132,-111.090207,226.72,48.19,13.30,,,
4.84E-02,1.39E-02,-50.2697393,-120.615872,-115.882972,236.50,50.27,13.86,,,
5.04E-02,1.44E-02,-52.3488679,-125.604626,-120.675722,246.28,52.35,14.42,,,
5.24E-02,1.50E-02,-54.4279964,-130.593395,-125.468457,256.06,54.43,14.99,,,
5.44E-02,1.55E-02,-56.507125,-135.58218,-130.261176,265.84,56.51,15.55,,,
5.64E-02,1.61E-02,-58.5862535,-140.57098,-135.053879,275.62,58.59,16.11,,,
5.84E-02,1.67E-02,-60.665382,-145.559798,-139.846565,285.41,60.67,16.67,,,
6.04E-02,1.72E-02,-62.7445104,-150.548633,-144.639234,295.19,62.74,17.23,,,
6.24E-02,1.78E-02,-64.8236388,-155.537486,-149.431884,304.97,64.82,17.79,,,
6.44E-02,1.83E-02,-66.9027672,-160.526357,-154.224516,314.75,66.90,18.35,,,
6.64E-02,1.89E-02,-68.9818955,-165.515247,-159.017129,324.53,68.98,18.91,,,
6.84E-02,1.95E-02,-71.0610238,-170.504157,-163.809722,334.31,71.06,19.46,,,
7.04E-02,2.00E-02,-73.1401521,-175.493086,-168.602296,344.10,73.14,20.02,,,
7.24E-02,2.06E-02,-75.2192803,-180.482036,-173.394848,353.88,75.22,20.58,,,
7.44E-02,2.11E-02,-77.2984085,-185.471008,-178.187379,363.66,77.30,21.13,,,
7.64E-02,2.17E-02,-79.3775366,-190.460001,-182.979889,373.44,79.38,21.68,,,
7.84E-02,2.22E-02,-81.4566647,-195.449016,-187.772376,383.22,81.46,22.24,,,
8.04E-02,2.28E-02,-83.5357928,-200.438054,-192.56484,393.00,83.54,22.79,,,
8.24E-02,2.33E-02,-85.6149208,-205.427115,-197.357281,402.78,85.61,23.34,,,
8.44E-02,2.39E-02,-87.6940487,-210.416199,-202.149698,412.57,87.69,23.89,,,
8.64E-02,2.44E-02,-89.7731767,-215.405308,-206.942091,422.35,89.77,24.44,,,
8.84E-02,2.50E-02,-91.8523046,-220.394442,-211.734458,432.13,91.85,24.99,,,
9.04E-02,2.55E-02,-93.9314324,-225.383601,-216.526801,441.91,93.93,25.54,,,
9.24E-02,2.61E-02,-96.0105602,-230.372786,-221.319117,451.69,96.01,26.08,,,
9.44E-02,2.66E-02,-98.0896879,-235.361997,-226.111407,461.47,98.09,26.63,,,
9.64E-02,2.72E-02,-100.168816,-240.351235,-230.90367,471.25,100.17,27.18,,,
9.84E-02,2.77E-02,-102.247943,-245.340501,-235.695906,481.04,102.25,27.72,,,
0.10035625,2.83E-02,-104.327071,-250.329794,-240.488113,490.82,104.33,28.26,,,
0.10235625,2.88E-02,-106.406199,-255.319115,-245.280292,500.60,106.41,28.81,,,
0.10435625,2.93E-02,-108.485326,-260.308465,-250.072442,510.38,108.49,29.35,,,
0.10635625,2.99E-02,-110.564454,-265.297845,-254.864563,520.16,110.56,29.89,,,
0.10835625,3.04E-02,-112.643581,-270.287254,-259.656654,529.94,112.64,30.43,,,
0.11035625,3.10E-02,-114.722708,-275.276694,-264.448714,539.73,114.72,30.97,,,
0.11235625,3.15E-02,-116.801836,-280.266164,-269.240744,549.51,116.80,31.51,,,
0.11435625,3.20E-02,-118.880963,-285.255666,-274.032742,559.29,118.88,32.05,,,
0.11635625,3.26E-02,-120.96009,-290.245199,-278.824708,569.07,120.96,32.58,,,
0.11835625,3.31E-02,-123.039217,-295.234765,-283.616642,578.85,123.04,33.12,,,
0.12035625,3.37E-02,-125.118345,-300.224363,-288.408544,588.63,125.12,33.66,,,
0.12235625,3.42E-02,-127.197472,-305.213994,-293.200411,598.41,127.20,34.19,,,
0.12435625,3.47E-02,-129.276599,-310.203659,-297.992246,608.20,129.28,34.72,,,
0.12635625,3.53E-02,-131.355726,-315.193358,-302.784046,617.98,131.36,35.26,,,
0.12835625,3.58E-02,-133.434853,-320.183091,-307.575811,627.76,133.43,35.79,,,
0.13035625,3.63E-02,-135.513979,-325.17286,-312.367541,637.54,135.51,36.32,,,
0.13235625,3.69E-02,-137.593106,-330.162663,-317.159236,647.32,137.59,36.85,,,
0.13435625,3.74E-02,-139.672233,-335.152503,-321.950895,657.10,139.67,37.38,,,
0.13635625,3.79E-02,-141.75136,-340.142379,-326.742517,666.88,141.75,37.91,,,
