TIME, UX_2, FY_4, FY_5, FX_3,Displacement,Load,Reaction,,,
2.00E-04,1.85E-08,-0.255,-0.244999999,-0.866025417,0.00,0.50,0.87,,,
4.00E-04,3.27E-08,-0.510000015,-0.490000014,-1.73205088,0.00,1.00,1.73,,,
7.00E-04,4.62E-08,-0.892500051,-0.857500049,-3.03108917,0.00,1.75,3.03,,,
1.15E-03,4.85E-08,-1.46625024,-1.40875023,-4.97964722,0.00,2.88,4.98,,,
1.83E-03,1.21E-08,-2.32687613,-2.23562608,-7.90248711,0.00,4.56,7.90,,,
2.84E-03,-1.32E-07,-3.6178179,-3.4759427,-12.2867603,0.00,7.09,12.29,,,
4.36E-03,-5.48E-07,-5.55424489,-5.33643156,-18.8632338,0.00,10.89,18.86,,,
6.36E-03,-1.46E-06,-8.10430415,-7.78648904,-27.5237508,0.00,15.89,27.52,,,
8.36E-03,-2.77E-06,-10.65433,-10.2365132,-36.1841218,0.00,20.89,36.18,,,
1.04E-02,-4.48E-06,-13.2043314,-12.6865127,-44.8443817,0.00,25.89,44.84,,,
1.24E-02,-6.59E-06,-15.7543331,-15.1365116,-53.5046406,-0.01,30.89,53.50,,,
1.44E-02,-9.08E-06,-18.3043355,-17.5865103,-62.1649008,-0.01,35.89,62.16,,,
1.64E-02,-1.20E-05,-20.8543385,-20.0365083,-70.8251609,-0.01,40.89,70.83,,,
1.84E-02,-1.52E-05,-23.4043421,-22.4865057,-79.4854209,-0.02,45.89,79.49,,,
2.04E-02,-1.88E-05,-25.9543464,-24.9365024,-88.1456807,-0.02,50.89,88.15,,,
2.24E-02,-2.28E-05,-28.5043515,-27.3864983,-96.8059403,-0.02,55.89,96.81,,,
2.44E-02,-2.72E-05,-31.0543574,-29.8364934,-105.4662,-0.03,60.89,105.47,,,
2.64E-02,-3.19E-05,-33.6043642,-32.2864874,-114.126459,-0.03,65.89,114.13,,,
2.84E-02,-3.69E-05,-36.1543721,-34.7364805,-122.786718,-0.04,70.89,122.79,,,
3.04E-02,-4.23E-05,-38.704381,-37.1864725,-131.446978,-0.04,75.89,131.45,,,
3.24E-02,-4.80E-05,-41.254391,-39.6364634,-140.107236,-0.05,80.89,140.11,,,
3.44E-02,-5.41E-05,-43.8044022,-42.0864531,-148.767495,-0.05,85.89,148.77,,,
3.64E-02,-6.05E-05,-46.3544146,-44.5364416,-157.427754,-0.06,90.89,157.43,,,
3.84E-02,-6.72E-05,-48.9044284,-46.9864287,-166.088013,-0.07,95.89,166.09,,,
4.04E-02,-7.42E-05,-51.4544435,-49.4364144,-174.748271,-0.07,100.89,174.75,,,
4.24E-02,-8.15E-05,-54.00446,-51.8863987,-183.408529,-0.08,105.89,183.41,,,
4.44E-02,-8.92E-05,-56.554478,-54.3363815,-192.068788,-0.09,110.89,192.07,,,
4.64E-02,-9.72E-05,-59.1044976,-56.7863628,-200.729046,-0.10,115.89,200.73,,,
4.84E-02,-1.05E-04,-61.6545187,-59.2363424,-209.389304,-0.11,120.89,209.39,,,
5.04E-02,-1.14E-04,-64.2045415,-61.6863203,-218.049562,-0.11,125.89,218.05,,,
5.24E-02,-1.23E-04,-66.754566,-64.1362966,-226.709819,-0.12,130.89,226.71,,,
5.44E-02,-1.32E-04,-69.3045923,-66.586271,-235.370077,-0.13,135.89,235.37,,,
5.64E-02,-1.41E-04,-71.8546203,-69.0362437,-244.030335,-0.14,140.89,244.03,,,
5.84E-02,-1.51E-04,-74.4046503,-71.4862145,-252.690592,-0.15,145.89,252.69,,,
6.04E-02,-1.61E-04,-76.9546821,-73.9361833,-261.350849,-0.16,150.89,261.35,,,
6.24E-02,-1.71E-04,-79.5047159,-76.3861502,-270.011107,-0.17,155.89,270.01,,,
6.44E-02,-1.82E-04,-82.0547517,-78.8361151,-278.671364,-0.18,160.89,278.67,,,
6.64E-02,-1.92E-04,-84.6047896,-81.2860779,-287.331621,-0.19,165.89,287.33,,,
6.84E-02,-2.03E-04,-87.1548295,-83.7360386,-295.991878,-0.20,170.89,295.99,,,
7.04E-02,-2.15E-04,-89.7048716,-86.1859971,-304.652135,-0.21,175.89,304.65,,,
7.24E-02,-2.26E-04,-92.2549159,-88.6359534,-313.312392,-0.23,180.89,313.31,,,
7.44E-02,-2.38E-04,-94.8049624,-91.0859074,-321.972648,-0.24,185.89,321.97,,,
7.64E-02,-2.50E-04,-97.3550112,-93.5358592,-330.632905,-0.25,190.89,330.63,,,
7.84E-02,-2.62E-04,-99.9050624,-95.9858086,-339.293161,-0.26,195.89,339.29,,,
8.04E-02,-2.75E-04,-102.455116,-98.4357558,-347.953418,-0.27,200.89,347.95,,,
8.24E-02,-2.87E-04,-105.005172,-100.8857,-356.613674,-0.29,205.89,356.61,,,
8.44E-02,-3.00E-04,-107.55523,-103.335643,-365.27393,-0.30,210.89,365.27,,,
8.64E-02,-3.13E-04,-110.105291,-105.785582,-373.934187,-0.31,215.89,373.93,,,
8.84E-02,-3.27E-04,-112.655354,-108.235519,-382.594443,-0.33,220.89,382.59,,,
9.04E-02,-3.40E-04,-115.20542,-110.685454,-391.254699,-0.34,225.89,391.25,,,
9.24E-02,-3.54E-04,-117.755488,-113.135386,-399.914955,-0.35,230.89,399.91,,,
9.44E-02,-3.68E-04,-120.30556,-115.585315,-408.575211,-0.37,235.89,408.58,,,
9.64E-02,-3.82E-04,-122.855633,-118.035242,-417.235466,-0.38,240.89,417.24,,,
9.84E-02,-3.97E-04,-125.40571,-120.485166,-425.895722,-0.40,245.89,425.90,,,
0.10035625,-4.11E-04,-127.955789,-122.935087,-434.555978,-0.41,250.89,434.56,,,
0.10235625,-4.26E-04,-130.505871,-125.385006,-443.216233,-0.43,255.89,443.22,,,
0.10435625,-4.41E-04,-133.055956,-127.834921,-451.876489,-0.44,260.89,451.88,,,
0.10635625,-4.56E-04,-135.606043,-130.284834,-460.536744,-0.46,265.89,460.54,,,
0.10835625,-4.72E-04,-138.156134,-132.734744,-469.197,-0.47,270.89,469.20,,,
0.11035625,-4.87E-04,-140.706227,-135.184651,-477.857255,-0.49,275.89,477.86,,,
0.11235625,-5.03E-04,-143.256323,-137.634555,-486.51751,-0.50,280.89,486.52,,,
0.11435625,-5.19E-04,-145.806422,-140.084456,-495.177766,-0.52,285.89,495.18,,,
0.11635625,-5.35E-04,-148.356525,-142.534355,-503.838021,-0.54,290.89,503.84,,,
0.11835625,-5.51E-04,-150.90663,-144.98425,-512.498276,-0.55,295.89,512.50,,,
0.12035625,-5.68E-04,-153.456738,-147.434142,-521.158531,-0.57,300.89,521.16,,,
0.12235625,-5.84E-04,-156.006849,-149.884031,-529.818786,-0.58,305.89,529.82,,,
0.12435625,-6.01E-04,-158.556964,-152.333917,-538.479041,-0.60,310.89,538.48,,,
0.12635625,-6.18E-04,-161.107081,-154.783799,-547.139296,-0.62,315.89,547.14,,,
0.12835625,-6.35E-04,-163.657202,-157.233679,-555.799551,-0.64,320.89,555.80,,,
