TIME, UX_2, FY_4, FY_5, FX_3,Displacement,Load,Reaction,,,
2.00E-04,5.53E-09,-0.441672952,-0.424352444,-0.500000014,0.00,0.87,0.50,,,
4.00E-04,-1.67E-09,-0.883345966,-0.848704946,-1.00000011,0.00,1.73,1.00,,,
7.00E-04,-3.63E-08,-1.54585553,-1.48523374,-1.75000036,0.00,3.03,1.75,,,
1.15E-03,-1.42E-07,-2.53962033,-2.44002736,-2.8750016,0.00,4.98,2.88,,,
1.83E-03,-4.21E-07,-4.03026953,-3.87221968,-4.56250719,0.00,7.90,4.56,,,
2.84E-03,-1.11E-06,-6.26625279,-6.02051721,-7.09378298,0.00,12.29,7.09,,,
4.36E-03,-2.75E-06,-9.62027289,-9.24300712,-10.8907789,0.00,18.86,10.89,,,
6.36E-03,-6.00E-06,-14.0371905,-13.4867125,-15.8911199,-0.01,27.52,15.89,,,
8.36E-03,-1.05E-05,-18.4540109,-17.7303196,-20.8912871,-0.01,36.18,20.89,,,
1.04E-02,-1.62E-05,-22.8707534,-21.9738468,-25.8913049,-0.02,44.84,25.89,,,
1.24E-02,-2.32E-05,-27.2874966,-26.2173704,-30.8913188,-0.02,53.50,30.89,,,
1.44E-02,-3.13E-05,-31.7042442,-30.4608929,-35.8913373,-0.03,62.17,35.89,,,
1.64E-02,-4.07E-05,-36.1209948,-34.7044124,-40.8913558,-0.04,70.83,40.89,,,
1.84E-02,-5.12E-05,-40.5377487,-38.9479283,-45.891374,-0.05,79.49,45.89,,,
2.04E-02,-6.29E-05,-44.9545065,-43.1914404,-50.891392,-0.06,88.15,50.89,,,
2.24E-02,-7.58E-05,-49.3712684,-47.434948,-55.8914098,-0.08,96.81,55.89,,,
2.44E-02,-8.98E-05,-53.7880348,-51.6784509,-60.8914273,-0.09,105.47,60.89,,,
2.64E-02,-1.05E-04,-58.2048063,-55.9219488,-65.8914447,-0.10,114.13,65.89,,,
2.84E-02,-1.21E-04,-62.6215831,-60.1654411,-70.8914618,-0.12,122.79,70.89,,,
3.04E-02,-1.39E-04,-67.0383656,-64.4089275,-75.8914787,-0.14,131.45,75.89,,,
3.24E-02,-1.57E-04,-71.4551542,-68.6524076,-80.8914954,-0.16,140.11,80.89,,,
3.44E-02,-1.77E-04,-75.8719493,-72.8958812,-85.8915119,-0.18,148.77,85.89,,,
3.64E-02,-1.98E-04,-80.2887512,-77.1393477,-90.8915282,-0.20,157.43,90.89,,,
3.84E-02,-2.20E-04,-84.7055604,-81.3828069,-95.8915443,-0.22,166.09,95.89,,,
4.04E-02,-2.42E-04,-89.1223772,-85.6262582,-100.89156,-0.24,174.75,100.89,,,
4.24E-02,-2.66E-04,-93.5392019,-89.8697016,-105.891576,-0.27,183.41,105.89,,,
4.44E-02,-2.91E-04,-97.9560348,-94.1131365,-110.891591,-0.29,192.07,110.89,,,
4.64E-02,-3.18E-04,-102.372876,-98.3565626,-115.891607,-0.32,200.73,115.89,,,
4.84E-02,-3.45E-04,-106.789727,-102.59998,-120.891622,-0.34,209.39,120.89,,,
5.04E-02,-3.73E-04,-111.206587,-106.843387,-125.891637,-0.37,218.05,125.89,,,
5.24E-02,-4.02E-04,-115.623457,-111.086785,-130.891651,-0.40,226.71,130.89,,,
5.44E-02,-4.32E-04,-120.040336,-115.330172,-135.891666,-0.43,235.37,135.89,,,
5.64E-02,-4.63E-04,-124.457226,-119.573549,-140.89168,-0.46,244.03,140.89,,,
5.84E-02,-4.95E-04,-128.874127,-123.816916,-145.891694,-0.50,252.69,145.89,,,
6.04E-02,-5.29E-04,-133.291038,-128.060271,-150.891708,-0.53,261.35,150.89,,,
6.24E-02,-5.63E-04,-137.707961,-132.303615,-155.891722,-0.56,270.01,155.89,,,
6.44E-02,-5.98E-04,-142.124896,-136.546946,-160.891736,-0.60,278.67,160.89,,,
6.64E-02,-6.34E-04,-146.541842,-140.790266,-165.891749,-0.63,287.33,165.89,,,
6.84E-02,-6.71E-04,-150.958801,-145.033574,-170.891762,-0.67,295.99,170.89,,,
7.04E-02,-7.09E-04,-155.375772,-149.276869,-175.891775,-0.71,304.65,175.89,,,
7.24E-02,-7.47E-04,-159.792756,-153.52015,-180.891788,-0.75,313.31,180.89,,,
7.44E-02,-7.87E-04,-164.209754,-157.763419,-185.891801,-0.79,321.97,185.89,,,
7.64E-02,-8.28E-04,-168.626764,-162.006674,-190.891813,-0.83,330.63,190.89,,,
7.84E-02,-8.69E-04,-173.043789,-166.249915,-195.891826,-0.87,339.29,195.89,,,
8.04E-02,-9.12E-04,-177.460827,-170.493142,-200.891838,-0.91,347.95,200.89,,,
8.24E-02,-9.55E-04,-181.87788,-174.736354,-205.89185,-0.96,356.61,205.89,,,
8.44E-02,-9.99E-04,-186.294947,-178.979552,-210.891862,-1.00,365.27,210.89,,,
8.64E-02,-1.04E-03,-190.71203,-183.222735,-215.891873,-1.04,373.93,215.89,,,
