TIME, FY_5
2.E-04, -31.5197463
4.E-04, -63.0396567
7.E-04, -110.320001
1.15E-03, -181.244444
1.825E-03, -287.687011
2.825E-03, -445.735371
3.825E-03, -602.913094
4.825E-03, -760.497304
5.825E-03, -919.745767
6.825E-03, -1076.13318
7.825E-03, -1238.06064
8.825E-03, -1395.96531
9.825E-03, -1550.79325
1.0825E-02, -1707.36793
1.1825E-02, -1864.70562
1.2825E-02, -2022.13856
1.3825E-02, -2179.63241
1.4825E-02, -2337.18382
1.5825E-02, -2494.77187
1.6825E-02, -2652.38298
1.7825E-02, -2810.00926
1.8825E-02, -2967.64579
1.9825E-02, -3125.28939
2.0825E-02, -3282.93797
2.1825E-02, -3440.59015
2.2825E-02, -3598.24499
2.3825E-02, -3755.90184
2.4825E-02, -3913.56024
2.5825E-02, -4071.21986
2.6825E-02, -4228.88046
2.7825E-02, -4386.54186
2.8825E-02, -4544.20395
2.9825E-02, -4701.8666
3.0825E-02, -4859.52975
3.1825E-02, -5017.19333
3.2825E-02, -5174.8573
3.3825E-02, -5332.52162
3.4825E-02, -5490.18625
3.5825E-02, -5647.85116
3.6825E-02, -5805.51634
3.7825E-02, -5963.18176
3.8825E-02, -6120.84742
3.9825E-02, -6278.51329
4.0825E-02, -6436.17936
4.1825E-02, -6593.84562
4.2825E-02, -6751.51206
4.3825E-02, -6909.17867
4.4825E-02, -7066.84545
4.5825E-02, -7224.51239
4.6825E-02, -7382.17948
4.7825E-02, -7539.84671
4.8825E-02, -7697.51408
4.9825E-02, -7855.18158
5.0825E-02, -8012.84921
5.1825E-02, -8170.51697
5.2825E-02, -8328.18485
5.3825E-02, -8485.85284
5.4825E-02, -8643.52095
5.5825E-02, -8801.18916
5.6825E-02, -8958.85748
5.7825E-02, -9116.52591
5.8825E-02, -9274.19443
5.9825E-02, -9431.86305
6.0825E-02, -9589.53176
6.1825E-02, -9747.20057
6.2825E-02, -9904.86946
6.3825E-02, -10062.5384
6.4825E-02, -10220.2075
6.5825E-02, -10377.8767
6.6825E-02, -10535.5459
6.7825E-02, -10693.2152
6.8825E-02, -10850.8846
6.9825E-02, -11008.554
7.0825E-02, -11166.2236
7.1825E-02, -11323.8932
7.2825E-02, -11481.5628
7.3825E-02, -11639.2326
7.4825E-02, -11796.9024
7.5825E-02, -11954.5723
7.6825E-02, -12112.2422
7.7825E-02, -12269.9122
7.8825E-02, -12427.5823
7.9825E-02, -12585.2524
8.0825E-02, -12742.9226
8.1825E-02, -12900.5928
8.2825E-02, -13058.2631
8.3825E-02, -13215.9335
8.4825E-02, -13373.6039
8.5825E-02, -13531.2743
8.6825E-02, -13688.9448
8.7825E-02, -13846.6154
8.8825E-02, -14004.286
8.9825E-02, -14161.9567
9.0825E-02, -14319.6274
9.1825E-02, -14477.2981
9.2825E-02, -14634.9689
9.3825E-02, -14792.6398
9.4825E-02, -14950.3107
9.5825E-02, -15107.9816
9.6825E-02, -15265.6526
9.7825E-02, -15423.3236
9.8825E-02, -15580.9947
9.9825E-02, -15738.6658
0.100825, -15896.337
0.101825, -16054.0082
0.102825, -16211.6794
0.103825, -16369.3507
0.104825, -16527.022
0.105825, -16684.6933
0.106825, -16842.3647
0.107825, -17000.0361
0.108825, -17157.7076
0.109825, -17315.3791
0.110825, -17473.0506
0.111825, -17630.7222
0.112825, -17788.3938
0.113825, -17946.0654
0.114825, -18103.7371
0.115825, -18261.4088
0.116825, -18419.0805
0.117825, -18576.7523
0.118825, -18734.4241
0.119825, -18892.0959
0.120825, -19049.7677
0.121825, -19207.4396
0.122825, -19365.1115
0.123825, -19522.7835
0.124825, -19680.4554
0.125825, -19838.1274
0.126825, -19995.7995
0.127825, -20153.4715
0.128825, -20311.1436
