TIME, UX_5, FX_2, FY_3, FY_4,Displacement,Reaction,Load,,,
2.00E-04,-1.83E-08,0.499999998,-0.441672953,-0.424352445,0.00,-0.50,0.87,,,
4.00E-04,-4.93E-08,0.999999986,-0.883345902,-0.848704884,0.00,-1.00,1.73,,,
7.00E-04,-1.20E-07,1.74999995,-1.54585531,-1.48523352,0.00,-1.75,3.03,,,
1.15E-03,-2.80E-07,2.87499957,-2.53961921,-2.44002625,0.00,-2.87,4.98,,,
1.83E-03,-6.41E-07,4.56249695,-4.03026387,-3.87221411,0.00,-4.56,7.90,,,
2.84E-03,-1.46E-06,7.0937313,-6.26622414,-6.02048905,0.00,-7.09,12.29,,,
4.36E-03,-3.30E-06,10.8905187,-9.6201284,-9.24286504,0.00,-10.89,18.86,,,
6.36E-03,-6.88E-06,15.8902504,-14.0367072,-13.4862372,-0.01,-15.89,27.52,,,
8.36E-03,-1.18E-05,20.8901378,-18.4533774,-17.7296965,-0.01,-20.89,36.18,,,
1.04E-02,-1.80E-05,25.8901598,-22.8701215,-21.9732249,-0.02,-25.89,44.84,,,
1.24E-02,-2.55E-05,30.8901858,-27.2868694,-26.2167525,-0.03,-30.89,53.50,,,
1.44E-02,-3.44E-05,35.8902074,-31.7036186,-30.4602756,-0.03,-35.89,62.16,,,
1.64E-02,-4.46E-05,40.8902288,-36.120371,-34.7037954,-0.04,-40.89,70.82,,,
1.84E-02,-5.62E-05,45.8902506,-40.5371273,-38.9473116,-0.06,-45.89,79.48,,,
2.04E-02,-6.92E-05,50.8902726,-44.9538879,-43.1908236,-0.07,-50.89,88.14,,,
2.24E-02,-8.36E-05,55.8902949,-49.3706534,-47.434331,-0.08,-55.89,96.80,,,
2.44E-02,-9.94E-05,60.8903174,-53.7874243,-51.6778331,-0.10,-60.89,105.47,,,
2.64E-02,-1.17E-04,65.8903402,-58.2042009,-55.9213297,-0.12,-65.89,114.13,,,
2.84E-02,-1.35E-04,70.8903632,-62.6209839,-60.1648201,-0.14,-70.89,122.79,,,
3.04E-02,-1.55E-04,75.8903865,-67.0377737,-64.4083038,-0.16,-75.89,131.45,,,
3.24E-02,-1.77E-04,80.89041,-71.4545709,-68.6517804,-0.18,-80.89,140.11,,,
3.44E-02,-2.00E-04,85.8904338,-75.871376,-72.8952492,-0.20,-85.89,148.77,,,
3.64E-02,-2.24E-04,90.8904578,-80.2881894,-77.1387099,-0.22,-90.89,157.43,,,
3.84E-02,-2.50E-04,95.8904821,-84.7050118,-81.3821619,-0.25,-95.89,166.09,,,
4.04E-02,-2.78E-04,100.890507,-89.1218437,-85.6256045,-0.28,-100.89,174.75,,,
4.24E-02,-3.06E-04,105.890531,-93.5386856,-89.8690373,-0.31,-105.89,183.41,,,
4.44E-02,-3.37E-04,110.890557,-97.955538,-94.1124597,-0.34,-110.89,192.07,,,
4.64E-02,-3.69E-04,115.890582,-102.372402,-98.3558712,-0.37,-115.89,200.73,,,
4.84E-02,-4.02E-04,120.890607,-106.789277,-102.599271,-0.40,-120.89,209.39,,,
5.04E-02,-4.38E-04,125.890633,-111.206164,-106.842659,-0.44,-125.89,218.05,,,
