TIME, UX_2, FX_4, FY_5, FY_6,Displacement,Load,Reaction,,,
2.00E-04,2.31E-06,-99.4521852,-5.3829936,-5.06985252,0.00,10.45,99.45,,,
4.00E-04,4.51E-06,-198.904379,-10.7656193,-10.1400733,0.00,20.91,198.90,,,
7.00E-04,7.61E-06,-348.082664,-18.8388774,-17.7460847,0.01,36.58,348.08,,,
1.15E-03,1.18E-05,-571.85009,-30.9472578,-29.1566085,0.01,60.10,571.85,,,
1.82E-03,1.73E-05,-903.357389,-48.8823562,-46.0643311,0.02,94.95,903.36,,,
2.48E-03,2.19E-05,-1234.86469,-66.8137338,-62.9757746,0.02,129.79,1234.86,,,
3.15E-03,2.57E-05,-1566.37199,-84.7415227,-79.8908067,0.03,164.63,1566.37,,,
3.82E-03,2.88E-05,-1897.87928,-102.665839,-96.8093112,0.03,199.48,1897.88,,,
4.48E-03,3.14E-05,-2229.38658,-120.586805,-113.731167,0.03,234.32,2229.39,,,
5.15E-03,3.36E-05,-2560.89388,-138.504536,-130.656257,0.03,269.16,2560.89,,,
5.82E-03,3.53E-05,-2892.40118,-156.419142,-147.584471,0.04,304.00,2892.40,,,
6.48E-03,3.66E-05,-3223.90848,-174.330731,-164.515704,0.04,338.85,3223.91,,,
7.15E-03,3.77E-05,-3555.41578,-192.239402,-181.449853,0.04,373.69,3555.42,,,
7.82E-03,3.85E-05,-3886.92308,-210.145254,-198.386823,0.04,408.53,3886.92,,,
8.48E-03,3.91E-05,-4218.43037,-228.048378,-215.32652,0.04,443.37,4218.43,,,
9.15E-03,3.95E-05,-4549.93767,-245.948864,-232.268855,0.04,478.22,4549.94,,,
9.82E-03,3.98E-05,-4881.44497,-263.846795,-249.213745,0.04,513.06,4881.44,,,
1.05E-02,4.00E-05,-5212.95227,-281.742255,-266.161106,0.04,547.90,5212.95,,,
1.12E-02,4.01E-05,-5544.45957,-299.635321,-283.110861,0.04,582.75,5544.46,,,
1.18E-02,4.01E-05,-5875.96687,-317.526068,-300.062935,0.04,617.59,5875.97,,,
1.25E-02,4.00E-05,-6207.47417,-335.414568,-317.017256,0.04,652.43,6207.47,,,
1.32E-02,4.00E-05,-6538.98146,-353.300891,-333.973755,0.04,687.27,6538.98,,,
1.38E-02,3.99E-05,-6870.48876,-371.185101,-350.932365,0.04,722.12,6870.49,,,
1.45E-02,3.98E-05,-7201.99606,-389.067264,-367.893023,0.04,756.96,7202.00,,,
1.52E-02,3.97E-05,-7533.50336,-406.947441,-384.855668,0.04,791.80,7533.50,,,
1.58E-02,3.97E-05,-7865.01066,-424.82569,-401.82024,0.04,826.65,7865.01,,,
