TIME, UX_2, FX_3, FY_4, FY_5,Displacement,Reaction,Load,,,
2.00E-04,-2.38E-08,0.994521895,-5.33E-02,-5.12E-02,0.00,-0.99,0.10,,,
4.00E-04,-4.77E-08,1.98904374,-0.106619032,-0.102437894,0.00,-1.99,0.21,,,
7.00E-04,-8.40E-08,3.48082664,-0.186583307,-0.179266314,0.00,-3.48,0.37,,,
1.15E-03,-1.39E-07,5.71850088,-0.306529717,-0.294508944,0.00,-5.72,0.60,,,
1.83E-03,-2.24E-07,9.07501212,-0.486449327,-0.467372883,0.00,-9.08,0.95,,,
2.84E-03,-3.55E-07,14.1097784,-0.756328717,-0.726668765,0.00,-14.11,1.48,,,
4.36E-03,-5.60E-07,21.6619247,-1.16114766,-1.11561245,0.00,-21.66,2.28,,,
6.36E-03,-8.48E-07,31.6071303,-1.69424224,-1.62780134,0.00,-31.61,3.32,,,
8.36E-03,-1.16E-06,41.5523438,-2.22733717,-2.13999056,0.00,-41.55,4.37,,,
1.04E-02,-1.48E-06,51.497563,-2.76043234,-2.65218002,0.00,-51.50,5.41,,,
1.24E-02,-1.83E-06,61.4427823,-3.29352752,-3.16436948,0.00,-61.44,6.46,,,
1.44E-02,-2.20E-06,71.3880016,-3.8266227,-3.67655894,0.00,-71.39,7.50,,,
1.64E-02,-2.59E-06,81.3332208,-4.35971789,-4.18874838,0.00,-81.33,8.55,,,
1.84E-02,-3.00E-06,91.2784401,-4.89281308,-4.70093782,0.00,-91.28,9.59,,,
2.04E-02,-3.43E-06,101.223659,-5.42590828,-5.21312725,0.00,-101.22,10.64,,,
2.24E-02,-3.89E-06,111.168879,-5.95900349,-5.72531667,0.00,-111.17,11.68,,,
2.44E-02,-4.36E-06,121.114098,-6.49209871,-6.23750609,0.00,-121.11,12.73,,,
2.64E-02,-4.86E-06,131.059317,-7.02519395,-6.74969548,0.00,-131.06,13.77,,,
2.84E-02,-5.39E-06,141.004537,-7.55828919,-7.26188487,-0.01,-141.00,14.82,,,
3.04E-02,-5.93E-06,150.949756,-8.09138445,-7.77407425,-0.01,-150.95,15.87,,,
3.24E-02,-6.50E-06,160.894975,-8.62447972,-8.28626361,-0.01,-160.89,16.91,,,
3.44E-02,-7.10E-06,170.840195,-9.157575,-8.79845295,-0.01,-170.84,17.96,,,
3.64E-02,-7.72E-06,180.785414,-9.6906703,-9.31064229,-0.01,-180.79,19.00,,,
3.84E-02,-8.37E-06,190.730633,-10.2237656,-9.8228316,-0.01,-190.73,20.05,,,
4.04E-02,-9.04E-06,200.675853,-10.756861,-10.3350209,-0.01,-200.68,21.09,,,
4.24E-02,-9.74E-06,210.621072,-11.2899563,-10.8472102,-0.01,-210.62,22.14,,,
4.44E-02,-1.05E-05,220.566292,-11.8230517,-11.3593994,-0.01,-220.57,23.18,,,
4.64E-02,-1.12E-05,230.511511,-12.3561471,-11.8715887,-0.01,-230.51,24.23,,,
4.84E-02,-1.20E-05,240.456731,-12.8892425,-12.3837779,-0.01,-240.46,25.27,,,
5.04E-02,-1.28E-05,250.40195,-13.422338,-12.8959671,-0.01,-250.40,26.32,,,
5.24E-02,-1.36E-05,260.347169,-13.9554334,-13.4081562,-0.01,-260.35,27.36,,,
5.44E-02,-1.45E-05,270.292389,-14.4885289,-13.9203453,-0.01,-270.29,28.41,,,
5.64E-02,-1.54E-05,280.237608,-15.0216244,-14.4325344,-0.02,-280.24,29.45,,,
5.84E-02,-1.63E-05,290.182828,-15.55472,-14.9447235,-0.02,-290.18,30.50,,,
6.04E-02,-1.73E-05,300.128047,-16.0878156,-15.4569126,-0.02,-300.13,31.54,,,
6.24E-02,-1.83E-05,310.073267,-16.6209112,-15.9691016,-0.02,-310.07,32.59,,,
6.44E-02,-1.93E-05,320.018486,-17.1540069,-16.4812906,-0.02,-320.02,33.64,,,
6.64E-02,-2.03E-05,329.963706,-17.6871025,-16.9934795,-0.02,-329.96,34.68,,,
6.84E-02,-2.14E-05,339.908926,-18.2201983,-17.5056684,-0.02,-339.91,35.73,,,
7.04E-02,-2.26E-05,349.854145,-18.753294,-18.0178573,-0.02,-349.85,36.77,,,
7.24E-02,-2.37E-05,359.799365,-19.2863898,-18.5300461,-0.02,-359.80,37.82,,,
7.44E-02,-2.49E-05,369.744584,-19.8194857,-19.0422348,-0.02,-369.74,38.86,,,
7.64E-02,-2.61E-05,379.689804,-20.3525816,-19.5544236,-0.03,-379.69,39.91,,,
7.84E-02,-2.74E-05,389.635024,-20.8856775,-20.0666123,-0.03,-389.64,40.95,,,
8.04E-02,-2.87E-05,399.580243,-21.4187735,-20.5788009,-0.03,-399.58,42.00,,,
8.24E-02,-3.00E-05,409.525463,-21.9518695,-21.0909895,-0.03,-409.53,43.04,,,
8.44E-02,-3.14E-05,419.470683,-22.4849656,-21.603178,-0.03,-419.47,44.09,,,
8.64E-02,-3.28E-05,429.415902,-23.0180617,-22.1153665,-0.03,-429.42,45.13,,,
8.84E-02,-3.42E-05,439.361122,-23.5511579,-22.627555,-0.03,-439.36,46.18,,,
9.04E-02,-3.57E-05,449.306342,-24.0842542,-23.1397434,-0.04,-449.31,47.22,,,
9.24E-02,-3.73E-05,459.251562,-24.6173505,-23.6519317,-0.04,-459.25,48.27,,,
9.44E-02,-3.88E-05,469.196781,-25.1504468,-24.1641199,-0.04,-469.20,49.31,,,
9.64E-02,-4.04E-05,479.142001,-25.6835433,-24.6763081,-0.04,-479.14,50.36,,,
9.84E-02,-4.21E-05,489.087221,-26.2166397,-25.1884962,-0.04,-489.09,51.41,,,
0.10035625,-4.38E-05,499.032441,-26.7497363,-25.7006843,-0.04,-499.03,52.45,,,
0.10235625,-4.56E-05,508.977661,-27.2828329,-26.2128723,-0.05,-508.98,53.50,,,
0.10435625,-4.73E-05,518.922881,-27.8159296,-26.7250602,-0.05,-518.92,54.54,,,
0.10635625,-4.92E-05,528.868101,-28.3490264,-27.2372481,-0.05,-528.87,55.59,,,
0.10835625,-5.11E-05,538.813321,-28.8821232,-27.7494358,-0.05,-538.81,56.63,,,
0.11035625,-5.30E-05,548.75854,-29.4152201,-28.2616235,-0.05,-548.76,57.68,,,
0.11235625,-5.50E-05,558.70376,-29.9483171,-28.7738111,-0.05,-558.70,58.72,,,
0.11435625,-5.70E-05,568.64898,-30.4814142,-29.2859987,-0.06,-568.65,59.77,,,
0.11635625,-5.91E-05,578.5942,-31.0145114,-29.7981861,-0.06,-578.59,60.81,,,
0.11835625,-6.12E-05,588.53942,-31.5476086,-30.3103734,-0.06,-588.54,61.86,,,
0.12035625,-6.34E-05,598.484641,-32.080706,-30.8225607,-0.06,-598.48,62.90,,,
0.12235625,-6.57E-05,608.429861,-32.6138034,-31.3347479,-0.07,-608.43,63.95,,,
0.12435625,-6.80E-05,618.375081,-33.146901,-31.8469349,-0.07,-618.38,64.99,,,
0.12635625,-7.03E-05,628.320301,-33.6799986,-32.3591219,-0.07,-628.32,66.04,,,
