TIME, UX_3, FX_2, FY_4, FY_5,Displacement,Reaction,Load,,,
2.00E-04,-2.35E-08,0.951056512,-0.157598667,-0.151418327,0.00,-0.95,0.31,,,
4.00E-04,-4.85E-08,1.90211303,-0.315197332,-0.302836653,0.00,-1.90,0.62,,,
7.00E-04,-8.92E-08,3.32869776,-0.551595328,-0.529964138,0.00,-3.33,1.08,,,
1.15E-03,-1.57E-07,5.46857474,-0.906192299,-0.870655343,0.00,-5.47,1.78,,,
1.83E-03,-2.75E-07,8.67838932,-1.43808763,-1.38169203,0.00,-8.68,2.82,,,
2.84E-03,-4.86E-07,13.4931065,-2.23592999,-2.14824641,0.00,-13.49,4.38,,,
4.36E-03,-8.83E-07,20.7151569,-3.43269013,-3.2980746,0.00,-20.72,6.73,,,
6.36E-03,-1.55E-06,30.2256152,-5.00866253,-4.81224366,0.00,-30.23,9.82,,,
8.36E-03,-2.40E-06,39.7361361,-6.5846433,-6.32642081,0.00,-39.74,12.91,,,
1.04E-02,-3.41E-06,49.2467041,-8.16063028,-7.84060391,0.00,-49.25,16.00,,,
1.24E-02,-4.60E-06,58.7572724,-9.73661739,-9.35478692,0.00,-58.76,19.09,,,
1.44E-02,-5.98E-06,68.2678405,-11.3126046,-10.8689698,-0.01,-68.27,22.18,,,
1.64E-02,-7.53E-06,77.7784086,-12.888592,-12.3831525,-0.01,-77.78,25.27,,,
1.84E-02,-9.27E-06,87.2889768,-14.4645795,-13.897335,-0.01,-87.29,28.36,,,
2.04E-02,-1.12E-05,96.799545,-16.0405673,-15.4115173,-0.01,-96.80,31.45,,,
2.24E-02,-1.33E-05,106.310113,-17.6165553,-16.9256994,-0.01,-106.31,34.54,,,
2.44E-02,-1.56E-05,115.820682,-19.1925435,-18.4398812,-0.02,-115.82,37.63,,,
2.64E-02,-1.82E-05,125.33125,-20.768532,-19.9540628,-0.02,-125.33,40.72,,,
2.84E-02,-2.09E-05,134.841819,-22.3445208,-21.468244,-0.02,-134.84,43.81,,,
3.04E-02,-2.38E-05,144.352388,-23.9205099,-22.982425,-0.02,-144.35,46.90,,,
3.24E-02,-2.69E-05,153.862956,-25.4964994,-24.4966055,-0.03,-153.86,49.99,,,
3.44E-02,-3.03E-05,163.373525,-27.0724893,-26.0107857,-0.03,-163.37,53.08,,,
3.64E-02,-3.38E-05,172.884094,-28.6484796,-27.5249655,-0.03,-172.88,56.17,,,
3.84E-02,-3.76E-05,182.394663,-30.2244703,-29.0391448,-0.04,-182.39,59.26,,,
4.04E-02,-4.16E-05,191.905232,-31.8004615,-30.5533237,-0.04,-191.91,62.35,,,
4.24E-02,-4.58E-05,201.415802,-33.3764532,-32.067502,-0.05,-201.42,65.44,,,
4.44E-02,-5.03E-05,210.926371,-34.9524454,-33.5816799,-0.05,-210.93,68.53,,,
4.64E-02,-5.50E-05,220.43694,-36.5284382,-35.0958572,-0.05,-220.44,71.62,,,
4.84E-02,-5.99E-05,229.94751,-38.1044316,-36.6100338,-0.06,-229.95,74.71,,,
5.04E-02,-6.51E-05,239.45808,-39.6804256,-38.1242098,-0.07,-239.46,77.80,,,
5.24E-02,-7.05E-05,248.968649,-41.2564202,-39.6383852,-0.07,-248.97,80.89,,,
5.44E-02,-7.62E-05,258.479219,-42.8324156,-41.1525599,-0.08,-258.48,83.98,,,
5.64E-02,-8.21E-05,267.989789,-44.4084116,-42.6667339,-0.08,-267.99,87.08,,,
5.84E-02,-8.83E-05,277.500359,-45.9844084,-44.1809071,-0.09,-277.50,90.17,,,
6.04E-02,-9.47E-05,287.01093,-47.560406,-45.6950795,-0.09,-287.01,93.26,,,
6.24E-02,-1.01E-04,296.5215,-49.1364045,-47.2092511,-0.10,-296.52,96.35,,,
6.44E-02,-1.08E-04,306.03207,-50.7124038,-48.7234218,-0.11,-306.03,99.44,,,
6.64E-02,-1.16E-04,315.542641,-52.288404,-50.2375916,-0.12,-315.54,102.53,,,
6.84E-02,-1.23E-04,325.053212,-53.8644051,-51.7517605,-0.12,-325.05,105.62,,,
7.04E-02,-1.31E-04,334.563783,-55.4404073,-53.2659283,-0.13,-334.56,108.71,,,
7.24E-02,-1.39E-04,344.074353,-57.0164104,-54.7800952,-0.14,-344.07,111.80,,,
7.44E-02,-1.48E-04,353.584925,-58.5924146,-56.2942609,-0.15,-353.58,114.89,,,
7.64E-02,-1.56E-04,363.095496,-60.1684199,-57.8084256,-0.16,-363.10,117.98,,,
7.84E-02,-1.65E-04,372.606067,-61.7444264,-59.3225891,-0.17,-372.61,121.07,,,
8.04E-02,-1.75E-04,382.116639,-63.320434,-60.8367514,-0.17,-382.12,124.16,,,
8.24E-02,-1.84E-04,391.62721,-64.8964429,-62.3509125,-0.18,-391.63,127.25,,,
8.44E-02,-1.94E-04,401.137782,-66.4724531,-63.8650722,-0.19,-401.14,130.34,,,
8.64E-02,-2.04E-04,410.648354,-68.0484645,-65.3792306,-0.20,-410.65,133.43,,,
8.84E-02,-2.15E-04,420.158926,-69.6244774,-66.8933877,-0.22,-420.16,136.52,,,
9.04E-02,-2.26E-04,429.669498,-71.2004917,-68.4075433,-0.23,-429.67,139.61,,,
9.24E-02,-2.37E-04,439.180071,-72.7765074,-69.9216975,-0.24,-439.18,142.70,,,
9.44E-02,-2.49E-04,448.690643,-74.3525246,-71.4358501,-0.25,-448.69,145.79,,,
9.64E-02,-2.61E-04,458.201216,-75.9285435,-72.9500011,-0.26,-458.20,148.88,,,
9.84E-02,-2.73E-04,467.711789,-77.5045639,-74.4641504,-0.27,-467.71,151.97,,,
0.10035625,-2.86E-04,477.222362,-79.080586,-75.9782982,-0.29,-477.22,155.06,,,
0.10235625,-2.99E-04,486.732935,-80.6566099,-77.4924441,-0.30,-486.73,158.15,,,
0.10435625,-3.13E-04,496.243509,-82.2326355,-79.0065883,-0.31,-496.24,161.24,,,
0.10635625,-3.27E-04,505.754082,-83.8086629,-80.5207307,-0.33,-505.75,164.33,,,
0.10835625,-3.41E-04,515.264656,-85.3846923,-82.034871,-0.34,-515.26,167.42,,,
