TIME, UX_5, FY_4, FY_5, FX_3,Displacement,Load,Reaction,,,
2.00E-04,-1.09E-08,-0.507206165,-0.487315726,0.104528446,0.00,0.99,-0.10,,,
4.00E-04,-3.86E-08,-1.01441236,-0.974631478,0.209056897,0.00,1.99,-0.21,,,
7.00E-04,-1.12E-07,-1.77522166,-1.70560511,0.365849579,0.00,3.48,-0.37,,,
1.15E-03,-2.92E-07,-2.9164357,-2.80206561,0.601038392,0.00,5.72,-0.60,,,
1.83E-03,-7.23E-07,-4.62825687,-4.44675638,0.953820635,0.00,9.08,-0.95,,,
2.84E-03,-1.73E-06,-7.19598825,-6.91379177,1.48298864,0.00,14.11,-1.48,,,
4.36E-03,-4.05E-06,-11.04758,-10.6143384,2.27671208,0.00,21.66,-2.28,,,
6.36E-03,-8.59E-06,-16.1196207,-15.4874689,3.32187783,-0.01,31.61,-3.32,,,
8.36E-03,-1.48E-05,-21.1916873,-20.3606208,4.36711612,-0.01,41.55,-4.37,,,
1.04E-02,-2.27E-05,-26.2637742,-25.2337874,5.41240711,-0.02,51.50,-5.41,,,
1.24E-02,-3.24E-05,-31.335865,-30.1069511,6.45769832,-0.03,61.44,-6.46,,,
1.44E-02,-4.37E-05,-36.4079595,-34.9801101,7.50298916,-0.04,71.39,-7.50,,,
1.64E-02,-5.67E-05,-41.4800588,-39.8532642,8.54827994,-0.06,81.33,-8.55,,,
1.84E-02,-7.14E-05,-46.5521636,-44.7264128,9.59357068,-0.07,91.28,-9.59,,,
2.04E-02,-8.78E-05,-51.6242747,-49.5995552,10.6388614,-0.09,101.22,-10.64,,,
2.24E-02,-1.06E-04,-56.6963926,-54.4726908,11.684152,-0.11,111.17,-11.68,,,
2.44E-02,-1.26E-04,-61.7685182,-59.3458189,12.7294427,-0.13,121.11,-12.73,,,
2.64E-02,-1.47E-04,-66.8406521,-64.2189388,13.7747333,-0.15,131.06,-13.77,,,
2.84E-02,-1.71E-04,-71.9127949,-69.0920498,14.8200238,-0.17,141.00,-14.82,,,
3.04E-02,-1.96E-04,-76.9849474,-73.9651511,15.8653143,-0.20,150.95,-15.87,,,
3.24E-02,-2.22E-04,-82.0571102,-78.8382422,16.9106048,-0.22,160.90,-16.91,,,
3.44E-02,-2.51E-04,-87.1292841,-83.7113223,17.9558952,-0.25,170.84,-17.96,,,
3.64E-02,-2.81E-04,-92.2014697,-88.5843907,19.0011855,-0.28,180.79,-19.00,,,
3.84E-02,-3.13E-04,-97.2736677,-93.4574468,20.0464758,-0.31,190.73,-20.05,,,
4.04E-02,-3.47E-04,-102.345879,-98.3304899,21.0917661,-0.35,200.68,-21.09,,,
4.24E-02,-3.82E-04,-107.418104,-103.203519,22.1370563,-0.38,210.62,-22.14,,,
4.44E-02,-4.19E-04,-112.490343,-108.076534,23.1823465,-0.42,220.57,-23.18,,,
4.64E-02,-4.58E-04,-117.562598,-112.949534,24.2276366,-0.46,230.51,-24.23,,,
4.84E-02,-4.99E-04,-122.634868,-117.822518,25.2729267,-0.50,240.46,-25.27,,,
5.04E-02,-5.41E-04,-127.707155,-122.695485,26.3182167,-0.54,250.40,-26.32,,,
5.24E-02,-5.85E-04,-132.77946,-127.568435,27.3635067,-0.58,260.35,-27.36,,,
5.44E-02,-6.31E-04,-137.851782,-132.441367,28.4087967,-0.63,270.29,-28.41,,,
5.64E-02,-6.78E-04,-142.924123,-137.314281,29.4540866,-0.68,280.24,-29.45,,,
5.84E-02,-7.28E-04,-147.996484,-142.187175,30.4993764,-0.73,290.18,-30.50,,,
6.04E-02,-7.79E-04,-153.068864,-147.060049,31.5446662,-0.78,300.13,-31.54,,,
6.24E-02,-8.31E-04,-158.141265,-151.932902,32.5899559,-0.83,310.07,-32.59,,,
6.44E-02,-8.86E-04,-163.213688,-156.805734,33.6352456,-0.89,320.02,-33.64,,,
6.64E-02,-9.42E-04,-168.286133,-161.678544,34.6805352,-0.94,329.96,-34.68,,,
6.84E-02,-1.00E-03,-173.358601,-166.551331,35.7258247,-1.00,339.91,-35.73,,,
7.04E-02,-1.06E-03,-178.431093,-171.424094,36.7711099,-1.06,349.86,-36.77,,,
7.24E-02,-1.12E-03,-183.50361,-176.296833,37.8163949,-1.12,359.80,-37.82,,,
7.44E-02,-1.19E-03,-188.576151,-181.169548,38.8616802,-1.19,369.75,-38.86,,,
7.64E-02,-1.25E-03,-193.648718,-186.042236,39.9069655,-1.25,379.69,-39.91,,,
7.84E-02,-1.32E-03,-198.721312,-190.914898,40.9522509,-1.32,389.64,-40.95,,,
8.04E-02,-1.39E-03,-203.793933,-195.787533,41.9975365,-1.39,399.58,-42.00,,,
8.24E-02,-1.46E-03,-208.866582,-200.66014,43.0428222,-1.46,409.53,-43.04,,,
8.44E-02,-1.53E-03,-213.939259,-205.532718,44.0881082,-1.53,419.47,-44.09,,,
8.64E-02,-1.60E-03,-219.011966,-210.405267,45.1333941,-1.60,429.42,-45.13,,,
8.84E-02,-1.68E-03,-224.084702,-215.277786,46.1786802,-1.68,439.36,-46.18,,,
9.04E-02,-1.76E-03,-229.15747,-220.150275,47.2239665,-1.76,449.31,-47.22,,,
9.24E-02,-1.83E-03,-234.230269,-225.022731,48.2692527,-1.83,459.25,-48.27,,,
9.44E-02,-1.92E-03,-239.3031,-229.895156,49.3145392,-1.92,469.20,-49.31,,,
9.64E-02,-2.00E-03,-244.375964,-234.767548,50.359826,-2.00,479.14,-50.36,,,
9.84E-02,-2.08E-03,-249.448862,-239.639906,51.4051127,-2.08,489.09,-51.41,,,
0.10035625,-2.17E-03,-254.521795,-244.51223,52.4503994,-2.17,499.03,-52.45,,,
0.10235625,-2.26E-03,-259.594762,-249.384518,53.4956865,-2.26,508.98,-53.50,,,
0.10435625,-2.35E-03,-264.667765,-254.256771,54.5409736,-2.35,518.92,-54.54,,,
0.10635625,-2.44E-03,-269.740805,-259.128988,55.5862609,-2.44,528.87,-55.59,,,
0.10835625,-2.53E-03,-274.813881,-264.001167,56.6315483,-2.53,538.82,-56.63,,,
0.11035625,-2.63E-03,-279.886996,-268.873308,57.6768357,-2.63,548.76,-57.68,,,
0.11235625,-2.73E-03,-284.96015,-273.74541,58.7221233,-2.73,558.71,-58.72,,,
0.11435625,-2.82E-03,-290.033343,-278.617473,59.7674111,-2.82,568.65,-59.77,,,
0.11635625,-2.92E-03,-295.106576,-283.489496,60.8126989,-2.92,578.60,-60.81,,,
0.11835625,-3.03E-03,-300.17985,-288.361478,61.857987,-3.03,588.54,-61.86,,,
0.12035625,-3.13E-03,-305.253166,-293.233418,62.903275,-3.13,598.49,-62.90,,,
0.12235625,-3.24E-03,-310.326524,-298.105316,63.9485634,-3.24,608.43,-63.95,,,
0.12435625,-3.34E-03,-315.399925,-302.977171,64.9938518,-3.34,618.38,-64.99,,,
0.12635625,-3.45E-03,-320.473369,-307.848982,66.0391403,-3.45,628.32,-66.04,,,
