TIME, UX_2, UY_3,Displacement,Deflection, FY_5, FY_6,Load
0.862825,7.99E-03,7.86E-02,7.99,78.60,-136043.995,-130583.592,266627.587
0.863825,8.01E-03,7.86E-02,8.01,78.60,-136201.669,-130734.935,266936.604
0.864825,8.03E-03,7.86E-02,8.03,78.61,-136359.343,-130886.278,267245.621
0.865825,8.06E-03,7.86E-02,8.06,78.61,-136517.017,-131037.621,267554.638
0.866825,8.08E-03,7.86E-02,8.08,78.61,-136674.691,-131188.963,267863.654
0.867825,8.10E-03,7.86E-02,8.10,78.62,-136832.365,-131340.306,268172.671
0.868825,8.13E-03,7.86E-02,8.13,78.62,-136990.04,-131491.649,268481.689
0.869825,8.15E-03,7.86E-02,8.15,78.63,-137147.714,-131642.992,268790.706
0.870825,8.17E-03,7.86E-02,8.17,78.63,-137305.388,-131794.335,269099.723
0.871825,8.20E-03,7.86E-02,8.20,78.63,-137463.062,-131945.678,269408.74
0.872825,8.22E-03,7.86E-02,8.22,78.64,-137620.736,-132097.021,269717.757
0.873825,8.25E-03,7.86E-02,8.25,78.64,-137778.41,-132248.364,270026.774
0.874825,8.27E-03,7.86E-02,8.27,78.65,-137936.084,-132399.707,270335.791
0.875825,8.29E-03,7.86E-02,8.29,78.65,-138093.758,-132551.05,270644.808
0.876825,8.32E-03,7.87E-02,8.32,78.65,-138251.432,-132702.393,270953.825
0.877825,8.34E-03,7.87E-02,8.34,78.66,-138409.106,-132853.736,271262.842
0.878825,8.36E-03,7.87E-02,8.36,78.66,-138566.78,-133005.079,271571.859
0.879825,8.39E-03,7.87E-02,8.39,78.67,-138724.454,-133156.422,271880.876
0.880825,8.41E-03,7.87E-02,8.41,78.67,-138882.128,-133307.765,272189.893
0.881825,8.43E-03,7.87E-02,8.43,78.67,-139039.802,-133459.108,272498.91
0.882825,8.46E-03,7.87E-02,8.46,78.68,-139197.476,-133610.451,272807.927
0.883825,8.48E-03,7.87E-02,8.48,78.68,-139355.15,-133761.794,273116.944
0.884825,8.51E-03,7.87E-02,8.51,78.68,-139512.824,-133913.136,273425.96
0.885825,8.53E-03,7.87E-02,8.53,78.69,-139670.498,-134064.479,273734.977
0.886825,8.55E-03,7.87E-02,8.55,78.69,-139828.172,-134215.822,274043.994
0.887825,8.58E-03,7.87E-02,8.58,78.70,-139985.846,-134367.165,274353.011
0.888825,8.60E-03,7.87E-02,8.60,78.70,-140143.52,-134518.508,274662.028
0.889825,8.62E-03,7.87E-02,8.62,78.70,-140301.194,-134669.851,274971.045
0.890825,8.65E-03,7.87E-02,8.65,78.71,-140458.868,-134821.194,275280.062
0.891825,8.67E-03,7.87E-02,8.67,78.71,-140616.542,-134972.537,275589.079
0.892825,8.69E-03,7.87E-02,8.69,78.71,-140774.216,-135123.88,275898.096
0.893825,8.72E-03,7.87E-02,8.72,78.72,-140931.89,-135275.223,276207.113
0.894825,8.74E-03,7.87E-02,8.74,78.72,-141089.564,-135426.566,276516.13
0.895825,8.77E-03,7.87E-02,8.77,78.73,-141247.238,-135577.909,276825.147
0.896825,8.79E-03,7.87E-02,8.79,78.73,-141404.912,-135729.252,277134.164
0.897825,8.81E-03,7.87E-02,8.81,78.73,-141562.586,-135880.595,277443.181
0.898825,8.84E-03,7.87E-02,8.84,78.74,-141720.26,-136031.938,277752.198
0.899825,8.86E-03,7.87E-02,8.86,78.74,-141877.934,-136183.281,278061.215
0.900825,8.88E-03,7.87E-02,8.88,78.75,-142035.608,-136334.624,278370.232
0.901825,8.91E-03,7.87E-02,8.91,78.75,-142193.282,-136485.967,278679.249
0.902825,8.93E-03,7.88E-02,8.93,78.75,-142350.956,-136637.31,278988.266
0.903825,8.96E-03,7.88E-02,8.96,78.76,-142508.63,-136788.653,279297.283
0.904825,8.98E-03,7.88E-02,8.98,78.76,-142666.304,-136939.996,279606.3
0.905825,9.00E-03,7.88E-02,9.00,78.76,-142823.978,-137091.339,279915.317
0.906825,9.03E-03,7.88E-02,9.03,78.77,-142981.652,-137242.682,280224.334
0.907825,9.05E-03,7.88E-02,9.05,78.77,-143139.326,-137394.025,280533.351
0.908825,9.07E-03,7.88E-02,9.07,78.78,-143297,-137545.368,280842.368
0.909825,9.10E-03,7.88E-02,9.10,78.78,-143454.674,-137696.711,281151.385
0.910825,9.12E-03,7.88E-02,9.12,78.78,-143612.348,-137848.054,281460.402
0.911825,9.14E-03,7.88E-02,9.14,78.79,-143770.022,-137999.397,281769.419
0.912825,9.17E-03,7.88E-02,9.17,78.79,-143927.696,-138150.74,282078.436
0.913825,9.19E-03,7.88E-02,9.19,78.79,-144085.37,-138302.084,282387.454
0.914825,9.22E-03,7.88E-02,9.22,78.80,-144243.044,-138453.427,282696.471
0.915825,9.24E-03,7.88E-02,9.24,78.80,-144400.718,-138604.77,283005.488
0.916825,9.26E-03,7.88E-02,9.26,78.81,-144558.392,-138756.113,283314.505
0.917825,9.29E-03,7.88E-02,9.29,78.81,-144716.066,-138907.456,283623.522
0.918825,9.31E-03,7.88E-02,9.31,78.81,-144873.74,-139058.799,283932.539
0.919825,9.33E-03,7.88E-02,9.33,78.82,-145031.414,-139210.142,284241.556
0.920825,9.36E-03,7.88E-02,9.36,78.82,-145189.088,-139361.485,284550.573
0.921825,9.38E-03,7.88E-02,9.38,78.82,-145346.762,-139512.828,284859.59
0.922825,9.41E-03,7.88E-02,9.41,78.83,-145504.436,-139664.171,285168.607
0.923825,9.43E-03,7.88E-02,9.43,78.83,-145662.109,-139815.514,285477.623
0.924825,9.45E-03,7.88E-02,9.45,78.84,-145819.783,-139966.857,285786.64
0.925825,9.48E-03,7.88E-02,9.48,78.84,-145977.457,-140118.2,286095.657
0.926825,9.50E-03,7.88E-02,9.50,78.84,-146135.131,-140269.543,286404.674
0.927825,9.52E-03,7.88E-02,9.52,78.85,-146292.805,-140420.886,286713.691
0.928825,9.55E-03,7.89E-02,9.55,78.85,-146450.479,-140572.229,287022.708
0.929825,9.57E-03,7.89E-02,9.57,78.85,-146608.153,-140723.572,287331.725
0.930825,9.60E-03,7.89E-02,9.60,78.86,-146765.827,-140874.916,287640.743
0.931825,9.62E-03,7.89E-02,9.62,78.86,-146923.501,-141026.259,287949.76
0.932825,9.64E-03,7.89E-02,9.64,78.87,-147081.175,-141177.602,288258.777
0.933825,9.67E-03,7.89E-02,9.67,78.87,-147238.849,-141328.945,288567.794
0.934825,9.69E-03,7.89E-02,9.69,78.87,-147396.523,-141480.288,288876.811
0.935825,9.71E-03,7.89E-02,9.71,78.88,-147554.196,-141631.631,289185.827
0.936825,9.74E-03,7.89E-02,9.74,78.88,-147711.87,-141782.974,289494.844
0.937825,9.76E-03,7.89E-02,9.76,78.88,-147869.544,-141934.317,289803.861
0.938825,9.79E-03,7.89E-02,9.79,78.89,-148027.218,-142085.66,290112.878
0.939825,9.81E-03,7.89E-02,9.81,78.89,-148184.892,-142237.003,290421.895
0.940825,9.83E-03,7.89E-02,9.83,78.89,-148342.566,-142388.346,290730.912
0.941825,9.86E-03,7.89E-02,9.86,78.90,-148500.24,-142539.69,291039.93
0.942825,9.88E-03,7.89E-02,9.88,78.90,-148657.914,-142691.033,291348.947
0.943825,9.90E-03,7.89E-02,9.90,78.91,-148815.588,-142842.376,291657.964
0.944825,9.93E-03,7.89E-02,9.93,78.91,-148973.261,-142993.719,291966.98
0.945825,9.95E-03,7.89E-02,9.95,78.91,-149130.935,-143145.062,292275.997
0.946825,9.98E-03,7.89E-02,9.98,78.92,-149288.609,-143296.405,292585.014
0.947825,1.00E-02,7.89E-02,10.00,78.92,-149446.283,-143447.748,292894.031
0.948825,1.00E-02,7.89E-02,10.02,78.92,-149603.957,-143599.091,293203.048
0.949825,1.00E-02,7.89E-02,10.05,78.93,-149761.631,-143750.435,293512.066
0.950825,1.01E-02,7.89E-02,10.07,78.93,-149919.305,-143901.778,293821.083
0.951825,1.01E-02,7.89E-02,10.10,78.94,-150076.978,-144053.121,294130.099
0.952825,1.01E-02,7.89E-02,10.12,78.94,-150234.652,-144204.464,294439.116
0.953825,1.01E-02,7.89E-02,10.14,78.94,-150392.326,-144355.807,294748.133
0.954825,1.02E-02,7.89E-02,10.17,78.95,-150550,-144507.15,295057.15
0.955825,1.02E-02,7.89E-02,10.19,78.95,-150707.674,-144658.493,295366.167
0.956825,1.02E-02,7.90E-02,10.21,78.95,-150865.348,-144809.837,295675.185
0.957825,1.02E-02,7.90E-02,10.24,78.96,-151023.022,-144961.18,295984.202
0.958825,1.03E-02,7.90E-02,10.26,78.96,-151180.695,-145112.523,296293.218
0.959825,1.03E-02,7.90E-02,10.29,78.96,-151338.369,-145263.866,296602.235
0.960825,1.03E-02,7.90E-02,10.31,78.97,-151496.043,-145415.209,296911.252
0.961825,1.03E-02,7.90E-02,10.33,78.97,-151653.717,-145566.552,297220.269
0.962825,1.04E-02,7.90E-02,10.36,78.98,-151811.391,-145717.896,297529.287
0.963825,1.04E-02,7.90E-02,10.38,78.98,-151969.065,-145869.239,297838.304
0.964825,1.04E-02,7.90E-02,10.41,78.98,-152126.738,-146020.582,298147.32
0.965825,1.04E-02,7.90E-02,10.43,78.99,-152284.412,-146171.925,298456.337
0.966825,1.05E-02,7.90E-02,10.45,78.99,-152442.086,-146323.268,298765.354
0.967825,1.05E-02,7.90E-02,10.48,78.99,-152599.76,-146474.611,299074.371
0.968825,1.05E-02,7.90E-02,10.50,79.00,-152757.434,-146625.955,299383.389
0.969825,1.05E-02,7.90E-02,10.52,79.00,-152915.107,-146777.298,299692.405
0.970825,1.05E-02,7.90E-02,10.55,79.00,-153072.781,-146928.641,300001.422
0.971825,1.06E-02,7.90E-02,10.57,79.01,-153230.455,-147079.984,300310.439
0.972825,1.06E-02,7.90E-02,10.60,79.01,-153388.129,-147231.327,300619.456
0.973825,1.06E-02,7.90E-02,10.62,79.02,-153545.803,-147382.671,300928.474
0.974825,1.06E-02,7.90E-02,10.64,79.02,-153703.476,-147534.014,301237.49
0.975825,1.07E-02,7.90E-02,10.67,79.02,-153861.15,-147685.357,301546.507
0.976825,1.07E-02,7.90E-02,10.69,79.03,-154018.824,-147836.7,301855.524
0.977825,1.07E-02,7.90E-02,10.72,79.03,-154176.498,-147988.043,302164.541
0.978825,1.07E-02,7.90E-02,10.74,79.03,-154334.172,-148139.387,302473.559
0.979825,1.08E-02,7.90E-02,10.76,79.04,-154491.845,-148290.73,302782.575
0.980825,1.08E-02,7.90E-02,10.79,79.04,-154649.519,-148442.073,303091.592
0.981825,1.08E-02,7.90E-02,10.81,79.04,-154807.193,-148593.416,303400.609
0.982825,1.08E-02,7.90E-02,10.83,79.05,-154964.867,-148744.759,303709.626
0.983825,1.09E-02,7.91E-02,10.86,79.05,-155122.54,-148896.103,304018.643
0.984825,1.09E-02,7.91E-02,10.88,79.05,-155280.214,-149047.446,304327.66
0.985825,1.09E-02,7.91E-02,10.91,79.06,-155437.888,-149198.789,304636.677
0.986825,1.09E-02,7.91E-02,10.93,79.06,-155595.562,-149350.132,304945.694
0.987825,1.10E-02,7.91E-02,10.95,79.07,-155753.235,-149501.476,305254.711
0.988825,1.10E-02,7.91E-02,10.98,79.07,-155910.909,-149652.819,305563.728
0.989825,1.10E-02,7.91E-02,11.00,79.07,-156068.583,-149804.162,305872.745
0.990825,1.10E-02,7.91E-02,11.03,79.08,-156226.257,-149955.505,306181.762
0.991825,1.10E-02,7.91E-02,11.05,79.08,-156383.93,-150106.849,306490.779
0.992825,1.11E-02,7.91E-02,11.07,79.08,-156541.604,-150258.192,306799.796
0.993825,1.11E-02,7.91E-02,11.10,79.09,-156699.278,-150409.535,307108.813
0.994825,1.11E-02,7.91E-02,11.12,79.09,-156856.952,-150560.878,307417.83
0.995825,1.11E-02,7.91E-02,11.15,79.09,-157014.625,-150712.222,307726.847
0.996825,1.12E-02,7.91E-02,11.17,79.10,-157172.299,-150863.565,308035.864
0.997825,1.12E-02,7.91E-02,11.19,79.10,-157329.973,-151014.908,308344.881
0.998825,1.12E-02,7.91E-02,11.22,79.10,-157487.647,-151166.251,308653.898
0.9994125,1.12E-02,7.91E-02,11.23,79.11,-157580.28,-151255.166,308835.446
1,1.12E-02,7.91E-02,11.25,79.11,-157672.914,-151344.08,309016.994
