TIME, UX_2, UY_3, FY_5, FY_6, FX_4,Displacement,Deflection,Load,Reaction,,,
0.436825,2.80E-02,8.61E-02,-290274.327,-278590.876,-1652104.51,27.98,86.10,568865.20,1652104.51,,,
0.437825,2.81E-02,8.61E-02,-290938.829,-279228.647,-1655886.58,28.09,86.11,570167.48,1655886.58,,,
0.438825,2.82E-02,8.61E-02,-291603.33,-279866.418,-1659668.65,28.19,86.13,571469.75,1659668.65,,,
0.439825,2.83E-02,8.61E-02,-292267.832,-280504.189,-1663450.73,28.29,86.14,572772.02,1663450.73,,,
0.440825,2.84E-02,8.61E-02,-292932.333,-281141.96,-1667232.8,28.39,86.15,574074.29,1667232.80,,,
0.441825,2.85E-02,8.62E-02,-293596.834,-281779.732,-1671014.88,28.49,86.16,575376.57,1671014.88,,,
0.442825,2.86E-02,8.62E-02,-294261.335,-282417.503,-1674796.95,28.59,86.17,576678.84,1674796.95,,,
0.443825,2.87E-02,8.62E-02,-294925.836,-283055.274,-1678579.02,28.69,86.18,577981.11,1678579.02,,,
0.444825,2.88E-02,8.62E-02,-295590.337,-283693.046,-1682361.1,28.80,86.20,579283.38,1682361.10,,,
0.445825,2.89E-02,8.62E-02,-296254.838,-284330.818,-1686143.17,28.90,86.21,580585.66,1686143.17,,,
0.446825,2.90E-02,8.62E-02,-296919.339,-284968.589,-1689925.25,29.00,86.22,581887.93,1689925.25,,,
0.447825,2.91E-02,8.62E-02,-297583.84,-285606.361,-1693707.32,29.10,86.23,583190.20,1693707.32,,,
0.448825,2.92E-02,8.62E-02,-298248.34,-286244.133,-1697489.4,29.20,86.24,584492.47,1697489.40,,,
0.449825,2.93E-02,8.63E-02,-298912.841,-286881.905,-1701271.47,29.30,86.25,585794.75,1701271.47,,,
0.450825,2.94E-02,8.63E-02,-299577.341,-287519.677,-1705053.54,29.41,86.27,587097.02,1705053.54,,,
0.451825,2.95E-02,8.63E-02,-300241.842,-288157.449,-1708835.62,29.51,86.28,588399.29,1708835.62,,,
0.452825,2.96E-02,8.63E-02,-300906.342,-288795.221,-1712617.69,29.61,86.29,589701.56,1712617.69,,,
0.453825,2.97E-02,8.63E-02,-301570.842,-289432.994,-1716399.77,29.71,86.30,591003.84,1716399.77,,,
0.454825,2.98E-02,8.63E-02,-302235.343,-290070.766,-1720181.84,29.81,86.31,592306.11,1720181.84,,,
0.455825,2.99E-02,8.63E-02,-302899.843,-290708.538,-1723963.91,29.92,86.32,593608.38,1723963.91,,,
0.456825,3.00E-02,8.63E-02,-303564.343,-291346.311,-1727745.99,30.02,86.34,594910.65,1727745.99,,,
0.457825,3.01E-02,8.63E-02,-304228.843,-291984.084,-1731528.06,30.12,86.35,596212.93,1731528.06,,,
0.458825,3.02E-02,8.64E-02,-304893.342,-292621.856,-1735310.14,30.22,86.36,597515.20,1735310.14,,,
0.459825,3.03E-02,8.64E-02,-305557.842,-293259.629,-1739092.21,30.32,86.37,598817.47,1739092.21,,,
0.460825,3.04E-02,8.64E-02,-306222.342,-293897.402,-1742874.28,30.43,86.38,600119.74,1742874.28,,,
0.461825,3.05E-02,8.64E-02,-306886.841,-294535.175,-1746656.36,30.53,86.39,601422.02,1746656.36,,,
0.462825,3.06E-02,8.64E-02,-307551.341,-295172.948,-1750438.43,30.63,86.41,602724.29,1750438.43,,,
0.463825,3.07E-02,8.64E-02,-308215.84,-295810.721,-1754220.51,30.73,86.42,604026.56,1754220.51,,,
0.464825,3.08E-02,8.64E-02,-308880.34,-296448.494,-1758002.58,30.84,86.43,605328.83,1758002.58,,,
0.465825,3.09E-02,8.64E-02,-309544.839,-297086.267,-1761784.65,30.94,86.44,606631.11,1761784.65,,,
0.466825,3.10E-02,8.65E-02,-310209.338,-297724.041,-1765566.73,31.04,86.45,607933.38,1765566.73,,,
0.467825,3.11E-02,8.65E-02,-310873.837,-298361.814,-1769348.8,31.14,86.46,609235.65,1769348.80,,,
0.468825,3.12E-02,8.65E-02,-311538.336,-298999.588,-1773130.88,31.24,86.47,610537.92,1773130.88,,,
0.469825,3.13E-02,8.65E-02,-312202.835,-299637.361,-1776912.95,31.35,86.49,611840.20,1776912.95,,,
0.470825,3.14E-02,8.65E-02,-312867.334,-300275.135,-1780695.02,31.45,86.50,613142.47,1780695.02,,,
0.471825,3.16E-02,8.65E-02,-313531.833,-300912.909,-1784477.1,31.55,86.51,614444.74,1784477.10,,,
0.472825,3.17E-02,8.65E-02,-314196.332,-301550.682,-1788259.17,31.65,86.52,615747.01,1788259.17,,,
0.473825,3.18E-02,8.65E-02,-314860.83,-302188.456,-1792041.25,31.76,86.53,617049.29,1792041.25,,,
0.474825,3.19E-02,8.65E-02,-315525.329,-302826.23,-1795823.32,31.86,86.54,618351.56,1795823.32,,,
0.475825,3.20E-02,8.66E-02,-316189.827,-303464.004,-1799605.39,31.96,86.55,619653.83,1799605.39,,,
0.476825,3.21E-02,8.66E-02,-316854.325,-304101.779,-1803387.47,32.07,86.57,620956.10,1803387.47,,,
0.477825,3.22E-02,8.66E-02,-317518.824,-304739.553,-1807169.54,32.17,86.58,622258.38,1807169.54,,,
0.478825,3.23E-02,8.66E-02,-318183.322,-305377.327,-1810951.62,32.27,86.59,623560.65,1810951.62,,,
0.479825,3.24E-02,8.66E-02,-318847.82,-306015.102,-1814733.69,32.37,86.60,624862.92,1814733.69,,,
0.480825,3.25E-02,8.66E-02,-319512.318,-306652.876,-1818515.76,32.48,86.61,626165.19,1818515.76,,,
0.481825,3.26E-02,8.66E-02,-320176.816,-307290.651,-1822297.84,32.58,86.62,627467.47,1822297.84,,,
0.482825,3.27E-02,8.66E-02,-320841.314,-307928.425,-1826079.91,32.68,86.64,628769.74,1826079.91,,,
0.483825,3.28E-02,8.66E-02,-321505.812,-308566.2,-1829861.99,32.78,86.65,630072.01,1829861.99,,,
0.484825,3.29E-02,8.67E-02,-322170.309,-309203.975,-1833644.06,32.89,86.66,631374.28,1833644.06,,,
0.485825,3.30E-02,8.67E-02,-322834.807,-309841.75,-1837426.13,32.99,86.67,632676.56,1837426.13,,,
0.486825,3.31E-02,8.67E-02,-323499.305,-310479.525,-1841208.21,33.09,86.68,633978.83,1841208.21,,,
0.487825,3.32E-02,8.67E-02,-324163.802,-311117.3,-1844990.28,33.20,86.69,635281.10,1844990.28,,,
0.488825,3.33E-02,8.67E-02,-324828.299,-311755.075,-1848772.36,33.30,86.70,636583.37,1848772.36,,,
0.489825,3.34E-02,8.67E-02,-325492.797,-312392.85,-1852554.43,33.40,86.72,637885.65,1852554.43,,,
0.490825,3.35E-02,8.67E-02,-326157.294,-313030.626,-1856336.5,33.51,86.73,639187.92,1856336.50,,,
0.491825,3.36E-02,8.67E-02,-326821.791,-313668.401,-1860118.58,33.61,86.74,640490.19,1860118.58,,,
0.492825,3.37E-02,8.67E-02,-327486.288,-314306.176,-1863900.65,33.71,86.75,641792.46,1863900.65,,,
0.493825,3.38E-02,8.68E-02,-328150.785,-314943.952,-1867682.73,33.82,86.76,643094.74,1867682.73,,,
0.494825,3.39E-02,8.68E-02,-328815.282,-315581.728,-1871464.8,33.92,86.77,644397.01,1871464.80,,,
0.495825,3.40E-02,8.68E-02,-329479.779,-316219.503,-1875246.87,34.02,86.78,645699.28,1875246.87,,,
0.496825,3.41E-02,8.68E-02,-330144.275,-316857.279,-1879028.95,34.13,86.80,647001.55,1879028.95,,,
0.497825,3.42E-02,8.68E-02,-330808.772,-317495.055,-1882811.02,34.23,86.81,648303.83,1882811.02,,,
0.498825,3.43E-02,8.68E-02,-331473.268,-318132.831,-1886593.1,34.33,86.82,649606.10,1886593.10,,,
0.499825,3.44E-02,8.68E-02,-332137.765,-318770.607,-1890375.17,34.44,86.83,650908.37,1890375.17,,,
0.500825,3.45E-02,8.68E-02,-332802.261,-319408.383,-1894157.24,34.54,86.84,652210.64,1894157.24,,,
0.501825,3.46E-02,8.69E-02,-333466.757,-320046.16,-1897939.32,34.64,86.85,653512.92,1897939.32,,,
0.502825,3.47E-02,8.69E-02,-334131.254,-320683.936,-1901721.39,34.75,86.86,654815.19,1901721.39,,,
0.503825,3.49E-02,8.69E-02,-334795.75,-321321.712,-1905503.47,34.85,86.87,656117.46,1905503.47,,,
0.504825,3.50E-02,8.69E-02,-335460.246,-321959.489,-1909285.54,34.95,86.89,657419.74,1909285.54,,,
0.505825,3.51E-02,8.69E-02,-336124.742,-322597.266,-1913067.61,35.06,86.90,658722.01,1913067.61,,,
0.506825,3.52E-02,8.69E-02,-336789.238,-323235.042,-1916849.69,35.16,86.91,660024.28,1916849.69,,,
0.507825,3.53E-02,8.69E-02,-337453.733,-323872.819,-1920631.76,35.26,86.92,661326.55,1920631.76,,,
0.508825,3.54E-02,8.69E-02,-338118.229,-324510.596,-1924413.84,35.37,86.93,662628.83,1924413.84,,,
0.509825,3.55E-02,8.69E-02,-338782.725,-325148.373,-1928195.91,35.47,86.94,663931.10,1928195.91,,,
0.510825,3.56E-02,8.70E-02,-339447.22,-325786.15,-1931977.98,35.58,86.95,665233.37,1931977.98,,,
0.511825,3.57E-02,8.70E-02,-340111.715,-326423.927,-1935760.06,35.68,86.97,666535.64,1935760.06,,,
0.512825,3.58E-02,8.70E-02,-340776.211,-327061.704,-1939542.13,35.78,86.98,667837.92,1939542.13,,,
0.513825,3.59E-02,8.70E-02,-341440.706,-327699.481,-1943324.21,35.89,86.99,669140.19,1943324.21,,,
0.514825,3.60E-02,8.70E-02,-342105.201,-328337.259,-1947106.28,35.99,87.00,670442.46,1947106.28,,,
0.515825,3.61E-02,8.70E-02,-342769.696,-328975.036,-1950888.35,36.10,87.01,671744.73,1950888.35,,,
0.516825,3.62E-02,8.70E-02,-343434.191,-329612.814,-1954670.43,36.20,87.02,673047.01,1954670.43,,,
0.517825,3.63E-02,8.70E-02,-344098.686,-330250.591,-1958452.5,36.30,87.03,674349.28,1958452.50,,,
0.518825,3.64E-02,8.70E-02,-344763.181,-330888.369,-1962234.58,36.41,87.04,675651.55,1962234.58,,,
0.519825,3.65E-02,8.71E-02,-345427.676,-331526.147,-1966016.65,36.51,87.06,676953.82,1966016.65,,,
0.520825,3.66E-02,8.71E-02,-346092.17,-332163.925,-1969798.72,36.62,87.07,678256.10,1969798.72,,,
0.521825,3.67E-02,8.71E-02,-346756.665,-332801.703,-1973580.8,36.72,87.08,679558.37,1973580.80,,,
0.522825,3.68E-02,8.71E-02,-347421.159,-333439.481,-1977362.87,36.82,87.09,680860.64,1977362.87,,,
0.523825,3.69E-02,8.71E-02,-348085.654,-334077.259,-1981144.95,36.93,87.10,682162.91,1981144.95,,,
0.524825,3.70E-02,8.71E-02,-348750.148,-334715.037,-1984927.02,37.03,87.11,683465.19,1984927.02,,,
0.525825,3.71E-02,8.71E-02,-349414.642,-335352.815,-1988709.09,37.14,87.12,684767.46,1988709.09,,,
0.526825,3.72E-02,8.71E-02,-350079.136,-335990.594,-1992491.17,37.24,87.14,686069.73,1992491.17,,,
0.527825,3.73E-02,8.71E-02,-350743.63,-336628.372,-1996273.24,37.35,87.15,687372.00,1996273.24,,,
0.528825,3.75E-02,8.72E-02,-351408.124,-337266.151,-2000055.32,37.45,87.16,688674.28,2000055.32,,,
0.529825,3.76E-02,8.72E-02,-352072.618,-337903.93,-2003837.39,37.56,87.17,689976.55,2003837.39,,,
0.530825,3.77E-02,8.72E-02,-352737.112,-338541.708,-2007619.46,37.66,87.18,691278.82,2007619.46,,,
0.531825,3.78E-02,8.72E-02,-353401.605,-339179.487,-2011401.54,37.76,87.19,692581.09,2011401.54,,,
0.532825,3.79E-02,8.72E-02,-354066.099,-339817.266,-2015183.61,37.87,87.20,693883.37,2015183.61,,,
0.533825,3.80E-02,8.72E-02,-354730.593,-340455.045,-2018965.69,37.97,87.21,695185.64,2018965.69,,,
0.534825,3.81E-02,8.72E-02,-355395.086,-341092.824,-2022747.76,38.08,87.23,696487.91,2022747.76,,,
0.535825,3.82E-02,8.72E-02,-356059.579,-341730.604,-2026529.83,38.18,87.24,697790.18,2026529.83,,,
0.536825,3.83E-02,8.72E-02,-356724.073,-342368.383,-2030311.91,38.29,87.25,699092.46,2030311.91,,,
0.537825,3.84E-02,8.73E-02,-357388.566,-343006.162,-2034093.98,38.39,87.26,700394.73,2034093.98,,,
0.538825,3.85E-02,8.73E-02,-358053.059,-343643.942,-2037876.06,38.50,87.27,701697.00,2037876.06,,,
0.539825,3.86E-02,8.73E-02,-358717.552,-344281.721,-2041658.13,38.60,87.28,702999.27,2041658.13,,,
0.540825,3.87E-02,8.73E-02,-359382.045,-344919.501,-2045440.2,38.71,87.29,704301.55,2045440.20,,,
0.541825,3.88E-02,8.73E-02,-360046.537,-345557.281,-2049222.28,38.81,87.30,705603.82,2049222.28,,,
0.542825,3.89E-02,8.73E-02,-360711.03,-346195.06,-2053004.35,38.92,87.32,706906.09,2053004.35,,,
0.543825,3.90E-02,8.73E-02,-361375.523,-346832.84,-2056786.43,39.02,87.33,708208.36,2056786.43,,,
0.544825,3.91E-02,8.73E-02,-362040.015,-347470.62,-2060568.5,39.13,87.34,709510.64,2060568.50,,,
0.545825,3.92E-02,8.73E-02,-362704.508,-348108.4,-2064350.57,39.23,87.35,710812.91,2064350.57,,,
0.546825,3.93E-02,8.74E-02,-363369,-348746.181,-2068132.65,39.34,87.36,712115.18,2068132.65,,,
0.547825,3.94E-02,8.74E-02,-364033.492,-349383.961,-2071914.72,39.44,87.37,713417.45,2071914.72,,,
0.548825,3.95E-02,8.74E-02,-364697.984,-350021.741,-2075696.8,39.55,87.38,714719.73,2075696.80,,,
0.549825,3.97E-02,8.74E-02,-365362.476,-350659.522,-2079478.87,39.65,87.39,716022.00,2079478.87,,,
0.550825,3.98E-02,8.74E-02,-366026.968,-351297.302,-2083260.94,39.76,87.40,717324.27,2083260.94,,,
0.551825,3.99E-02,8.74E-02,-366691.46,-351935.083,-2087043.02,39.86,87.42,718626.54,2087043.02,,,
0.552825,4.00E-02,8.74E-02,-367355.952,-352572.863,-2090825.09,39.97,87.43,719928.82,2090825.09,,,
0.553825,4.01E-02,8.74E-02,-368020.444,-353210.644,-2094607.17,40.07,87.44,721231.09,2094607.17,,,
0.554825,4.02E-02,8.74E-02,-368684.936,-353848.425,-2098389.24,40.18,87.45,722533.36,2098389.24,,,
0.555825,4.03E-02,8.75E-02,-369349.427,-354486.206,-2102171.31,40.28,87.46,723835.63,2102171.31,,,
0.556825,4.04E-02,8.75E-02,-370013.919,-355123.987,-2105953.39,40.39,87.47,725137.91,2105953.39,,,
0.557825,4.05E-02,8.75E-02,-370678.41,-355761.768,-2109735.46,40.49,87.48,726440.18,2109735.46,,,
0.558825,4.06E-02,8.75E-02,-371342.901,-356399.55,-2113517.54,40.60,87.49,727742.45,2113517.54,,,
0.559825,4.07E-02,8.75E-02,-372007.392,-357037.331,-2117299.61,40.71,87.51,729044.72,2117299.61,,,
0.560825,4.08E-02,8.75E-02,-372671.883,-357675.112,-2121081.68,40.81,87.52,730347.00,2121081.68,,,
0.561825,4.09E-02,8.75E-02,-373336.374,-358312.894,-2124863.76,40.92,87.53,731649.27,2124863.76,,,
0.562825,4.10E-02,8.75E-02,-374000.865,-358950.675,-2128645.83,41.02,87.54,732951.54,2128645.83,,,
0.563825,4.11E-02,8.76E-02,-374665.356,-359588.457,-2132427.91,41.13,87.55,734253.81,2132427.91,,,
0.564825,4.12E-02,8.76E-02,-375329.847,-360226.239,-2136209.98,41.23,87.56,735556.09,2136209.98,,,
0.565825,4.13E-02,8.76E-02,-375994.338,-360864.021,-2139992.05,41.34,87.57,736858.36,2139992.05,,,
0.566825,4.14E-02,8.76E-02,-376658.828,-361501.803,-2143774.13,41.45,87.58,738160.63,2143774.13,,,
0.567825,4.16E-02,8.76E-02,-377323.319,-362139.585,-2147556.2,41.55,87.59,739462.90,2147556.20,,,
0.568825,4.17E-02,8.76E-02,-377987.809,-362777.367,-2151338.28,41.66,87.61,740765.18,2151338.28,,,
0.569825,4.18E-02,8.76E-02,-378652.299,-363415.149,-2155120.35,41.76,87.62,742067.45,2155120.35,,,
0.570825,4.19E-02,8.76E-02,-379316.789,-364052.932,-2158902.42,41.87,87.63,743369.72,2158902.42,,,
0.571825,4.20E-02,8.76E-02,-379981.279,-364690.714,-2162684.5,41.97,87.64,744671.99,2162684.50,,,
0.572825,4.21E-02,8.77E-02,-380645.769,-365328.496,-2166466.57,42.08,87.65,745974.27,2166466.57,,,
0.573825,4.22E-02,8.77E-02,-381310.259,-365966.279,-2170248.65,42.19,87.66,747276.54,2170248.65,,,
0.574825,4.23E-02,8.77E-02,-381974.749,-366604.062,-2174030.72,42.29,87.67,748578.81,2174030.72,,,
0.575825,4.24E-02,8.77E-02,-382639.239,-367241.845,-2177812.79,42.40,87.68,749881.08,2177812.79,,,
0.576825,4.25E-02,8.77E-02,-383303.729,-367879.627,-2181594.87,42.50,87.70,751183.36,2181594.87,,,
0.577825,4.26E-02,8.77E-02,-383968.218,-368517.41,-2185376.94,42.61,87.71,752485.63,2185376.94,,,
0.578825,4.27E-02,8.77E-02,-384632.707,-369155.193,-2189159.02,42.72,87.72,753787.90,2189159.02,,,
0.579825,4.28E-02,8.77E-02,-385297.197,-369792.977,-2192941.09,42.82,87.73,755090.17,2192941.09,,,
0.580825,4.29E-02,8.77E-02,-385961.686,-370430.76,-2196723.16,42.93,87.74,756392.45,2196723.16,,,
0.581825,4.30E-02,8.78E-02,-386626.175,-371068.543,-2200505.24,43.04,87.75,757694.72,2200505.24,,,
0.582825,4.31E-02,8.78E-02,-387290.664,-371706.327,-2204287.31,43.14,87.76,758996.99,2204287.31,,,
0.583825,4.32E-02,8.78E-02,-387955.153,-372344.11,-2208069.39,43.25,87.77,760299.26,2208069.39,,,
0.584825,4.34E-02,8.78E-02,-388619.642,-372981.894,-2211851.46,43.35,87.78,761601.54,2211851.46,,,
0.585825,4.35E-02,8.78E-02,-389284.131,-373619.678,-2215633.53,43.46,87.80,762903.81,2215633.53,,,
0.586825,4.36E-02,8.78E-02,-389948.62,-374257.461,-2219415.61,43.57,87.81,764206.08,2219415.61,,,
0.587825,4.37E-02,8.78E-02,-390613.108,-374895.245,-2223197.68,43.67,87.82,765508.35,2223197.68,,,
0.588825,4.38E-02,8.78E-02,-391277.597,-375533.029,-2226979.76,43.78,87.83,766810.63,2226979.76,,,
0.589825,4.39E-02,8.78E-02,-391942.085,-376170.813,-2230761.83,43.89,87.84,768112.90,2230761.83,,,
0.590825,4.40E-02,8.79E-02,-392606.574,-376808.597,-2234543.9,43.99,87.85,769415.17,2234543.90,,,
0.591825,4.41E-02,8.79E-02,-393271.062,-377446.382,-2238325.98,44.10,87.86,770717.44,2238325.98,,,
0.592825,4.42E-02,8.79E-02,-393935.55,-378084.166,-2242108.05,44.21,87.87,772019.72,2242108.05,,,
0.593825,4.43E-02,8.79E-02,-394600.038,-378721.951,-2245890.13,44.31,87.88,773321.99,2245890.13,,,
0.594825,4.44E-02,8.79E-02,-395264.526,-379359.735,-2249672.2,44.42,87.90,774624.26,2249672.20,,,
0.595825,4.45E-02,8.79E-02,-395929.014,-379997.52,-2253454.27,44.53,87.91,775926.53,2253454.27,,,
0.596825,4.46E-02,8.79E-02,-396593.502,-380635.304,-2257236.35,44.63,87.92,777228.81,2257236.35,,,
0.597825,4.47E-02,8.79E-02,-397257.989,-381273.089,-2261018.42,44.74,87.93,778531.08,2261018.42,,,
0.598825,4.48E-02,8.79E-02,-397922.477,-381910.874,-2264800.5,44.85,87.94,779833.35,2264800.50,,,
0.599825,4.50E-02,8.80E-02,-398586.965,-382548.659,-2268582.57,44.95,87.95,781135.62,2268582.57,,,
0.600825,4.51E-02,8.80E-02,-399251.452,-383186.444,-2272364.64,45.06,87.96,782437.90,2272364.64,,,
0.601825,4.52E-02,8.80E-02,-399915.939,-383824.23,-2276146.72,45.17,87.97,783740.17,2276146.72,,,
0.602825,4.53E-02,8.80E-02,-400580.426,-384462.015,-2279928.79,45.27,87.98,785042.44,2279928.79,,,
0.603825,4.54E-02,8.80E-02,-401244.914,-385099.8,-2283710.87,45.38,88.00,786344.71,2283710.87,,,
0.604825,4.55E-02,8.80E-02,-401909.401,-385737.586,-2287492.94,45.49,88.01,787646.99,2287492.94,,,
0.605825,4.56E-02,8.80E-02,-402573.888,-386375.371,-2291275.01,45.60,88.02,788949.26,2291275.01,,,
0.606825,4.57E-02,8.80E-02,-403238.374,-387013.157,-2295057.09,45.70,88.03,790251.53,2295057.09,,,
0.607825,4.58E-02,8.80E-02,-403902.861,-387650.943,-2298839.16,45.81,88.04,791553.80,2298839.16,,,
0.608825,4.59E-02,8.81E-02,-404567.348,-388288.729,-2302621.24,45.92,88.05,792856.08,2302621.24,,,
0.609825,4.60E-02,8.81E-02,-405231.834,-388926.514,-2306403.31,46.02,88.06,794158.35,2306403.31,,,
0.610825,4.61E-02,8.81E-02,-405896.321,-389564.301,-2310185.38,46.13,88.07,795460.62,2310185.38,,,
0.611825,4.62E-02,8.81E-02,-406560.807,-390202.087,-2313967.46,46.24,88.08,796762.89,2313967.46,,,
0.612825,4.63E-02,8.81E-02,-407225.293,-390839.873,-2317749.53,46.35,88.10,798065.17,2317749.53,,,
0.613825,4.65E-02,8.81E-02,-407889.78,-391477.659,-2321531.61,46.45,88.11,799367.44,2321531.61,,,
0.614825,4.66E-02,8.81E-02,-408554.266,-392115.446,-2325313.68,46.56,88.12,800669.71,2325313.68,,,
0.615825,4.67E-02,8.81E-02,-409218.752,-392753.232,-2329095.75,46.67,88.13,801971.98,2329095.75,,,
0.616825,4.68E-02,8.81E-02,-409883.238,-393391.019,-2332877.83,46.78,88.14,803274.26,2332877.83,,,
0.617825,4.69E-02,8.82E-02,-410547.723,-394028.806,-2336659.9,46.88,88.15,804576.53,2336659.90,,,
0.618825,4.70E-02,8.82E-02,-411212.209,-394666.592,-2340441.98,46.99,88.16,805878.80,2340441.98,,,
0.619825,4.71E-02,8.82E-02,-411876.695,-395304.379,-2344224.05,47.10,88.17,807181.07,2344224.05,,,
0.620825,4.72E-02,8.82E-02,-412541.18,-395942.166,-2348006.12,47.21,88.18,808483.35,2348006.12,,,
0.621825,4.73E-02,8.82E-02,-413205.666,-396579.953,-2351788.2,47.31,88.19,809785.62,2351788.20,,,
0.622825,4.74E-02,8.82E-02,-413870.151,-397217.741,-2355570.27,47.42,88.21,811087.89,2355570.27,,,
0.623825,4.75E-02,8.82E-02,-414534.636,-397855.528,-2359352.35,47.53,88.22,812390.16,2359352.35,,,
0.624825,4.76E-02,8.82E-02,-415199.121,-398493.315,-2363134.42,47.64,88.23,813692.44,2363134.42,,,
0.625825,4.77E-02,8.82E-02,-415863.606,-399131.103,-2366916.49,47.75,88.24,814994.71,2366916.49,,,
0.626825,4.79E-02,8.82E-02,-416528.091,-399768.89,-2370698.57,47.85,88.25,816296.98,2370698.57,,,
0.627825,4.80E-02,8.83E-02,-417192.576,-400406.678,-2374480.64,47.96,88.26,817599.25,2374480.64,,,
0.628825,4.81E-02,8.83E-02,-417857.061,-401044.466,-2378262.72,48.07,88.27,818901.53,2378262.72,,,
0.629825,4.82E-02,8.83E-02,-418521.546,-401682.254,-2382044.79,48.18,88.28,820203.80,2382044.79,,,
0.630825,4.83E-02,8.83E-02,-419186.03,-402320.042,-2385826.86,48.28,88.29,821506.07,2385826.86,,,
0.631825,4.84E-02,8.83E-02,-419850.515,-402957.83,-2389608.94,48.39,88.31,822808.35,2389608.94,,,
0.632825,4.85E-02,8.83E-02,-420514.999,-403595.618,-2393391.01,48.50,88.32,824110.62,2393391.01,,,
0.633825,4.86E-02,8.83E-02,-421179.483,-404233.406,-2397173.09,48.61,88.33,825412.89,2397173.09,,,
0.634825,4.87E-02,8.83E-02,-421843.967,-404871.194,-2400955.16,48.72,88.34,826715.16,2400955.16,,,
0.635825,4.88E-02,8.83E-02,-422508.451,-405508.983,-2404737.23,48.83,88.35,828017.43,2404737.23,,,
0.636825,4.89E-02,8.84E-02,-423172.935,-406146.771,-2408519.31,48.93,88.36,829319.71,2408519.31,,,
0.637825,4.90E-02,8.84E-02,-423837.419,-406784.56,-2412301.38,49.04,88.37,830621.98,2412301.38,,,
0.638825,4.91E-02,8.84E-02,-424501.903,-407422.349,-2416083.46,49.15,88.38,831924.25,2416083.46,,,
0.639825,4.93E-02,8.84E-02,-425166.387,-408060.137,-2419865.53,49.26,88.39,833226.52,2419865.53,,,
0.640825,4.94E-02,8.84E-02,-425830.87,-408697.926,-2423647.6,49.37,88.40,834528.80,2423647.60,,,
0.641825,4.95E-02,8.84E-02,-426495.354,-409335.715,-2427429.68,49.47,88.42,835831.07,2427429.68,,,
0.642825,4.96E-02,8.84E-02,-427159.837,-409973.505,-2431211.75,49.58,88.43,837133.34,2431211.75,,,
0.643825,4.97E-02,8.84E-02,-427824.32,-410611.294,-2434993.83,49.69,88.44,838435.61,2434993.83,,,
0.644825,4.98E-02,8.84E-02,-428488.804,-411249.083,-2438775.9,49.80,88.45,839737.89,2438775.90,,,
0.645825,4.99E-02,8.85E-02,-429153.287,-411886.872,-2442557.97,49.91,88.46,841040.16,2442557.97,,,
0.646825,5.00E-02,8.85E-02,-429817.77,-412524.662,-2446340.05,50.02,88.47,842342.43,2446340.05,,,
0.647825,5.01E-02,8.85E-02,-430482.253,-413162.452,-2450122.12,50.13,88.48,843644.71,2450122.12,,,
0.648825,5.02E-02,8.85E-02,-431146.735,-413800.241,-2453904.2,50.23,88.49,844946.98,2453904.20,,,
0.649825,5.03E-02,8.85E-02,-431811.218,-414438.031,-2457686.27,50.34,88.50,846249.25,2457686.27,,,
0.650825,5.05E-02,8.85E-02,-432475.701,-415075.821,-2461468.34,50.45,88.52,847551.52,2461468.34,,,
0.651825,5.06E-02,8.85E-02,-433140.183,-415713.611,-2465250.42,50.56,88.53,848853.79,2465250.42,,,
0.652825,5.07E-02,8.85E-02,-433804.666,-416351.401,-2469032.49,50.67,88.54,850156.07,2469032.49,,,
0.653825,5.08E-02,8.85E-02,-434469.148,-416989.191,-2472814.56,50.78,88.55,851458.34,2472814.56,,,
0.654825,5.09E-02,8.86E-02,-435133.63,-417626.982,-2476596.64,50.89,88.56,852760.61,2476596.64,,,
0.655825,5.10E-02,8.86E-02,-435798.112,-418264.772,-2480378.71,51.00,88.57,854062.88,2480378.71,,,
0.656825,5.11E-02,8.86E-02,-436462.594,-418902.562,-2484160.79,51.10,88.58,855365.16,2484160.79,,,
0.657825,5.12E-02,8.86E-02,-437127.076,-419540.353,-2487942.86,51.21,88.59,856667.43,2487942.86,,,
0.658825,5.13E-02,8.86E-02,-437791.558,-420178.144,-2491724.93,51.32,88.60,857969.70,2491724.93,,,
0.659825,5.14E-02,8.86E-02,-438456.04,-420815.935,-2495507.01,51.43,88.61,859271.98,2495507.01,,,
0.660825,5.15E-02,8.86E-02,-439120.521,-421453.725,-2499289.08,51.54,88.63,860574.25,2499289.08,,,
0.661825,5.16E-02,8.86E-02,-439785.003,-422091.516,-2503071.16,51.65,88.64,861876.52,2503071.16,,,
0.662825,5.18E-02,8.86E-02,-440449.484,-422729.308,-2506853.23,51.76,88.65,863178.79,2506853.23,,,
0.663825,5.19E-02,8.87E-02,-441113.966,-423367.099,-2510635.3,51.87,88.66,864481.07,2510635.30,,,
0.664825,5.20E-02,8.87E-02,-441778.447,-424004.89,-2514417.38,51.98,88.67,865783.34,2514417.38,,,
0.665825,5.21E-02,8.87E-02,-442442.928,-424642.681,-2518199.45,52.09,88.68,867085.61,2518199.45,,,
0.666825,5.22E-02,8.87E-02,-443107.409,-425280.473,-2521981.53,52.20,88.69,868387.88,2521981.53,,,
0.667825,5.23E-02,8.87E-02,-443771.89,-425918.264,-2525763.6,52.30,88.70,869690.15,2525763.60,,,
