TIME, UX_2, FX_3, FY_4, FY_5,Displacement,Reaction,Load,,,
2.00E-04,-2.32E-08,0.913545466,-0.207435688,-0.199300955,0.00,-0.91,0.41,,,
4.00E-04,-4.91E-08,1.8270909,-0.414871373,-0.398601907,0.00,-1.83,0.81,,,
7.00E-04,-9.34E-08,3.19740905,-0.726024896,-0.69755333,0.00,-3.20,1.42,,,
1.15E-03,-1.72E-07,5.25288603,-1.19275513,-1.14598041,0.00,-5.25,2.34,,,
1.83E-03,-3.16E-07,8.33610012,-1.89285022,-1.81862077,0.00,-8.34,3.71,,,
2.84E-03,-5.94E-07,12.9609137,-2.94299144,-2.8275799,0.00,-12.96,5.77,,,
4.36E-03,-1.15E-06,19.8980935,-4.51819587,-4.34101122,0.00,-19.90,8.86,,,
6.36E-03,-2.14E-06,29.033377,-6.59252167,-6.33398978,0.00,-29.03,12.93,,,
8.36E-03,-3.42E-06,38.1687602,-8.66686569,-8.32698597,0.00,-38.17,16.99,,,
1.04E-02,-5.00E-06,47.30422,-10.7412234,-10.3199952,-0.01,-47.30,21.06,,,
1.24E-02,-6.89E-06,56.4396806,-12.8155814,-12.3130043,-0.01,-56.44,25.13,,,
1.44E-02,-9.09E-06,65.5751404,-14.8899396,-14.306013,-0.01,-65.58,29.20,,,
1.64E-02,-1.16E-05,74.7106003,-16.9642982,-16.2990213,-0.01,-74.71,33.26,,,
1.84E-02,-1.44E-05,83.8460604,-19.0386572,-18.2920292,-0.01,-83.85,37.33,,,
2.04E-02,-1.76E-05,92.9815206,-21.1130166,-20.2850367,-0.02,-92.98,41.40,,,
2.24E-02,-2.11E-05,102.116981,-23.1873766,-22.2780437,-0.02,-102.12,45.47,,,
2.44E-02,-2.49E-05,111.252441,-25.2617371,-24.2710501,-0.02,-111.25,49.53,,,
2.64E-02,-2.91E-05,120.387902,-27.3360983,-26.2640559,-0.03,-120.39,53.60,,,
2.84E-02,-3.36E-05,129.523363,-29.4104601,-28.2570609,-0.03,-129.52,57.67,,,
3.04E-02,-3.84E-05,138.658824,-31.4848227,-30.2500653,-0.04,-138.66,61.73,,,
3.24E-02,-4.37E-05,147.794285,-33.5591861,-32.2430688,-0.04,-147.79,65.80,,,
3.44E-02,-4.93E-05,156.929746,-35.6335504,-34.2360715,-0.05,-156.93,69.87,,,
