TIME, UX_2, FY_4, FY_5, FX_3,Displacement,Load,Reaction,,,
2.00E-04,6.93E-08,-0.764197259,-0.734228735,-3.7087367,0,1.5,3.71,,,
4.00E-04,1.01E-07,-1.52839622,-1.46845913,-7.41747931,0,3,7.42,,,
7.00E-04,7.71E-08,-2.67469568,-2.5698057,-12.9806033,0,5.24,12.98,,,
1.15E-03,-1.15E-07,-4.39415794,-4.22183833,-21.3253708,0,8.62,21.33,,,
1.83E-03,-7.52E-07,-6.97341277,-6.69994728,-33.8428982,0,13.67,33.84,,,
2.84E-03,-2.47E-06,-10.842595,-10.4174043,-52.6209916,0,21.26,52.62,,,
4.36E-03,-6.72E-06,-16.647814,-15.9950063,-80.7965717,-0.01,32.64,80.8,,,
6.36E-03,-1.52E-05,-24.2956287,-23.3430133,-117.917813,-0.02,47.64,117.92,,,
8.36E-03,-2.68E-05,-31.940037,-30.6876584,-155.021293,-0.03,62.63,155.02,,,
1.04E-02,-4.14E-05,-39.5814306,-38.0293274,-192.104792,-0.04,77.61,192.1,,,
1.24E-02,-5.86E-05,-47.2227322,-45.3708878,-229.187059,-0.06,92.59,229.19,,,
1.44E-02,-7.84E-05,-54.8642553,-52.7126436,-266.271376,-0.08,107.58,266.27,,,
1.64E-02,-1.01E-04,-62.5058467,-60.0544421,-303.356141,-0.1,122.56,303.36,,,
1.84E-02,-1.25E-04,-70.1474726,-67.3962475,-340.441004,-0.13,137.54,340.44,,,
2.04E-02,-1.52E-04,-77.7891371,-74.7380617,-377.526006,-0.15,152.53,377.53,,,
2.24E-02,-1.80E-04,-85.4308418,-82.0798839,-414.611155,-0.18,167.51,414.61,,,
2.44E-02,-2.11E-04,-93.0725858,-89.4217116,-451.696441,-0.21,182.49,451.7,,,
2.64E-02,-2.43E-04,-100.714368,-96.763542,-488.781853,-0.24,197.48,488.78,,,
2.84E-02,-2.76E-04,-108.356189,-104.105373,-525.867382,-0.28,212.46,525.87,,,
3.04E-02,-3.11E-04,-115.998047,-111.447203,-562.953019,-0.31,227.45,562.95,,,
3.24E-02,-3.48E-04,-123.639942,-118.789029,-600.038758,-0.35,242.43,600.04,,,
3.44E-02,-3.86E-04,-131.281873,-126.13085,-637.12459,-0.39,257.41,637.12,,,
