TIME, UX_2, FX_3, FY_4, FY_5,Displacement,Reaction,Load,,,,
0.500991667,-3.57E-04,-476471.388,-78992.1414,-75822.7971,-0.36,476471.39,154814.94,,,,
0.501825,-3.38E-04,-477263.935,-79123.5369,-75948.9158,-0.34,477263.94,155072.45,,,,
0.502658333,-3.20E-04,-478056.482,-79254.9324,-76075.0345,-0.32,478056.48,155329.97,,,,
0.503491667,-3.01E-04,-478849.029,-79386.3278,-76201.1531,-0.3,478849.03,155587.48,,,,
0.504325,-2.82E-04,-479641.576,-79517.7233,-76327.2718,-0.28,479641.58,155845,,,,
0.505158333,-2.64E-04,-480434.123,-79649.1188,-76453.3905,-0.26,480434.12,156102.51,,,,
0.505991667,-2.45E-04,-481226.671,-79780.5143,-76579.5092,-0.25,481226.67,156360.02,,,,
0.506825,-2.26E-04,-482019.218,-79911.9098,-76705.6279,-0.23,482019.22,156617.54,,,,
0.507658333,-2.08E-04,-482811.765,-80043.3052,-76831.7465,-0.21,482811.77,156875.05,,,,
0.508491667,-1.89E-04,-483604.312,-80174.7007,-76957.8652,-0.19,483604.31,157132.57,,,,
0.509325,-1.70E-04,-484396.859,-80306.0962,-77083.9839,-0.17,484396.86,157390.08,,,,
0.510158333,-1.52E-04,-485189.406,-80437.4917,-77210.1026,-0.15,485189.41,157647.59,,,,
0.510991667,-1.33E-04,-485981.953,-80568.8872,-77336.2213,-0.13,485981.95,157905.11,,,,
0.511825,-1.14E-04,-486774.5,-80700.2826,-77462.3399,-0.11,486774.5,158162.62,,,,
0.512658333,-9.55E-05,-487567.047,-80831.6781,-77588.4586,-0.1,487567.05,158420.14,,,,
0.513491667,-7.68E-05,-488359.594,-80963.0736,-77714.5773,-0.08,488359.59,158677.65,,,,
0.514325,-5.80E-05,-489152.141,-81094.4691,-77840.696,-0.06,489152.14,158935.17,,,,
0.515158333,-3.93E-05,-489944.689,-81225.8646,-77966.8147,-0.04,489944.69,159192.68,,,,
0.515991667,-2.06E-05,-490737.236,-81357.2601,-78092.9333,-0.02,490737.24,159450.19,,,,
0.516825,-1.88E-06,-491529.783,-81488.6555,-78219.052,0,491529.78,159707.71,,,,
0.517658333,1.68E-05,-492322.33,-81620.051,-78345.1707,0.02,492322.33,159965.22,,,,
0.518491667,3.56E-05,-493114.877,-81751.4465,-78471.2894,0.04,493114.88,160222.74,,,,
0.519325,5.43E-05,-493907.424,-81882.842,-78597.4081,0.05,493907.42,160480.25,,,,
0.520158333,7.30E-05,-494699.971,-82014.2375,-78723.5267,0.07,494699.97,160737.76,,,,
0.520991667,9.18E-05,-495492.518,-82145.6329,-78849.6454,0.09,495492.52,160995.28,,,,
0.521825,1.11E-04,-496285.065,-82277.0284,-78975.7641,0.11,496285.07,161252.79,,,,
0.522658333,1.29E-04,-497077.612,-82408.4239,-79101.8828,0.13,497077.61,161510.31,,,,
0.523491667,1.48E-04,-497870.16,-82539.8194,-79228.0015,0.15,497870.16,161767.82,,,,
0.524325,1.67E-04,-498662.707,-82671.2149,-79354.1201,0.17,498662.71,162025.34,,,,
0.525158333,1.86E-04,-499455.254,-82802.6103,-79480.2388,0.19,499455.25,162282.85,,,,
0.525991667,2.04E-04,-500247.801,-82934.0058,-79606.3575,0.2,500247.8,162540.36,,,,
0.526825,2.23E-04,-501040.348,-83065.4013,-79732.4762,0.22,501040.35,162797.88,,,,
0.527658333,2.42E-04,-501832.895,-83196.7968,-79858.5949,0.24,501832.9,163055.39,,,,
0.528491667,2.61E-04,-502625.442,-83328.1923,-79984.7136,0.26,502625.44,163312.91,,,,
0.529325,2.79E-04,-503417.989,-83459.5877,-80110.8322,0.28,503417.99,163570.42,,,,
0.530158333,2.98E-04,-504210.536,-83590.9832,-80236.9509,0.3,504210.54,163827.93,,,,
0.530991667,3.17E-04,-505003.083,-83722.3787,-80363.0696,0.32,505003.08,164085.45,,,,
0.531825,3.36E-04,-505795.63,-83853.7742,-80489.1883,0.34,505795.63,164342.96,,,,
0.532658333,3.54E-04,-506588.178,-83985.1697,-80615.307,0.35,506588.18,164600.48,,,,
0.533491667,3.73E-04,-507380.725,-84116.5651,-80741.4256,0.37,507380.73,164857.99,,,,
0.534325,3.92E-04,-508173.272,-84247.9606,-80867.5443,0.39,508173.27,165115.5,,,,
0.535158333,4.11E-04,-508965.819,-84379.3561,-80993.663,0.41,508965.82,165373.02,,,,
0.535991667,4.30E-04,-509758.366,-84510.7516,-81119.7817,0.43,509758.37,165630.53,,,,
0.536825,4.48E-04,-510550.913,-84642.147,-81245.9004,0.45,510550.91,165888.05,,,,
0.537658333,4.67E-04,-511343.46,-84773.5425,-81372.0191,0.47,511343.46,166145.56,,,,
0.538491667,4.86E-04,-512136.007,-84904.938,-81498.1377,0.49,512136.01,166403.08,,,,
0.539325,5.05E-04,-512928.554,-85036.3335,-81624.2564,0.5,512928.55,166660.59,,,,
0.540158333,5.24E-04,-513721.101,-85167.7289,-81750.3751,0.52,513721.1,166918.1,,,,
0.540991667,5.42E-04,-514513.648,-85299.1244,-81876.4938,0.54,514513.65,167175.62,,,,
0.541825,5.61E-04,-515306.196,-85430.5199,-82002.6125,0.56,515306.2,167433.13,,,,
0.542658333,5.80E-04,-516098.743,-85561.9154,-82128.7312,0.58,516098.74,167690.65,,,,
0.543491667,5.99E-04,-516891.29,-85693.3109,-82254.8499,0.6,516891.29,167948.16,,,,
0.544325,6.18E-04,-517683.837,-85824.7063,-82380.9685,0.62,517683.84,168205.67,,,,
0.545158333,6.37E-04,-518476.384,-85956.1018,-82507.0872,0.64,518476.38,168463.19,,,,
0.545991667,6.55E-04,-519268.931,-86087.4973,-82633.2059,0.66,519268.93,168720.7,,,,
0.546825,6.74E-04,-520061.478,-86218.8928,-82759.3246,0.67,520061.48,168978.22,,,,
0.547658333,6.93E-04,-520854.025,-86350.2882,-82885.4433,0.69,520854.03,169235.73,,,,
0.548491667,7.12E-04,-521646.572,-86481.6837,-83011.562,0.71,521646.57,169493.25,,,,
0.549325,7.31E-04,-522439.119,-86613.0792,-83137.6807,0.73,522439.12,169750.76,,,,
0.550158333,7.50E-04,-523231.667,-86744.4747,-83263.7993,0.75,523231.67,170008.27,,,,
0.550991667,7.68E-04,-524024.214,-86875.8701,-83389.918,0.77,524024.21,170265.79,,,,
0.551825,7.87E-04,-524816.761,-87007.2656,-83516.0367,0.79,524816.76,170523.3,,,,
0.552658333,8.06E-04,-525609.308,-87138.6611,-83642.1554,0.81,525609.31,170780.82,,,,
0.553491667,8.25E-04,-526401.855,-87270.0565,-83768.2741,0.82,526401.86,171038.33,,,,
0.554325,8.44E-04,-527194.402,-87401.452,-83894.3928,0.84,527194.4,171295.84,,,,
0.555158333,8.63E-04,-527986.949,-87532.8475,-84020.5115,0.86,527986.95,171553.36,,,,
0.555991667,8.82E-04,-528779.496,-87664.243,-84146.6302,0.88,528779.5,171810.87,,,,
0.556825,9.00E-04,-529572.043,-87795.6384,-84272.7489,0.9,529572.04,172068.39,,,,
0.557658333,9.19E-04,-530364.59,-87927.0339,-84398.8675,0.92,530364.59,172325.9,,,,
0.558491667,9.38E-04,-531157.137,-88058.4294,-84524.9862,0.94,531157.14,172583.42,,,,
0.559325,9.57E-04,-531949.685,-88189.8248,-84651.1049,0.96,531949.69,172840.93,,,,
0.560158333,9.76E-04,-532742.232,-88321.2203,-84777.2236,0.98,532742.23,173098.44,,,,
0.560991667,9.95E-04,-533534.779,-88452.6158,-84903.3423,0.99,533534.78,173355.96,,,,
0.561825,1.01E-03,-534327.326,-88584.0112,-85029.461,1.01,534327.33,173613.47,,,,
0.562658333,1.03E-03,-535119.873,-88715.4067,-85155.5797,1.03,535119.87,173870.99,,,,
0.563491667,1.05E-03,-535912.42,-88846.8022,-85281.6984,1.05,535912.42,174128.5,,,,
0.564325,1.07E-03,-536704.967,-88978.1976,-85407.8171,1.07,536704.97,174386.01,,,,
0.565158333,1.09E-03,-537497.514,-89109.5931,-85533.9358,1.09,537497.51,174643.53,,,,
0.565991667,1.11E-03,-538290.061,-89240.9886,-85660.0545,1.11,538290.06,174901.04,,,,
0.566825,1.13E-03,-539082.608,-89372.384,-85786.1732,1.13,539082.61,175158.56,,,,
0.567658333,1.15E-03,-539875.156,-89503.7795,-85912.2919,1.15,539875.16,175416.07,,,,
0.568491667,1.16E-03,-540667.703,-89635.175,-86038.4106,1.16,540667.7,175673.59,,,,
0.569325,1.18E-03,-541460.25,-89766.5704,-86164.5293,1.18,541460.25,175931.1,,,,
0.570158333,1.20E-03,-542252.797,-89897.9659,-86290.648,1.2,542252.8,176188.61,,,,
0.570991667,1.22E-03,-543045.344,-90029.3614,-86416.7666,1.22,543045.34,176446.13,,,,
0.571825,1.24E-03,-543837.891,-90160.7568,-86542.8853,1.24,543837.89,176703.64,,,,
0.572658333,1.26E-03,-544630.438,-90292.1523,-86669.004,1.26,544630.44,176961.16,,,,
0.573491667,1.28E-03,-545422.985,-90423.5478,-86795.1227,1.28,545422.99,177218.67,,,,
0.574325,1.30E-03,-546215.532,-90554.9432,-86921.2414,1.3,546215.53,177476.18,,,,
0.575158333,1.32E-03,-547008.079,-90686.3387,-87047.3601,1.32,547008.08,177733.7,,,,
0.575991667,1.34E-03,-547800.626,-90817.7342,-87173.4788,1.34,547800.63,177991.21,,,,
0.576825,1.35E-03,-548593.174,-90949.1296,-87299.5975,1.35,548593.17,178248.73,,,,
0.577658333,1.37E-03,-549385.721,-91080.5251,-87425.7162,1.37,549385.72,178506.24,,,,
0.578491667,1.39E-03,-550178.268,-91211.9205,-87551.8349,1.39,550178.27,178763.76,,,,
0.579325,1.41E-03,-550970.815,-91343.316,-87677.9536,1.41,550970.82,179021.27,,,,
0.580158333,1.43E-03,-551763.362,-91474.7115,-87804.0723,1.43,551763.36,179278.78,,,,
0.580991667,1.45E-03,-552555.909,-91606.1069,-87930.191,1.45,552555.91,179536.3,,,,
0.581825,1.47E-03,-553348.456,-91737.5024,-88056.3097,1.47,553348.46,179793.81,,,,
0.582658333,1.49E-03,-554141.003,-91868.8978,-88182.4285,1.49,554141,180051.33,,,,
0.583491667,1.51E-03,-554933.55,-92000.2933,-88308.5472,1.51,554933.55,180308.84,,,,
0.584325,1.52E-03,-555726.097,-92131.6887,-88434.6659,1.52,555726.1,180566.35,,,,
0.585158333,1.54E-03,-556518.645,-92263.0842,-88560.7846,1.54,556518.65,180823.87,,,,
0.585991667,1.56E-03,-557311.192,-92394.4796,-88686.9033,1.56,557311.19,181081.38,,,,
0.586825,1.58E-03,-558103.739,-92525.8751,-88813.022,1.58,558103.74,181338.9,,,,
0.587658333,1.60E-03,-558896.286,-92657.2706,-88939.1407,1.6,558896.29,181596.41,,,,
0.588491667,1.62E-03,-559688.833,-92788.666,-89065.2594,1.62,559688.83,181853.93,,,,
0.589325,1.64E-03,-560481.38,-92920.0615,-89191.3781,1.64,560481.38,182111.44,,,,
0.590158333,1.66E-03,-561273.927,-93051.4569,-89317.4968,1.66,561273.93,182368.95,,,,
0.590991667,1.68E-03,-562066.474,-93182.8524,-89443.6155,1.68,562066.47,182626.47,,,,
0.591825,1.70E-03,-562859.021,-93314.2478,-89569.7342,1.7,562859.02,182883.98,,,,
0.592658333,1.71E-03,-563651.568,-93445.6433,-89695.8529,1.71,563651.57,183141.5,,,,
0.593491667,1.73E-03,-564444.115,-93577.0387,-89821.9716,1.73,564444.12,183399.01,,,,
0.594325,1.75E-03,-565236.663,-93708.4342,-89948.0904,1.75,565236.66,183656.52,,,,
0.595158333,1.77E-03,-566029.21,-93839.8296,-90074.2091,1.77,566029.21,183914.04,,,,
0.595991667,1.79E-03,-566821.757,-93971.2251,-90200.3278,1.79,566821.76,184171.55,,,,
0.596825,1.81E-03,-567614.304,-94102.6205,-90326.4465,1.81,567614.3,184429.07,,,,
0.597658333,1.83E-03,-568406.851,-94234.016,-90452.5652,1.83,568406.85,184686.58,,,,
0.598491667,1.85E-03,-569199.398,-94365.4114,-90578.6839,1.85,569199.4,184944.1,,,,
0.599325,1.87E-03,-569991.945,-94496.8069,-90704.8026,1.87,569991.95,185201.61,,,,
0.600158333,1.89E-03,-570784.492,-94628.2023,-90830.9214,1.89,570784.49,185459.12,,,,
0.600991667,1.90E-03,-571577.039,-94759.5977,-90957.0401,1.9,571577.04,185716.64,,,,
0.601825,1.92E-03,-572369.586,-94890.9932,-91083.1588,1.92,572369.59,185974.15,,,,
0.602658333,1.94E-03,-573162.134,-95022.3886,-91209.2775,1.94,573162.13,186231.67,,,,
0.603491667,1.96E-03,-573954.681,-95153.7841,-91335.3962,1.96,573954.68,186489.18,,,,
0.604325,1.98E-03,-574747.228,-95285.1795,-91461.5149,1.98,574747.23,186746.69,,,,
0.605158333,2.00E-03,-575539.775,-95416.575,-91587.6337,2,575539.78,187004.21,,,,
0.605991667,2.02E-03,-576332.322,-95547.9704,-91713.7524,2.02,576332.32,187261.72,,,,
0.606825,2.04E-03,-577124.869,-95679.3658,-91839.8711,2.04,577124.87,187519.24,,,,
0.607658333,2.06E-03,-577917.416,-95810.7613,-91965.9898,2.06,577917.42,187776.75,,,,
0.608491667,2.08E-03,-578709.963,-95942.1567,-92092.1085,2.08,578709.96,188034.27,,,,
0.609325,2.09E-03,-579502.51,-96073.5522,-92218.2273,2.09,579502.51,188291.78,,,,
0.610158333,2.11E-03,-580295.057,-96204.9476,-92344.346,2.11,580295.06,188549.29,,,,
0.610991667,2.13E-03,-581087.604,-96336.343,-92470.4647,2.13,581087.6,188806.81,,,,
0.611825,2.15E-03,-581880.152,-96467.7385,-92596.5834,2.15,581880.15,189064.32,,,,
0.612658333,2.17E-03,-582672.699,-96599.1339,-92722.7022,2.17,582672.7,189321.84,,,,
0.613491667,2.19E-03,-583465.246,-96730.5293,-92848.8209,2.19,583465.25,189579.35,,,,
0.614325,2.21E-03,-584257.793,-96861.9248,-92974.9396,2.21,584257.79,189836.86,,,,
0.615158333,2.23E-03,-585050.34,-96993.3202,-93101.0583,2.23,585050.34,190094.38,,,,
0.615991667,2.25E-03,-585842.887,-97124.7156,-93227.1771,2.25,585842.89,190351.89,,,,
0.616825,2.27E-03,-586635.434,-97256.1111,-93353.2958,2.27,586635.43,190609.41,,,,
0.617658333,2.28E-03,-587427.981,-97387.5065,-93479.4145,2.28,587427.98,190866.92,,,,
0.618491667,2.30E-03,-588220.528,-97518.9019,-93605.5333,2.3,588220.53,191124.44,,,,
0.619325,2.32E-03,-589013.075,-97650.2974,-93731.652,2.32,589013.08,191381.95,,,,
0.620158333,2.34E-03,-589805.622,-97781.6928,-93857.7707,2.34,589805.62,191639.46,,,,
0.620991667,2.36E-03,-590598.17,-97913.0882,-93983.8895,2.36,590598.17,191896.98,,,,
0.621825,2.38E-03,-591390.717,-98044.4837,-94110.0082,2.38,591390.72,192154.49,,,,
0.622658333,2.40E-03,-592183.264,-98175.8791,-94236.1269,2.4,592183.26,192412.01,,,,
0.623491667,2.42E-03,-592975.811,-98307.2745,-94362.2457,2.42,592975.81,192669.52,,,,
0.624325,2.44E-03,-593768.358,-98438.6699,-94488.3644,2.44,593768.36,192927.03,,,,
0.625158333,2.46E-03,-594560.905,-98570.0654,-94614.4831,2.46,594560.91,193184.55,,,,
0.625991667,2.48E-03,-595353.452,-98701.4608,-94740.6019,2.48,595353.45,193442.06,,,,
0.626825,2.49E-03,-596145.999,-98832.8562,-94866.7206,2.49,596146,193699.58,,,,
0.627658333,2.51E-03,-596938.546,-98964.2516,-94992.8393,2.51,596938.55,193957.09,,,,
0.628491667,2.53E-03,-597731.093,-99095.647,-95118.9581,2.53,597731.09,194214.61,,,,
0.629325,2.55E-03,-598523.641,-99227.0425,-95245.0768,2.55,598523.64,194472.12,,,,
0.630158333,2.57E-03,-599316.188,-99358.4379,-95371.1956,2.57,599316.19,194729.63,,,,
0.630991667,2.59E-03,-600108.735,-99489.8333,-95497.3143,2.59,600108.74,194987.15,,,,
0.631825,2.61E-03,-600901.282,-99621.2287,-95623.4331,2.61,600901.28,195244.66,,,,
0.632658333,2.63E-03,-601693.829,-99752.6241,-95749.5518,2.63,601693.83,195502.18,,,,
0.633491667,2.65E-03,-602486.376,-99884.0196,-95875.6705,2.65,602486.38,195759.69,,,,
0.634325,2.67E-03,-603278.923,-100015.415,-96001.7893,2.67,603278.92,196017.2,,,,
0.635158333,2.69E-03,-604071.47,-100146.81,-96127.908,2.69,604071.47,196274.72,,,,
0.635991667,2.70E-03,-604864.017,-100278.206,-96254.0268,2.7,604864.02,196532.23,,,,
0.636825,2.72E-03,-605656.564,-100409.601,-96380.1455,2.72,605656.56,196789.75,,,,
0.637658333,2.74E-03,-606449.111,-100540.997,-96506.2643,2.74,606449.11,197047.26,,,,
0.638491667,2.76E-03,-607241.659,-100672.392,-96632.383,2.76,607241.66,197304.78,,,,
0.639325,2.78E-03,-608034.206,-100803.787,-96758.5018,2.78,608034.21,197562.29,,,,
0.640158333,2.80E-03,-608826.753,-100935.183,-96884.6205,2.8,608826.75,197819.8,,,,
0.640991667,2.82E-03,-609619.3,-101066.578,-97010.7393,2.82,609619.3,198077.32,,,,
0.641825,2.84E-03,-610411.847,-101197.974,-97136.858,2.84,610411.85,198334.83,,,,
0.642658333,2.86E-03,-611204.394,-101329.369,-97262.9768,2.86,611204.39,198592.35,,,,
0.643491667,2.88E-03,-611996.941,-101460.764,-97389.0955,2.88,611996.94,198849.86,,,,
0.644325,2.90E-03,-612789.488,-101592.16,-97515.2143,2.9,612789.49,199107.37,,,,
0.645158333,2.92E-03,-613582.035,-101723.555,-97641.333,2.92,613582.04,199364.89,,,,
0.645991667,2.93E-03,-614374.582,-101854.951,-97767.4518,2.93,614374.58,199622.4,,,,
0.646825,2.95E-03,-615167.13,-101986.346,-97893.5706,2.95,615167.13,199879.92,,,,
0.647658333,2.97E-03,-615959.677,-102117.742,-98019.6893,2.97,615959.68,200137.43,,,,
0.648491667,2.99E-03,-616752.224,-102249.137,-98145.8081,2.99,616752.22,200394.95,,,,
0.649325,3.01E-03,-617544.771,-102380.532,-98271.9268,3.01,617544.77,200652.46,,,,
0.650158333,3.03E-03,-618337.318,-102511.928,-98398.0456,3.03,618337.32,200909.97,,,,
0.650991667,3.05E-03,-619129.865,-102643.323,-98524.1644,3.05,619129.87,201167.49,,,,
0.651825,3.07E-03,-619922.412,-102774.719,-98650.2831,3.07,619922.41,201425,,,,
0.652658333,3.09E-03,-620714.959,-102906.114,-98776.4019,3.09,620714.96,201682.52,,,,
0.653491667,3.11E-03,-621507.506,-103037.509,-98902.5207,3.11,621507.51,201940.03,,,,
0.654325,3.13E-03,-622300.053,-103168.905,-99028.6394,3.13,622300.05,202197.54,,,,
0.655158333,3.15E-03,-623092.6,-103300.3,-99154.7582,3.15,623092.6,202455.06,,,,
0.655991667,3.16E-03,-623885.148,-103431.695,-99280.877,3.16,623885.15,202712.57,,,,
0.656825,3.18E-03,-624677.695,-103563.091,-99406.9957,3.18,624677.7,202970.09,,,,
0.657658333,3.20E-03,-625470.242,-103694.486,-99533.1145,3.2,625470.24,203227.6,,,,
0.658491667,3.22E-03,-626262.789,-103825.882,-99659.2333,3.22,626262.79,203485.12,,,,
0.659325,3.24E-03,-627055.336,-103957.277,-99785.352,3.24,627055.34,203742.63,,,,
0.660158333,3.26E-03,-627847.883,-104088.672,-99911.4708,3.26,627847.88,204000.14,,,,
0.660991667,3.28E-03,-628640.43,-104220.068,-100037.59,3.28,628640.43,204257.66,,,,
0.661825,3.30E-03,-629432.977,-104351.463,-100163.708,3.3,629432.98,204515.17,,,,
0.662658333,3.32E-03,-630225.524,-104482.859,-100289.827,3.32,630225.52,204772.69,,,,
0.663491667,3.34E-03,-631018.071,-104614.254,-100415.946,3.34,631018.07,205030.2,,,,
0.664325,3.36E-03,-631810.619,-104745.649,-100542.065,3.36,631810.62,205287.71,,,,
0.665158333,3.38E-03,-632603.166,-104877.045,-100668.183,3.38,632603.17,205545.23,,,,
0.665991667,3.39E-03,-633395.713,-105008.44,-100794.302,3.39,633395.71,205802.74,,,,
0.666825,3.41E-03,-634188.26,-105139.836,-100920.421,3.41,634188.26,206060.26,,,,
0.667658333,3.43E-03,-634980.807,-105271.231,-101046.54,3.43,634980.81,206317.77,,,,
0.668491667,3.45E-03,-635773.354,-105402.626,-101172.659,3.45,635773.35,206575.29,,,,
0.669325,3.47E-03,-636565.901,-105534.022,-101298.777,3.47,636565.9,206832.8,,,,
0.670158333,3.49E-03,-637358.448,-105665.417,-101424.896,3.49,637358.45,207090.31,,,,
0.670991667,3.51E-03,-638150.995,-105796.812,-101551.015,3.51,638151,207347.83,,,,
0.671825,3.53E-03,-638943.542,-105928.208,-101677.134,3.53,638943.54,207605.34,,,,
0.672658333,3.55E-03,-639736.089,-106059.603,-101803.252,3.55,639736.09,207862.86,,,,
0.673491667,3.57E-03,-640528.637,-106190.999,-101929.371,3.57,640528.64,208120.37,,,,
0.674325,3.59E-03,-641321.184,-106322.394,-102055.49,3.59,641321.18,208377.88,,,,
0.675158333,3.61E-03,-642113.731,-106453.789,-102181.609,3.61,642113.73,208635.4,,,,
0.675991667,3.62E-03,-642906.278,-106585.185,-102307.728,3.62,642906.28,208892.91,,,,
0.676825,3.64E-03,-643698.825,-106716.58,-102433.846,3.64,643698.83,209150.43,,,,
0.677658333,3.66E-03,-644491.372,-106847.975,-102559.965,3.66,644491.37,209407.94,,,,
0.678491667,3.68E-03,-645283.919,-106979.371,-102686.084,3.68,645283.92,209665.46,,,,
0.679325,3.70E-03,-646076.466,-107110.766,-102812.203,3.7,646076.47,209922.97,,,,
0.680158333,3.72E-03,-646869.013,-107242.161,-102938.322,3.72,646869.01,210180.48,,,,
0.680991667,3.74E-03,-647661.56,-107373.557,-103064.44,3.74,647661.56,210438,,,,
0.681825,3.76E-03,-648454.107,-107504.952,-103190.559,3.76,648454.11,210695.51,,,,
0.682658333,3.78E-03,-649246.655,-107636.348,-103316.678,3.78,649246.66,210953.03,,,,
0.683491667,3.80E-03,-650039.202,-107767.743,-103442.797,3.8,650039.2,211210.54,,,,
0.684325,3.82E-03,-650831.749,-107899.138,-103568.916,3.82,650831.75,211468.05,,,,
0.685158333,3.84E-03,-651624.296,-108030.534,-103695.034,3.84,651624.3,211725.57,,,,
0.685991667,3.86E-03,-652416.843,-108161.929,-103821.153,3.86,652416.84,211983.08,,,,
0.686825,3.88E-03,-653209.39,-108293.324,-103947.272,3.88,653209.39,212240.6,,,,
0.687658333,3.89E-03,-654001.937,-108424.72,-104073.391,3.89,654001.94,212498.11,,,,
0.688491667,3.91E-03,-654794.484,-108556.115,-104199.51,3.91,654794.48,212755.63,,,,
0.689325,3.93E-03,-655587.031,-108687.51,-104325.628,3.93,655587.03,213013.14,,,,
0.690158333,3.95E-03,-656379.578,-108818.906,-104451.747,3.95,656379.58,213270.65,,,,
0.690991667,3.97E-03,-657172.126,-108950.301,-104577.866,3.97,657172.13,213528.17,,,,
0.691825,3.99E-03,-657964.673,-109081.697,-104703.985,3.99,657964.67,213785.68,,,,
0.692658333,4.01E-03,-658757.22,-109213.092,-104830.104,4.01,658757.22,214043.2,,,,
0.693491667,4.03E-03,-659549.767,-109344.487,-104956.222,4.03,659549.77,214300.71,,,,
0.694325,4.05E-03,-660342.314,-109475.883,-105082.341,4.05,660342.31,214558.22,,,,
0.695158333,4.07E-03,-661134.861,-109607.278,-105208.46,4.07,661134.86,214815.74,,,,
0.695991667,4.09E-03,-661927.408,-109738.673,-105334.579,4.09,661927.41,215073.25,,,,
0.696825,4.11E-03,-662719.955,-109870.069,-105460.698,4.11,662719.96,215330.77,,,,
0.697658333,4.13E-03,-663512.502,-110001.464,-105586.817,4.13,663512.5,215588.28,,,,
0.698491667,4.14E-03,-664305.049,-110132.859,-105712.935,4.14,664305.05,215845.79,,,,
0.699325,4.16E-03,-665097.596,-110264.255,-105839.054,4.16,665097.6,216103.31,,,,
0.700158333,4.18E-03,-665890.144,-110395.65,-105965.173,4.18,665890.14,216360.82,,,,
0.700991667,4.20E-03,-666682.691,-110527.045,-106091.292,4.2,666682.69,216618.34,,,,
0.701825,4.22E-03,-667475.238,-110658.441,-106217.411,4.22,667475.24,216875.85,,,,
0.702658333,4.24E-03,-668267.785,-110789.836,-106343.529,4.24,668267.79,217133.37,,,,
0.703491667,4.26E-03,-669060.332,-110921.231,-106469.648,4.26,669060.33,217390.88,,,,
0.704325,4.28E-03,-669852.879,-111052.627,-106595.767,4.28,669852.88,217648.39,,,,
0.705158333,4.30E-03,-670645.426,-111184.022,-106721.886,4.3,670645.43,217905.91,,,,
0.705991667,4.32E-03,-671437.973,-111315.417,-106848.005,4.32,671437.97,218163.42,,,,
0.706825,4.34E-03,-672230.52,-111446.813,-106974.124,4.34,672230.52,218420.94,,,,
0.707658333,4.36E-03,-673023.067,-111578.208,-107100.242,4.36,673023.07,218678.45,,,,
0.708491667,4.38E-03,-673815.615,-111709.603,-107226.361,4.38,673815.62,218935.96,,,,
0.709325,4.40E-03,-674608.162,-111840.999,-107352.48,4.4,674608.16,219193.48,,,,
0.710158333,4.41E-03,-675400.709,-111972.394,-107478.599,4.41,675400.71,219450.99,,,,
0.710991667,4.43E-03,-676193.256,-112103.789,-107604.718,4.43,676193.26,219708.51,,,,
0.711825,4.45E-03,-676985.803,-112235.185,-107730.837,4.45,676985.8,219966.02,,,,
0.712658333,4.47E-03,-677778.35,-112366.58,-107856.955,4.47,677778.35,220223.54,,,,
0.713491667,4.49E-03,-678570.897,-112497.975,-107983.074,4.49,678570.9,220481.05,,,,
0.714325,4.51E-03,-679363.444,-112629.371,-108109.193,4.51,679363.44,220738.56,,,,
0.715158333,4.53E-03,-680155.991,-112760.766,-108235.312,4.53,680155.99,220996.08,,,,
0.715991667,4.55E-03,-680948.538,-112892.161,-108361.431,4.55,680948.54,221253.59,,,,
0.716825,4.57E-03,-681741.085,-113023.557,-108487.55,4.57,681741.09,221511.11,,,,
0.717658333,4.59E-03,-682533.633,-113154.952,-108613.669,4.59,682533.63,221768.62,,,,
0.718491667,4.61E-03,-683326.18,-113286.347,-108739.787,4.61,683326.18,222026.13,,,,
0.719325,4.63E-03,-684118.727,-113417.742,-108865.906,4.63,684118.73,222283.65,,,,
0.720158333,4.65E-03,-684911.274,-113549.138,-108992.025,4.65,684911.27,222541.16,,,,
0.720991667,4.67E-03,-685703.821,-113680.533,-109118.144,4.67,685703.82,222798.68,,,,
0.721825,4.69E-03,-686496.368,-113811.928,-109244.263,4.69,686496.37,223056.19,,,,
0.722658333,4.70E-03,-687288.915,-113943.324,-109370.382,4.7,687288.92,223313.71,,,,
0.723491667,4.72E-03,-688081.462,-114074.719,-109496.5,4.72,688081.46,223571.22,,,,
0.724325,4.74E-03,-688874.009,-114206.114,-109622.619,4.74,688874.01,223828.73,,,,
0.725158333,4.76E-03,-689666.556,-114337.51,-109748.738,4.76,689666.56,224086.25,,,,
0.725991667,4.78E-03,-690459.104,-114468.905,-109874.857,4.78,690459.1,224343.76,,,,
0.726825,4.80E-03,-691251.651,-114600.3,-110000.976,4.8,691251.65,224601.28,,,,
0.727658333,4.82E-03,-692044.198,-114731.696,-110127.095,4.82,692044.2,224858.79,,,,
0.728491667,4.84E-03,-692836.745,-114863.091,-110253.214,4.84,692836.75,225116.31,,,,
0.729325,4.86E-03,-693629.292,-114994.486,-110379.332,4.86,693629.29,225373.82,,,,
0.730158333,4.88E-03,-694421.839,-115125.881,-110505.451,4.88,694421.84,225631.33,,,,
0.730991667,4.90E-03,-695214.386,-115257.277,-110631.57,4.9,695214.39,225888.85,,,,
0.731825,4.92E-03,-696006.933,-115388.672,-110757.689,4.92,696006.93,226146.36,,,,
0.732658333,4.94E-03,-696799.48,-115520.067,-110883.808,4.94,696799.48,226403.88,,,,
